id,organization_id,name,alternate_name,description,transportation,latitude,longitude
557094579799532,1091742936273498,"Engine 15 Station",,,,,
569762980024499,1151840654132771,"HSC Pediatric Center",,,,,
553317561400491,1098153529407228,"2041 Georgia Avenue NW Washington, DC 20060",,,,38.9175305,-77.0204417
577218861870418,901970914472025,"YMCA Fairfax County Reston",,,,,
591956672701732,752311766026273,"MetroHealth Office",,,,38.9032398,-77.0322033
604721858303896,832081175822927,"N Street Village Main Office",,,,38.9075729,-77.0314836
610544508126672,1284952943863665,"Unity at Christ House (Ward 1)",,,,,
580857017779168,1284952943863665,"Unity at New York Avenue Homeless Shelter (Ward 5)",,,,,
584764537637617,1102284383103447,"DHS Economic Security Administration (ESA) Service Center - Anacostia",,,,,
600295822156667,1091742936273498,"Engine 1 Station",,,,,
629927782672872,1151840654132771,"HSC Mobility Machine",,,,,
590104892784839,1102284383103447,"DHS Economic Security Administration (ESA) Service Centers - Taylor Street",,,,,
584215858451001,1102961709884725,"Virginia Williams Family Resource Center",,,,38.9230157,-76.9930174
602194922558765,1143076176825121,"Whitman-Walker at LIZ",,,,,
624908178427639,1091742936273498,"FEMS Main Office",,,,,
636884985267395,1091742936273498,"Engine 22 Station",,,,,
636848661261240,876886021673283,"Martha's Table Headquarters at the Commons",,,,38.8548975,-76.9844872
622769721428949,1091742936273498,"Engine 28 Station",,,,,
623386708908164,1288114944946075,"Deanwood Library",,,,,
634604766992517,876886021673283,"Shrine of the Sacred Heart",,,,38.9311199,-77.0358506
635902575070564,1091742936273498,"Engine 3 Station",,,,,
665537720302910,1315578558618439,"Youth Prevention Center: Wards 5 & 6",,,,38.8970231,-76.991825
673635399946198,1347505314266969,"DHCF Main Office",,,,,
646112200857058,1151840654132771,"HSC Outpatient Centers - Washington, DC Location ",,,,,
658610517897796,1091742936273498,"Engine 11 Station",,,,,
670763981366130,698337947812895,"DC Department of Energy and Environment Office",,,,,
669512480103420,1235669446637932,"UPO Comprehensive Treatment Center",,,,38.8855512,-76.9739373
671699874900293,1284952943863665,"Columbia Road Health Services (Ward 1)",,,,,
