id,location_id,attention,address_1,address_2,address_3,address_4,city,region,state_province,postal_code,country
1,1095290768316947,,"4065 Minnesota Ave NE",,,,Washington,,DC,20019,US
2,891549215171790,,"602 N St NW",,,,Washington,,DC,20001,US
3,1134996153077734,,"9159 Brookville Road",,,,"Silver Spring",,MD,20910,US
4,1089626392255953,,"600 W Street, NE",,,,Washington,,DC,20002,US
5,557042258022055,,"899 North Capitol St NE",,,,Washington,,DC,20002,US
6,843887752849047,,"8720 Georgia Avenue, Suite 705",,,,"Silver Spring",,MD,20910,US
7,1013981933889035,,"2307 Martin Luther King Jr Ave SE",,,,Washington,,DC,20020,US
8,1303501603402692,,"1126 16th St NW",,,,Washington,,DC,20036,US
9,1120053867178665,,"651 Pennsylvania Ave SE",,,,Washington,,DC,20003,US
10,957520333540238,,"3240 Stanton Road SE",,,,Washington,,DC,20020,US
11,1132814241177816,,"2000 14th St NW",,,,Washington,,DC,20009,US
11,1241825498211259,,"2000 14th St NW",,,,Washington,,DC,20009,US
12,612821914479266,,"20021 Aircraft Drive",,,,Germantown,,MD,20874,US
13,816235551756131,,"2041 Martin Luther King Ave SE",,,,Washington,,DC,20020,US
14,1331394191570751,,"4100 Mohawk Lane",,,,Alexandria,,VA,22309,US
15,901594639817796,,"3912 Georgia Avenue",,,,Washington,,DC,20011,US
16,984130963161577,,"3985 Mass Ave SE",,,,Washington,,DC,20019,US
17,645897759928377,,"700 Princess Street",,,,Alexandria,,VA,22314,US
18,557094579799532,,"2101 14th Street SE",,,,Washington,,DC,20003,US
19,636884985267395,,"6825 Georgia Avenue NW",,,,Washington,,DC,20012,US
20,727772454332930,,"1825 K St NW",,,,Washington,,DC,20006,US
21,891065803273009,,"1111 14th NW Suite 620",,,,Washington,,DC,20005,US
22,1115108116176359,,"50 49th Street NE",,,,Washington,,DC,20019,US
23,580105202701779,,"7603 Georgia Ave NW",,,,Washington,,DC,20012,US
24,1293267778021809,,"4900 Puerto Rico Avenue NE",,,,Washington,,DC,20017,US
25,1091227224514735,,"4326 14th Street, NW",,,,Washington,,DC,20011,US
26,1178988249328078,,"12320 Parklawn Drive",,,,Rockville,,MD,20852,US
26,918553319355477,,"12320 Parklawn Drive",,,,Rockville,,MD,20852,US
27,1243562110622958,,"2112 Varnum Street, NE",,,,Washington,,DC,20018,US
28,855494369304069,,"3924 4th Street SE",,,,Washington,,DC,20032,US
29,902244835227859,,"1217 Good Hope Road SE",,,,Washington,,DC,20020,US
30,799734694979867,,"1421 37th St NW",,,,Washington,,DC,20057,US
31,1261462848590883,,"4930 Connecticut Avenue NW",,,,Washington,,DC,20008,US
32,613607303207687,,"2001 14th St SE",,,,Washington,,DC,20020,US
33,1209862604521984,,"1342 Florida Avenue NE",,,,Washington,,DC,20002,US
34,1200713312530612,,"5401 South Dakota Avenue NE",,,,Washington,,DC,20011,US
35,938559947702992,,"1200 G Street, NW",,,,Washington,,DC,20005,US
36,571421925629438,,"429 O Street, NW",,,,Washington,,DC,20001,US
37,1048770784971224,,"400 I St SW",,,,Washington,,DC,20024,US
38,1134258246707073,,"2601 18th St NE",,,,Washington,,DC,20018,US
