id,name,service_id,location_id,service_at_location_id,weekday,valid_from,valid_to,dtstart,until,wkst,freq,interval,byday,byweekno,bymonthday,byyearday,description
1,,571421925629438,,,,8:30AM,5:30PM,,,,,,,,
2,,1146850101014457,,,,8:30AM,5:00PM,,,,,,,,
3,,953875575104132,,,,8:30AM,5:00PM,,,,,,,,
4,,,,,,8:30AM,5:00PM,,,,,,,,
5,,,,,,9:00AM,5:00PM,,,,,,,,
6,,,,,,"24 hours",,,,,,,,,
7,"Martha's Table at the Maycroft - Early Learning Center Infant, Toddler & Preschool Program",667387929525624,988814873768650,,"Monday - Friday",,,7:00AM,6:00PM,,,,,,,,
8,"Elaine Ellis - MD - Tue",778121485505827,1020706673677182,,Tuesday,,,9:00AM,8:00PM,,,,,,,,
8,"Elaine Ellis - MD - Tue",891245636047663,1020706673677182,,Tuesday,,,9:00AM,8:00PM,,,,,,,,
8,"Elaine Ellis - MD - Tue",953570402846759,1020706673677182,,Tuesday,,,9:00AM,8:00PM,,,,,,,,
8,"Elaine Ellis - MD - Tue",1049005398980524,1020706673677182,,Tuesday,,,9:00AM,8:00PM,,,,,,,,
8,"Elaine Ellis - MD - Tue",1134389546347902,1020706673677182,,Tuesday,,,9:00AM,8:00PM,,,,,,,,
8,"Elaine Ellis - MD - Tue",1225681361275050,1020706673677182,,Tuesday,,,9:00AM,8:00PM,,,,,,,,
9,,,,,,7:00AM,,,,,,,,,
10,"Mary's Center - Adams Morgan DC - WIC Hours - Monday - Friday",1210844998367589,1146850101014457,,"Monday - Friday",,,8:00AM,5:00PM,,,,,,,,
11,"Elaine Ellis - MD - Monday, Wed-Thur",778121485505827,1020706673677182,,"Monday, Wed-Thur",,,9:00AM,6:00PM,,,,,,,,
11,"Elaine Ellis - MD - Monday, Wed-Thur",891245636047663,1020706673677182,,"Monday, Wed-Thur",,,9:00AM,6:00PM,,,,,,,,
11,"Elaine Ellis - MD - Monday, Wed-Thur",953570402846759,1020706673677182,,"Monday, Wed-Thur",,,9:00AM,6:00PM,,,,,,,,
11,"Elaine Ellis - MD - Monday, Wed-Thur",1049005398980524,1020706673677182,,"Monday, Wed-Thur",,,9:00AM,6:00PM,,,,,,,,
11,"Elaine Ellis - MD - Monday, Wed-Thur",1134389546347902,1020706673677182,,"Monday, Wed-Thur",,,9:00AM,6:00PM,,,,,,,,
11,"Elaine Ellis - MD - Monday, Wed-Thur",1225681361275050,1020706673677182,,"Monday, Wed-Thur",,,9:00AM,6:00PM,,,,,,,,
12,,,,,,9:00AM,11:00AM,,,,,,,,
13,,557042258022055,,,,9:00AM,5:00PM,,,,,,,,
14,"UPO 24 Hours",773172814806209,,,"Monday - Sunday",,,"24 hours",,,,,,,,,
14,"UPO 24 Hours",869422229117923,,,"Monday - Sunday",,,"24 hours",,,,,,,,,
15,,,,,,10:00AM,3:00PM,,,,,,,,
16,,754270075554049,,,,9:00AM,5:00PM,,,,,,,,
17,"G Street",830345150121911,938559947702992,,"Monday - Friday",,,9:00AM,5:00PM,,,,,,,,
17,"G Street",974973185011225,938559947702992,,"Monday - Friday",,,9:00AM,5:00PM,,,,,,,,
17,"G Street",973083960423797,938559947702992,,"Monday - Friday",,,9:00AM,5:00PM,,,,,,,,
17,"G Street",1089414876670662,938559947702992,,"Monday - Friday",,,9:00AM,5:00PM,,,,,,,,
18,"NLSP Office Hours",617717048691003,"826158382123021,759833313909140,819741028296646",,"Monday - Friday",,,9:00AM,5:30PM,,,,,,,,
18,"NLSP Office Hours",1245717986328193,"826158382123021,759833313909140,819741028296646",,"Monday - Friday",,,9:00AM,5:30PM,,,,,,,,
19,,1331394191570751,,,,9:00AM,5:00PM,,,,,,,,
20,,,,,,Nights,Mornings,,,,,,,,
21,,1118558741921381,,,,8:00AM,8:00PM,,,,,,,,
22,,1142441892698286,,,,8:30AM,4:00PM,,,,,,,,
23,"Conway Health and Resource Center -  Emotional Wellness Hours  - Mon - Wed, Fri",915604912347301,1279229683648851,,"Mon - Wed, Fri",,,8:30AM,5:00PM,,,,,,,,
23,"Conway Health and Resource Center -  Emotional Wellness Hours  - Mon - Wed, Fri",1086669106439677,1279229683648851,,"Mon - Wed, Fri",,,8:30AM,5:00PM,,,,,,,,
24,"Conway Health and Resource Center - Dental Hours - Saturday",1225681361275050,1279229683648851,,Saturday,,,9:00AM,3:30PM,,,,,,,,
25,,758324816049097,,,,3:00PM,7:00PM,,,,,,,,
26,"Conway Health and Resource Center - Medical Hours - Wednesday",573712074661708,1279229683648851,,Wednesday,,,8:30AM,8:00PM,,,,,,,,
26,"Conway Health and Resource Center - Medical Hours - Wednesday",1107196998383990,1279229683648851,,Wednesday,,,8:30AM,8:00PM,,,,,,,,
27,,626384571287639,,,,"24 Hours",,,,,,,,,
28,"Food and Friends  - Mon-Thur",748538600142879,,,"Monday - Thursday",,,8:00AM,5:00PM,,,,,,,,
28,"Food and Friends  - Mon-Thur",905112130077089,,,"Monday - Thursday",,,8:00AM,5:00PM,,,,,,,,
28,"Food and Friends  - Mon-Thur",1210844998367589,,,"Monday - Thursday",,,8:00AM,5:00PM,,,,,,,,
29,"Mary's Center - Adams Morgan DC - Behavioral Health Hours ",570279198497703,1146850101014457,,"Monday - Friday",,,8:00AM,6:00PM,,,,,,,,
29,"Mary's Center - Adams Morgan DC - Behavioral Health Hours ",567687090092713,1146850101014457,,"Monday - Friday",,,8:00AM,6:00PM,,,,,,,,
29,"Mary's Center - Adams Morgan DC - Behavioral Health Hours ",615102245607234,1146850101014457,,"Monday - Friday",,,8:00AM,6:00PM,,,,,,,,
29,"Mary's Center - Adams Morgan DC - Behavioral Health Hours ",1054654881182092,1146850101014457,,"Monday - Friday",,,8:00AM,6:00PM,,,,,,,,
29,"Mary's Center - Adams Morgan DC - Behavioral Health Hours ",1073305429578122,1146850101014457,,"Monday - Friday",,,8:00AM,6:00PM,,,,,,,,
29,"Mary's Center - Adams Morgan DC - Behavioral Health Hours ",1049979809257514,1146850101014457,,"Monday - Friday",,,8:00AM,6:00PM,,,,,,,,
29,"Mary's Center - Adams Morgan DC - Behavioral Health Hours ",1149133594765984,1146850101014457,,"Monday - Friday",,,8:00AM,6:00PM,,,,,,,,
29,"Mary's Center - Adams Morgan DC - Behavioral Health Hours ",1171041183154896,1146850101014457,,"Monday - Friday",,,8:00AM,6:00PM,,,,,,,,
29,"Mary's Center - Adams Morgan DC - Behavioral Health Hours ",1281873572081806,1146850101014457,,"Monday - Friday",,,8:00AM,6:00PM,,,,,,,,
30,,1281917418518969,,,,9:00AM,5:00PM,,,,,,,,
31,,818197734902999,,,,8:30AM,4:00PM,,,,,,,,
32,,625247779378848,,,,11:00AM,7:00PM,,,,,,,,
33,,,,,,9:00AM,5:00PM,,,,,,,,
34,,1146850101014457,,,,8:30AM,9:00PM,,,,,,,,
35,"Phyllis Wheatley YWCA",989379893295634,1276820526849172,,"Monday - Friday",,,9:00AM,5:00PM,,,,,,,,
36,,1320760535782101,,,,9:00AM,6:00PM,,,,,,,,
37,"Norther Virginia Outpatient Center",585745505232672,1168148392185022,,"Monday - Friday",,,8:00AM,5:00PM,,,,,,,,
37,"Norther Virginia Outpatient Center",583905742719734,1168148392185022,,"Monday - Friday",,,8:00AM,5:00PM,,,,,,,,
37,"Norther Virginia Outpatient Center",876118989495452,1168148392185022,,"Monday - Friday",,,8:00AM,5:00PM,,,,,,,,
37,"Norther Virginia Outpatient Center",1330489680518823,1168148392185022,,"Monday - Friday",,,8:00AM,5:00PM,,,,,,,,
38,,1250565194691665,,,,10:00AM,4:00PM,,,,,,,,
39,"Mary's Center - Adams Morgan DC - Medical Hours - Monday, Wednesday, Friday",771415038083007,1146850101014457,,"Monday, Wednesday, Friday",,,8:00AM,6:00PM,,,,,,,,
39,"Mary's Center - Adams Morgan DC - Medical Hours - Monday, Wednesday, Friday",778121485505827,1146850101014457,,"Monday, Wednesday, Friday",,,8:00AM,6:00PM,,,,,,,,
39,"Mary's Center - Adams Morgan DC - Medical Hours - Monday, Wednesday, Friday",927583086660595,1146850101014457,,"Monday, Wednesday, Friday",,,8:00AM,6:00PM,,,,,,,,
39,"Mary's Center - Adams Morgan DC - Medical Hours - Monday, Wednesday, Friday",935391639326831,1146850101014457,,"Monday, Wednesday, Friday",,,8:00AM,6:00PM,,,,,,,,
39,"Mary's Center - Adams Morgan DC - Medical Hours - Monday, Wednesday, Friday",1135119642997578,1146850101014457,,"Monday, Wednesday, Friday",,,8:00AM,6:00PM,,,,,,,,
39,"Mary's Center - Adams Morgan DC - Medical Hours - Monday, Wednesday, Friday",1222212212143407,1146850101014457,,"Monday, Wednesday, Friday",,,8:00AM,6:00PM,,,,,,,,
39,"Mary's Center - Adams Morgan DC - Medical Hours - Monday, Wednesday, Friday",1330210073954058,1146850101014457,,"Monday, Wednesday, Friday",,,8:00AM,6:00PM,,,,,,,,
40,,1210032943864131,,,,10:00AM,2:00PM,,,,,,,,
41,,680369109388099,,,,9:30AM,5:00PM,,,,,,,,
42,,,,,,10:00AM,12:00PM,,,,,,,,
43,,,,,,"24 Hours",,,,,,,,,
44,"UPO Petey Greene - Saturday",790527027022440,1288442867873978,,Saturday,,,7:00AM,11:00AM,,,,,,,,
44,"UPO Petey Greene - Saturday",782329565925103,1288442867873978,,Saturday,,,7:00AM,11:00AM,,,,,,,,
44,"UPO Petey Greene - Saturday",828103015767690,1288442867873978,,Saturday,,,7:00AM,11:00AM,,,,,,,,
44,"UPO Petey Greene - Saturday",824403148838289,1288442867873978,,Saturday,,,7:00AM,11:00AM,,,,,,,,
44,"UPO Petey Greene - Saturday",823287765002075,1288442867873978,,Saturday,,,7:00AM,11:00AM,,,,,,,,
44,"UPO Petey Greene - Saturday",925701018774057,1288442867873978,,Saturday,,,7:00AM,11:00AM,,,,,,,,
44,"UPO Petey Greene - Saturday",957811011700764,1288442867873978,,Saturday,,,7:00AM,11:00AM,,,,,,,,
44,"UPO Petey Greene - Saturday",944606179638640,1288442867873978,,Saturday,,,7:00AM,11:00AM,,,,,,,,
44,"UPO Petey Greene - Saturday",1097124274962034,1288442867873978,,Saturday,,,7:00AM,11:00AM,,,,,,,,
44,"UPO Petey Greene - Saturday",1131822692438420,1288442867873978,,Saturday,,,7:00AM,11:00AM,,,,,,,,
44,"UPO Petey Greene - Saturday",1115773035158894,1288442867873978,,Saturday,,,7:00AM,11:00AM,,,,,,,,
44,"UPO Petey Greene - Saturday",1222343403264201,1288442867873978,,Saturday,,,7:00AM,11:00AM,,,,,,,,
44,"UPO Petey Greene - Saturday",1234923855165980,1288442867873978,,Saturday,,,7:00AM,11:00AM,,,,,,,,
44,"UPO Petey Greene - Saturday",1272403811888637,1288442867873978,,Saturday,,,7:00AM,11:00AM,,,,,,,,
44,"UPO Petey Greene - Saturday",1274090737385222,1288442867873978,,Saturday,,,7:00AM,11:00AM,,,,,,,,
44,"UPO Petey Greene - Saturday",1244177955657488,1288442867873978,,Saturday,,,7:00AM,11:00AM,,,,,,,,
45,,,,,,8:30AM,11:00AM,,,,,,,,
46,"Family Health and Birth Center - Emotional Wellness Hours - Mon, Wed-Friday",621585086191000,898004780647297,,"Mon, Wed-Fri",,,8:30AM,5:00PM,,,,,,,,
46,"Family Health and Birth Center - Emotional Wellness Hours - Mon, Wed-Friday",915604912347301,898004780647297,,"Mon, Wed-Fri",,,8:30AM,5:00PM,,,,,,,,
46,"Family Health and Birth Center - Emotional Wellness Hours - Mon, Wed-Friday",1185359834982349,898004780647297,,"Mon, Wed-Fri",,,8:30AM,5:00PM,,,,,,,,
47,,636167681957227,,,,8:30AM,5:30PM,,,,,,,,
48,"Neurology at Montgomery County Outpatient Center",890516898015838,,,"Monday - Friday",,,8:30AM,4:00PM,,,,,,,,
49,"Martha's Table Headquarters - Main Hours - Mon-Fri",753746449496571,636848661261240,,"Monday - Friday",,,6:30AM,6:00PM,,,,,,,,
49,"Martha's Table Headquarters - Main Hours - Mon-Fri",810458383121333,636848661261240,,"Monday - Friday",,,6:30AM,6:00PM,,,,,,,,
49,"Martha's Table Headquarters - Main Hours - Mon-Fri",905712024453663,636848661261240,,"Monday - Friday",,,6:30AM,6:00PM,,,,,,,,
49,"Martha's Table Headquarters - Main Hours - Mon-Fri",1208941632060908,636848661261240,,"Monday - Friday",,,6:30AM,6:00PM,,,,,,,,
50,"Bread for the City Health Care Friday",1038206932789964,,,Friday,,,8:30AM,12:00PM,,,,,,,,
51,,1288638701381373,,,,9:00AM,1:00PM,,,,,,,,
52,"Family Health and Birth Center - Medical Hours - Saturday",573712074661708,898004780647297,,Saturday,,,9:00AM,3:30PM,,,,,,,,
52,"Family Health and Birth Center - Medical Hours - Saturday",1185359834982349,898004780647297,,Saturday,,,9:00AM,3:30PM,,,,,,,,
53,,"765146043026123,1239287635408868",,,,9:00AM,4:30PM,,,,,,,,
54,,1250362245990206,,,,9:00AM,5:00PM,,,,,,,,
55,,1153279049261324,,,,"By appointment",,,,,,,,,
56,,,,,,12:30PM,2:15PM,,,,Saturday,,,,
57,"Conway Health and Resource Center - Dental Hours - Mon - Fri",1225681361275050,1279229683648851,,"Monday - Friday",,,8:30AM,5:00PM,,,,,,,,
58,,1260258325512587,,,,1:00PM,3:00PM,,,,,,,,
59,"Mary's Center - Petworth Health Center - WIC - Saturday",1210844998367589,1202618027693441,,Saturday,,,9:00AM,1:00PM,,,,,,,,
60,,,,,,10:00AM,2:00PM,,,,,,,,
61,"Assumption Catholic Church Food Pantry & Clothing Closet",1011096322447568,,,"Monday, Wednesday, Friday",,,9:00AM,12:00PM,,,,,,,,
62,"Family Health and Birth Center - Medical Hours - Tuesday",573712074661708,898004780647297,,Tuesday,,,8:30AM,8:00PM,,,,,,,,
62,"Family Health and Birth Center - Medical Hours - Tuesday",1185359834982349,898004780647297,,Tuesday,,,8:30AM,8:00PM,,,,,,,,
63,,,,,,9:00AM,5:00PM,,,,,,,,
64,,,,,,"24 Hours",,,,,,,,,
65,"Legal Aid Society of DC - Big Chair - General Intake",617717048691003,816235551756131,,"Monday, Thursday",,,10:00AM,1:30PM,,,,,,,,
65,"Legal Aid Society of DC - Big Chair - General Intake",761788898992773,816235551756131,,"Monday, Thursday",,,10:00AM,1:30PM,,,,,,,,
65,"Legal Aid Society of DC - Big Chair - General Intake",973325735749516,816235551756131,,"Monday, Thursday",,,10:00AM,1:30PM,,,,,,,,
65,"Legal Aid Society of DC - Big Chair - General Intake",1245717986328193,816235551756131,,"Monday, Thursday",,,10:00AM,1:30PM,,,,,,,,
66,,890802848970199,,,,2:00PM,7:00PM,,,,,,,,
67,"Far Southeast Family Strengthening Collaborative - Mon, Wed, Fri",618510425235763,,,"Monday, Wednesday, Friday",,,9:00AM,5:30PM,,,,,,,,
67,"Far Southeast Family Strengthening Collaborative - Mon, Wed, Fri",678336489867060,,,"Monday, Wednesday, Friday",,,9:00AM,5:30PM,,,,,,,,
67,"Far Southeast Family Strengthening Collaborative - Mon, Wed, Fri",763106931954514,,,"Monday, Wednesday, Friday",,,9:00AM,5:30PM,,,,,,,,
67,"Far Southeast Family Strengthening Collaborative - Mon, Wed, Fri",936906190018086,,,"Monday, Wednesday, Friday",,,9:00AM,5:30PM,,,,,,,,
67,"Far Southeast Family Strengthening Collaborative - Mon, Wed, Fri",954270986825825,,,"Monday, Wednesday, Friday",,,9:00AM,5:30PM,,,,,,,,
67,"Far Southeast Family Strengthening Collaborative - Mon, Wed, Fri",949725297401271,,,"Monday, Wednesday, Friday",,,9:00AM,5:30PM,,,,,,,,
