id,organization_id,program_id,name,alternate_name,description,url,email,status,interpretation_services,application_process,wait_time,fees,accreditations,licenses
540866542533436,1148831835061989,,"Adult Individual and Group Therapy",,"Covers broad topics including conflict resolution, wellness, grief and loss, trauma, domestic violence.",http://hillcrest-dc.org/services/adult-services/,info@hillcrest-dc.org,active,,"Call or walk-in for services.",,,,
544257595598049,1172656271433522,,"ESOL Program (English as a Second Language)",,"The Spanish Catholic Center in Gaithersburg, Maryland offers unique English as an Other Language (ESOL) programs designed to provide educational resources that will allow non-native English speakers to learn vital life and work skills.

ESOL courses focus on assisting non-native English speakers master English as an educational and vocational tool.  These courses are offered during 11-week sessions in the Spring, Summer and Fall.  Please note that pre-registration is required.
The Family and Children Literacy Program: Support for the family – A program for parents and children to study in the same environment. From Monday to Thursday, while parents take classes, children from 3 to 12 years old participate in a program of academic support. They may complete their homework and learn new things near their family.
The Spanish Literacy Program, designed for native Spanish speakers, aims to increase literacy in Spanish among individuals who may not have received a formal education in their home country.
Learners in the ESOL program are eligible to participate in all the services provided by the Spanish Catholic Center in Gaithersburg.  We offer a transition program where they can learn about opportunities to continue their formal education, transition to higher paying jobs, and learn about all the support programs in the agency and in the local community.",https://www.catholiccharitiesdc.org/esol/,Laura.Irwin@cc-dc.org,active,,"To register, email the ESOL program to request a registration form. Email: Laura.Irwin@cc-dc.org",,,,
561831919465625,1287549685614240,,"Pharmacy - Mary's Center",,"Full service pharmacy.",https://www.maryscenterpharmacy.org/app/#/,,active,,"Visit website, call, or walk in. You will need a prescription.",,,,
566547951213450,1329764475795847,,"Comprehensive Cancer Control Program (CCCP)",,"The District of Columbia government sponsors an array of health promotion services and free cancer screening. Additional efforts are being made to increase access to quality care, increase awareness about the importance of timely detection, and improve palliative and end-of-life care.

The Striving for Wellness Program provides comprehensive cancer education for the gay and lesbian, Hispanic, Ethiopian and Vietnamese community. If you are interested in using these materials to educate your community please contact (202) 442-9170.

For more information about free prevention, screening, and health services please call the CCCP at (202) 442-9170. ",https://dchealth.dc.gov/service/cancer,,active,,"Call for more information.
",,,,
570279198497703,1287549685614240,,"Health Home Behavioral Health",,"The Mary’s Center DC Health Homes team is here to help you manage your physical and mental health chronic conditions and create a personalized plan of care to improve health outcomes.  

Mary’s Center became a certified DC Health Homes provider in January 2016, when the Department of Health Care Finance (DHCF) launched the My DC Health Homes program to benefit Medicaid recipients.  

All DC Health Homes services are optional and will not affect your eligibility for other Medicaid services. All services are covered under Medicaid with no additional fees. 

To enroll, please contact Tara Pavao, our Health Homes Director at (202) 389-2486. Once you are enrolled, our HH team coordinates your medical and behavioral healthcare needs by pairing you with a Nurse Care Manager and a Community Support Worker. Your Nurse Care Manager and Community Support Worker will:  

Schedule medical and mental health appointments, send reminders, and help secure transportation. 
Monitor your chronic physical and mental health conditions to determine adherence to or variance from evidence-based treatment guidelines. 
Make sure you have the right medications and you are taking them correctly. 
Follow up after you are discharged from the hospital. 
Connect you to other community resources such as housing, food, transportation insurance re-certification, and legal assistance as needed. 
Provide support for you and your family on your pathway to better health. ",https://www.maryscenter.org/behavioral-health/adults-and-seniors/dc-health-home/,tpavao@maryscenter.org,active,,"To enroll, please contact Tara Pavao, our Health Homes Director at (202) 389-2486.
To enroll, call the Behavioral Health front desk at (202) 851-3671 
To reach Tara Pavao, DC Health Homes Director, call (202) 389-2486 or email tpavao@maryscenter.org 

We accept most insurance plans including Medicaid and Medicare. If you don’t have health insurance, we’ll help you apply for public benefits or provide care at a discount. Comprehensive list of insurances are available on our website.",,,,
584221387739490,1078800059400169,,"Senior StayCool",,"The Department of Aging and Community Living's Senior StayCool Program repairs or replaces window air conditioning unit(s) and inoperable heating, ventilating, and air conditioning (HVAC) centralized units for income-eligible seniors.

How many Units allowed?

In instances where a property owner does not have a cooling system in place, no more than two window air conditioning units may be installed depending on need.

Who should apply?

District residents, age 60 and over who are homeowners or renters of a property used as a primary residence, with an annual household income at or below 60% of Area Median Income (AMI)*.",https://dacl.dc.gov/service/senior-staycool,dacl@dc.gov,active,,"Call to apply.",,,,
586144902080222,1329764475795847,,"Free Pregnancy Tests, Condoms, and Family Planning",,"Even at the very beginning of a pregnancy, your baby is developing fast, so it’s important to find out early on if you’re pregnant.

Women can obtain a free pregnancy test by calling 1-800-MOM-BABY (1-800-666-2229) to find a location near them.

Both men and women can receive free condoms and family planning counseling and referral by calling 1-800-666-2229.

For information call 1-800-MOM-BABY (1-800-666-2229).

Prospective and eligible parenting women and men also have an opportunity to participate in programs geared to educate and support their needs, including DC Healthy Start.",https://dchealth.dc.gov/service/pregnancy-program,,active,,"Call for more information.",,,,
590856913957665,650479626662564,,"Greentree Shelter (GTS)",,"The Greentree Shelter (GTS) is the largest emergency family shelter in Maryland’s Montgomery County. GTS receives children and their parents facing sudden homelessness. Serving county residents since 1983, GTS annually provides 115 children and their parents the support needed to overcome homelessness with short-term stable housing, food, and the support systems necessary to regain their footing and rebuild their lives.

To combat the long-lasting social and psychological impacts of homelessness on children, and NCCF utilizes a child-centered approach. GTS provides wraparound support through community partnerships and collaborations with over 300 volunteers annually to ensure families are enriched by opportunities to achieve their goals. During times of uncertainty, children are able to experience the joys of childhood through activities provided by volunteers. Our volunteers facilitate experiences such as pizza and movie nights, birthday parties, bowling nights. GTS also offers an onsite playground built by a group of dedicated volunteers. Moreover, GTS is the only shelter for homeless families in Montgomery County with an on-site structured childcare center and therapeutic child access capability.

Families transition out of GTS with stable housing, enhanced self-esteem, improved and varied life skills, and healthier relationships, all of which help them to avoid becoming homeless again. Support services include counseling, parent education, life skills training, after-school tutoring, substance abuse education and prevention, GED classes, computer training, and employment assistance.",https://www.nccf-cares.org/family-services/,abarney@nccf-cares.org,active,,"Call or email for more information.",,,,
603580181050118,1169767322641878,,"Homeless Counseling Services",,"Services are offered to help people without a home locate affordable housing and avoid homelessness.",http://housingetc.org/,,active,,"Call to schedule an appointment or find out when workshops are taking place.",,,,
567687090092713,1287549685614240,,"Energy Assistance Program",,"Life can sometimes throw unexpected challenges your way making it hard to keep up with the bills. Thanks to a grant from Pepco Holdings Inc. Community Foundation, our Energy Assistance Program allows us to help you pay a portion of your household’s heating and electric bill. To participate in the one-time emergency program, you must: 

Be a resident of Prince George’s County, Maryland 
Be unable to pay your utility bill because of documented financial hardship  
Be at risk of disconnection from your gas or electric service 
Have an annual household income (before taxes) below the federal poverty level. 
Please remember this program is meant to help you pay a portion of your household’s heating/electric bill, not the entire annual cost of heating your home.  
",https://www.maryscenter.org/social-services/referrals-and-resources/energy-assistance-program/,,active,,"To be considered for the Energy Assistance Program, you must call (202) 545-2024 to schedule an appointment.  Appointments are held on Wednesdays at 2355 Ontario Road, NW Washington, DC 20009 and Fridays at  8908 Riggs Road, Adelphi, Maryland 20783 and last approximately 30 minutes.  

Applications are only accepted in person and by appointment. Mailed, faxed, or e-mailed paperwork WILL NOT be accepted. Applications will NOT be processed unless ALL information is provided. Incomplete applications will result in delay or denial. Please bring the documents listed below to your scheduled appointment. 

Required Documents 
Photo ID of applicant
Proof of Identification for ALL members of your household (e.g. – social security card, birth certificate, driver’s license, or passport)
Proof of Residency (e.g. – copy of mortgage, lease, or rental agreement) 
Gas/Electric Bill; Disconnection Notice (if applicable)
Proof of Income for the ENTIRE Household  (e.g. – employment paystubs, social security income, food stamps, unemployment, child support, disability, retirement, veterans’ benefits, survivors’ benefits, etc.) 
Proof of Hardship or Inability to Pay (e.g. employment termination letter, unemployment claim, medical bills, proof of loss of other income, OR budget showing insufficient funds)
Letter explaining your emergency situation ",,,,
