"id","organization_id","name","alternate_name","description","program_service_relationship","services"
"603957923828203","","Community Wellness","alter","When we feel our best, we can do and be our best. Our team connects DC residents with the healthy food options, shelter, and support needed on the journey to feeling well and living well!","","785748915877787"
"582221223032363","765268136875870","Transitional Housing","","","","825698319066110"
"611766872329127","1126607081226356","Seniors","","JSSS's program for seniors.","","943690370414778,1237618325820422,1176914771702299,1248465838378546,822886605211738,609280054378490"
"665627203303988","1280943812182660","Ready2Succeed","","Our Ready2Succeed workforce development programs provide valuable training, job experience and references, as well as the opportunity to earn and save wages for permanent housing. Participants no longer struggle with life-altering addictions or behavior and are motivated to achieve independent employment. For more information download the Men’s Ministry Brochure. https://www.missiondc.org/wp-content/uploads/2019/07/men_programs_brochure_2019-7.pdf","","1136496312754304,638870700632782,929579985962021,1156988661828912,1333335607705891,911241036881136"
"798032515591868","558598955804152","Adult Day Services","","","","645620379335062,623011102913209,1263144790142252,660686319121862,960770573404461"
"761532990228716","558598955804152","Kensington Clubs","","Since 2008, the Kensington Clubs have been offering activities, camaraderie and coping skills for people in the early stages of diagnosed memory loss. Participants enjoy stimulating cognitive and physical programs, morning coffee and lunch in a supportive environment among peers. Caregivers receive respite and support. We have multiple locations for our Kensington Clubs throughout Montgomery County. Kensington Club is specially designed to serve older adults with diagnosed early stage dementia or mild cognitive impairment. Since 2008, we have been serving people who: Can enjoy the company of others with minimal risk of wandering, Take medication independently or with verbal supervision only, Are able to eat and use the bathroom without assistance, Ambulate independently or with a cane. The Club is an outlet for those with early memory loss who desire opportunities to challenge their mind and try new interests, who want to be pro-active and do something about their memory loss, and who can benefit from being around others in a stimulating and positive environment. Through social interaction, mental challenges and physical activity, the Club seeks to maintain an intimacy and friendship that set it apart from other social day programs. Each member is treated as an individual and a sense of belonging to the Club is evident. Members find common ground and make friends. They recognize that Kensington Club caters to their individual interests and personalities in an atmosphere of warmth and acceptance.","","660686319121862,960770573404461"
"852046417603864","1235669446637932","Youth Services","","Success in school sets the path for success in life. Our team educates, motivates, and encourages DC’s youth on their journey inside, outside, and beyond the classroom! UPO’s Youth Services Division is here to help keep your child fulfilled, focused, and moving forward throughout the day and over the years. Our education and enrichment programs for first-graders to high school seniors are designed to make kids feel better about themselves, improve their academic and social skills, and become productive members of society. We also provide family support services to help create a supportive, nurturing setting for children and their families to develop, grow, and succeed.","","1244177955657488,824403148838289,1222343403264201"
"838838258381308","1126607081226356","Children and Adolescents","","JSSS's program for children and adolescents.","","1158805154331276,596509168605852,1224495074701354,985539150706956,992653786137258,911214413937448,963242266021755"
"889519031943155","948639800544467","Family Advocacy","","","","958276513381633,979425998294597,669665309659481"
"920619210076352","1031170884115304","Family Counseling","","Dealing with the problems of parenting. Individual and group sessions. Marital; Parent and Child relationships.( By Appointment Only)","","710118290554444,1055040381486326,622808373738547,1183803576061841,872607427636909"
