id,organization_id,program_id,name,alternate_name,description,url,email,status,interpretation_services,application_process,wait_time,fees,accreditations,licenses
136,136,,"GIRL SCOUTS COUNCIL OF TROPICAL FLORIDA, INC.",,"The Girl Scout Council of Tropical Florida, Inc. is the preeminent local organization dedicated solely to all girls. Where, in an accepting and nurturing environment,girls build courage, confidence, and character. In partnership with committed adult volunteers, girls develop qualities that will serve them all their lives, such as, leadership, strong values, social conscience, and conviction about their own potential and self-worth.\n\n###MON###",www.girlscoutsfl.org,,,,Call to register,,,,
143,143,,OFFICE OF THE ATTORNEY GENERAL,,"The Office of the Attorney General, through the Division of Victim Services and Criminal Justice Programs, administers the Crimes Compensation Trust Fund. The division is comprised of the Bureau of Victim Compensation, the Bureau of Criminal Justice Programs, and the Bureau of Advocacy and Grants Management. Working in concert, the division seeks to meet the needs of crime victims by providing financial assistance through the victims compensation program; specialized direct services programs throughout the state. Additionally, the division is responsible for the allocation of the VOCA assistance grants to public and not for profit agencies and is responsible for the Address Confidentiality Program.\n\n\n###MON###\n###COL###",www.myfloridalegal.com,,,,Must call for assessment on case,,,,
144,143,,BUREAU OF VICTIM COMPENSATION,,"The Bureau of Victim Compensation administers financial assistance to victims who suffer economic losses; medical and mental health expenses; burial expenses; domestic violence, sexual battery, and human trafficking relocation; tangible property losses; and pays for sexual battery forensic examinations. Awards are addressed to and on behalf of eligible persons, but only after all other sources of payment have been exhausted. Payments accepted by in-state providers on behalf of victims are considered payment-in-full per Florida Statute. Total victim compensation benefits cannot exceed the maximum award amount determined by the current benefit payment schedule. Limits below the maximum may apply to specific benefits, which may be reduced without prior notice to the award recipient based on the availability of funding.\n\n**Note: Only those expenses directly related to the crime will be considered for payment.**",www.myfloridalegal.com,,,,"The process is initiated when a Victim Compensation Claim Form, completed by a victim or applicant, and a law enforcement report from the proper authorities, is submitted to the department within one year from the date of crime or two years with good cause.  \n\nThe form is assigned a claim number and reviewed to determine if the eligibility criterion pursuant to law is met. If the claim is determined eligible, the victim/applicant is notified to submit compensable expenses for payment consideration. If the claim is denied, the victim/applicant is notified of their appeal rights.  \n\nIf you require an application, you may download the claim form at www.myfloridalegal.com, select GÇÿAbout the OfficeGÇÖ, next GÇÿVictims AdvocacyGÇÖ, and finally GÇÿHow to File for Victims CompensationGÇÖ. For additional information about how to complete the application, please feel free to contact 800-226-6667. Your local victim advocate at the State AttorneyGÇÖs Office or law enforcement agency may also be able to assist you.",,,,
145,145,,MIAMI-DADE COUNTY BUILDING AND NEIGHBORHOOD COMPLIANCE DEPARTMENT,M-DC BUILDING AND NEIGHBORHOOD COMPLIANCE DEPARTMENT,"Building and Neighborhood Compliance is committed to maintaining neighborhoods and improving the quality of life in our community. We provide residential and commercial code compliance services in unincorporated Miami-Dade County. \n\nWe emphasize community education and voluntary compliance while seeking solutions for citizen concerns. Our main objective is to address violations such as overgrown lots, junk and trash, abandoned vehicles, graffiti, illegal signs in the right-of-way, zoning violations and other neighborhood maintenance regulations; in order to enhance life safety and aesthetics in our community.",http://www.miamidade.gov/building/neighborhood-compliance.asp,,,,Must call to setup an appointment for inspection,,,,
147,147,,"UNITED WAY OF MIAMI-DADE, INC.",,"United Way brings us together as a community to focus on the human care issues that matter most. It is a powerful partnership that improves people's lives and strengthens our community.  \n\nIn Miami Dade, we have a plan to achieve measurable outcomes in the areas of helping kids and families lead successful lives, improve health and independence, responding to emergency and basic needs, and encouraging neighborhood and civic involvement.",unitedwaymiami.org,,,,Varies on program of interest,,,,
149,149,,SALVATION ARMY,,"The Salvation Army has been serving Miami-Dade since 1913 through shelters, rehabilitation centers, emergency food, rental assistance, emergency disaster services, Christmas assistance, daily community outreach programs and more. \n\nThe Salvation Army provides 280 beds across three lodges to individuals recovering from a number of personal crises. Temporary shelter is intended to empower people to regain their independence and self-sufficiency. Our guests receive housing, meals, case management, life skills instruction and counseling in a clean, safe and supportive environment.\n\nTemporary housing under The Salvation ArmyGÇÖs Red Shield is designated for single women, single mothers with children, intact families, single men, single fathers with children, men and women veterans, those with HIV/AIDS and those needing recuperative care from medical incidents.\n\nAdditional services include tutoring, support groups, spiritual support and ad-hoc community services for employment and housing opportunities.",www.salvationarmymiami.com,,,,Contact the Social Services Department for intake requirements,,,,
150,149,,DONATION CENTER,,Operates numerous sites as donation centers to collect items for sale in Salvation Army thrift stores. Proceeds of sales are used to benefit Salvation Army's programs and clients. Your gently used household items and clothes can transform lives. Schedule a pickup today and help us continue Doing The Most Good.,www.salvationarmymiami.com,,,,Call for additional information,,,,
151,149,,THRIFT STORE #4,,"Offers gently used clothing, shoes, linens, housewares, mattresses, furniture, toys, sporting goods, etc. for sale. Proceeds of sales are used to benefit Salvation Army's programs and clients.",www.salvationarmymiami.com,,,,None,,,,
152,149,,WOMEN AND CHILDREN'S LODGE,,"Provides emergency housing for women and children. Food, social, recreational and educational programs, individual counseling and case management provided. Maintains Women in Distress, to shelter and counsel battered women, and male children up to age 18.\n\n****MUST BE REFERRED THROUGH HOMELESS HELPLINE (877) 994-4357****",www.salvationarmymiami.com,,,,Must be referred through the Homeless Helpline (877) 994-4357,,,,
156,149,,MEN'S LODGE,,Provides emergency shelter and case management for homeless males.\n\n****MUST BE REFERRED THROUGH HOMELESS HELPLINE (877) 994-4357****,www.salvationarmymiami.com,,,,Must be referred by Homeless Helpline,,,,
158,149,,THRIFT STORE #1,,"Offers gently used clothing, shoes, linens, housewares, mattresses, furniture, toys, sporting goods, etc. for sale. Proceeds of sales are used to benefit Salvation Army's programs and clients.",www.salvationarmymiami.com,,,,None,,,,
160,149,,COMMUNITY PANTRY,,"The Community Pantry provides daily groceries to the first 25 people on a first come, first serve basis. \n\n***Please arrive at 8:30am to receive your groceries.***",www.salvationarmymiami.com,,,,Please call Social Services Department for all intake procedures,,,,
161,149,,HERE'S HOPE,,"Here's Hope is a 72 bed facility that provides transitional housing, meals, case management, NA and AA support groups, individual drug and alcohol counseling, HIV education, life skills, and provide referrals for physical and mental health care to individuals and families infected or affected by HIV/AIDS.",www.salvationarmymiami.com,,,,Referrals made through community agencies.,,,,
163,149,,ADULT REHABILITATION CENTER,,"The Adult Rehabilitation Center (ARC) is a six to twelve-month Christian residential program with a work therapy component. The ARC operates a program addressing the spiritual, physical, social and emotional needs of its participants. Each beneficiary participates in work therapy which includes the facility upkeep or food service as well as the collection and preparation of donated goods. Housing, meals, clothing and rehabilitation services are provided to participants.",www.salvationarmymiami.com,,,,"All clients must provide current identification, social security card and ability to work required",,,,
164,164,,MIAMI-DADE GOVERNMENT INFORMATION CENTER,,"The Government Information Center provides access to government services through our web portal miamidade.gov and the 3-1-1 Answer Center, the Miami-Dade's multi-jurisdictional call center for non-emergency government services.",http://www.miamidade.gov/information/311.asp,,,,None,,,,
165,164,,3-1-1 ANSWER CENTER,,"311 is the gateway to local government so that residents can get answers to local government questions (i.e., when does the park close, where is the library closest to my home, I don't understand my property tax bill), and request local government services (fill the pothole, pick up the stray dog) and transit trip planning information.\n\n311 increases governments ability to respond to unanticipated events (i.e., severe storm events and hurricanes), by steering non-emergency calls away from 911, preserving the availability of the emergency system for callers truly in need of immediate response.",http://www.miamidade.gov/information/311.asp,,,,None,,,,
166,166,,"SABER COLLEGE, INC.",,"Provides on the job training and employability skills training. Provides an ESOL program (5 levels), Physical Therapy Program PTA",http://www.sabercollege.edu/,,,,Call for visit location for information,,,,
170,170,,"MIAMI, INC.",RCMA,"The Redlands Christian Migrant Association provides quality child care and early education for children of migrant farm workers and rural, low-income families throughout Florida. The largest non-profit child-care provider in Florida, RCMA is a leader in high-quality early childhood services. More than half of RCMA's child-care centers are nationally accredited.\n\n\n###COL###",www.rcma.org,,,,"Varies depending on program, call for more information",,,,
171,170,,FERNANDO PRO JUNIOR CHILD DEVELOPMENT CENTER,RCMA,"The Redlands Christian Migrant Association provides quality child care and early education for children of migrant farm workers and rural, low-income families throughout Florida.",www.rcma.org,,,,Please call specific center for application process,,,,
172,170,,EVERGLADES I CHILD DEVELOPMENT CENTER,RCMA,"The Redlands Christian Migrant Association provides quality child care and early education for children of migrant farm workers and rural, low-income families throughout Florida.",www.rcma.org,,,,Please contact center for application process,,,,
173,170,,CENTRO VILLAS CHILD DEVELOPMENT CENTER,RCMA,"The Redlands Christian Migrant Association provides quality child care and early education for children of migrant farm workers and rural, low-income families throughout Florida.",www.rcma.org,,,,Please contact center for application process.,,,,
174,170,,SOUTH DADE CHILD DEVELOPMENT CENTER,RCMA,"The Redlands Christian Migrant Association provides quality child care and early education for children of migrant farm workers and rural, low-income families throughout Florida.",www.rcma.org,,,,Call for more information,,,,
175,170,,EVERGLADES II CHILD DEVELOPMENT CENTER,RCMA,"The Redlands Christian Migrant Association provides quality child care and early education for children of migrant farm workers and rural, low-income families throughout Florida.",www.rcma.org,,,,Please call center for application process.,,,,
176,170,,REDLANDS CHILD DEVELOPMENT CENTER,RCMA,"The Redlands Christian Migrant Association provides quality child care and early education for children of migrant farm workers and rural, low-income families throughout Florida.",www.rcma.org,,,,Call for more information,,,,
181,181,,"UNITED HOMECARE, INC.","UHCS, United HomeCare Services, Inc.","Provides personalized quality care and in-home services to assist adults over 60, disabled adults 18-59, and their caregivers to live at home independently.",www.unitedhomecare.com,,,,Call for more information,,,,
182,181,,HOME HEALTH AGENCY SERVICES,,"Provides home health services to patients discharged from hospitals, referred by physicians, or others under physician's order. Includes skilled nursing, physical/occupational therapy, counseling and nutrition services.",www.unitedhomecare.com,,,,Call for more information,,,,
