id,name,parent_id,parent_name,vocabulary,taxonomy_facet
PN-8100.4500-240,Gay/Lesbian/Bisexual/Transgender Support Groups,,,Open211 Miami - AIRS,Organization/Facility Type
NL-6000.2000-220,Food Stamps/SNAP Applications,,,Open211 Miami - AIRS,Named Programs
ND-6500,Training and Employment Programs,,,Open211 Miami - AIRS,Service
LH-3000,Health Insurance/Dental Coverage,,,Open211 Miami - AIRS,Service
TA-5500.3000-450,Local/Regional History Museums,,,Open211 Miami - AIRS,Organization/Facility Type
JR-8200.9500,Water Safety Education,,,Open211 Miami - AIRS,Service
TH-2600,Disaster Relief Services,,,Open211 Miami - AIRS,Service
FT-4500.1800,Eviction Prevention Legal Assistance,,,Open211 Miami - AIRS,Service
RX-1750,DUI Offender Programs,,,Open211 Miami - AIRS,Service
PL-7000,Recreational Activities/Sports,,,Open211 Miami - AIRS,Service
PX,Volunteer Opportunities,,,Open211 Miami - AIRS,Service
RP-1400.8000-805,Sexual Orientation Counseling,,,Open211 Miami - AIRS,Service
PH-1000,Case/Care Management,,,Open211 Miami - AIRS,Service
TJ-3000.8000,Specialized Information and Referral,,,Open211 Miami - AIRS,Service
LH-2700,Health Education,,,Open211 Miami - AIRS,Service
TJ-3000.8500-850,211 Lead Agencies,,,Open211 Miami - AIRS,Organization/Facility Type
LR-6200.6500,Pediatric Occupational Therapy,,,Open211 Miami - AIRS,Service
DD-1500.4550,Home Improvement/Repair Complaints,,,Open211 Miami - AIRS,Service
BH-8400.3000,Homeless Permanent Supportive Housing,,,Open211 Miami - AIRS,Organization/Facility Type
PH-1400.1000,Buddy Programs,,,Open211 Miami - AIRS,Service
PH-1400,Companionship,,,Open211 Miami - AIRS,Service
BH-8600,Transitional Housing/Shelter,,,Open211 Miami - AIRS,Service
DD-1500.4150,Government Complaints/Government Ombudsman Offices,,,Open211 Miami - AIRS,Organization/Facility Type
TJ-3000,Information and Referral,,,Open211 Miami - AIRS,Service
LR-1700,Early Intervention for Children With Disabilities/Delays,,,Open211 Miami - AIRS,Service
PH-1250.1800,Extended Child Care,,,Open211 Miami - AIRS,Service
PN-8100.3000,Health/Disability Related Support Groups,,,Open211 Miami - AIRS,Organization/Facility Type
PN-8100.1000,Bereavement Support Groups,,,Open211 Miami - AIRS,Organization/Facility Type
LR-6600,Physical Therapy,,,Open211 Miami - AIRS,Service
HD-8000.1800-500,Middle Schools,,,Open211 Miami - AIRS,Organization/Facility Type
FT-3600,Immigration/Naturalization Legal Services,,,Open211 Miami - AIRS,Service
HH-8000,Special Education,,,Open211 Miami - AIRS,Service
RX-8450.6600-650,Perinatal Drug Use Disorder Treatment,,,Open211 Miami - AIRS,Service
PL-7400.5500-570,Musical Instrument Instruction,,,Open211 Miami - AIRS,Service
RM-6500.1500,Community Mental Health Agencies,,,Open211 Miami - AIRS,Organization/Facility Type
LF-4900.1500-120,Breast Examinations,,,Open211 Miami - AIRS,Service
LF-4900.1500-650,Pap Tests,,,Open211 Miami - AIRS,Service
TJ-6500,Public Awareness/Education,,,Open211 Miami - AIRS,Service
FF-0500.1800,Diversion Programs,,,Open211 Miami - AIRS,Service
PS-9800,Youth Development,,,Open211 Miami - AIRS,Service
RP-1400.8000-800,Sexual Assault Counseling,,,Open211 Miami - AIRS,Service
LR-8000.8000-820,Speech Therapy,,,Open211 Miami - AIRS,Service
RX-8450.5000-510,Methadone Clinics,,,Open211 Miami - AIRS,Service
PN-8100.1000-100,Bereaved Parent Support Groups,,,Open211 Miami - AIRS,Organization/Facility Type
RP-1400.8000-070,Anger Management,,,Open211 Miami - AIRS,Service
LF-5350.6500,Paternity/Maternity Establishment,,,Open211 Miami - AIRS,Service
PS-9800.9900,Youth Enrichment Programs,,,Open211 Miami - AIRS,Service
TL-3650.2000-200,Foreign Disaster Information,,,Open211 Miami - AIRS,Service
ND-2000.3500,Job Training Formats,,,Open211 Miami - AIRS,Modality/Delivery Format
FP-0500,Advocacy,,,Open211 Miami - AIRS,Modality/Delivery Format
TD-1200.1800,Federated Giving Programs,,,Open211 Miami - AIRS,Organization/Facility Type
RP-5000.1500,Clinical Psychiatric Evaluation,,,Open211 Miami - AIRS,Service
PH-1000.8500,Transitional Case/Care Management,,,Open211 Miami - AIRS,Service
ND-3500.3600,Job Search/Placement,,,Open211 Miami - AIRS,Service
NL-1000.7000,Refugee/Entrant Cash Assistance,,,Open211 Miami - AIRS,Named Programs
TJ-3000.1500,Comprehensive Information and Referral,,,Open211 Miami - AIRS,Service
JR-8200.2000,Fire Prevention Information,,,Open211 Miami - AIRS,Service
PN-8100.0500-070,Alcohol Use Disorder Support Groups,,,Open211 Miami - AIRS,Organization/Facility Type
LJ-5000.1000,Breastfeeding Support Programs,,,Open211 Miami - AIRS,Service
NS-1800.9000,Veteran Compensation and Pension Benefits,,,Open211 Miami - AIRS,Named Programs
PD-6250.0750-180,Dog Obedience Classes,,,Open211 Miami - AIRS,Service
LT-9500.9550,Weight Loss Assistance,,,Open211 Miami - AIRS,Service
PN-8100.0500-900,Weight Related Support Groups,,,Open211 Miami - AIRS,Organization/Facility Type
LT-1750.1750,Diabetes Management Clinics,,,Open211 Miami - AIRS,Service
RX-8500.6500-050,Alcohol Use Related Recovery Homes/Halfway Houses,,,Open211 Miami - AIRS,Organization/Facility Type
LL-3000.1450,Children's Hospitals,,,Open211 Miami - AIRS,Organization/Facility Type
TD-1600.3100-800,Senior Advocacy Groups,,,Open211 Miami - AIRS,Organization/Facility Type
HH-0500.8000-150,English as a Second Language,,,Open211 Miami - AIRS,Service
FP-0500.2500,Group Advocacy,,,Open211 Miami - AIRS,Modality/Delivery Format
RX-8500.6500-180,Drug Use Related Recovery Homes/Halfway Houses,,,Open211 Miami - AIRS,Organization/Facility Type
LH-2700.1700,Disease/Disability Information,,,Open211 Miami - AIRS,Service
RP-6400.8000-300,Home Based Mental Health Services,,,Open211 Miami - AIRS,Service
DD-1500.9650,Utility Service Complaints,,,Open211 Miami - AIRS,Service
HH-0500.1500,Citizenship Education,,,Open211 Miami - AIRS,Service
