ID,id,number,location_id,service_id,organization_id,contact_id,extension,type,language,description,phone_schedule,flag
1,549594406351830,"(202) 448-1450",1185969381076176,1194701188927394,744812603775568,,,,,,,
2,562269954846755,"(202) 483-8916",1297547838260579,948442047347066,,,,,,,,
3,569071299085270,202-437-5643,1135122975308953,580719808472057,726173106231202,,,voice,,,,
4,588843626629723,"(202) 723-5377",890450452640466,958476585509237,1257820660406303,,,voice,,,,
5,592888047524221,"(202) 265-2400",858837023472383,"834460550368169,775927218674309",618997848324116,,,,,,,
6,598769248157949,240.491.5753,979563581148756,,1140996665222837,,,voice,,Employment,recJd6pGi2VUbCgQr,
7,604159793210932,202-347-0511,776793732904241,,1205641770221060,,,,,,,
8,548821734063224,"(202) 393-1909",1277910214924473,859897161557047,609227002779117,,,,,,,
9,554247704723838,"(202) 797-4454",,1219423070978646,,,,,,,,
10,568191996005988,"(202) 462-4330",848140138973075,,1034824444966763,,,,,,,
11,569570973008761,"(202) 797-8806",,1252793336729933,,,,,,,,
12,574431216393769,,,,,,,,,,,
13,574820988537178,202-518-0466,816301601038577,"1182157958552306,670644496333952,814817282883148,813051911788426",580772169029651,,,voice,,,,
14,575323208420901,"(202) 420-7028",,872823918122712,,,,,,,,
15,585670788788642,"(202) 487-8698",903036719647021,1229834582759480,597291118069880,,,voice,,"We Are Family DC",,
16,602586439838395,"(240) 594-0600",1183432963433388,1098998360726289,795756022910298,,,voice,,"Ayuda MD office",,
17,601304296449089,"(202) 347-0130",959373006921454,,,,,fax,,,,
18,613925188728049,202-581-0490,1161640092680179,,1326157862705937,,,voice,,,,
19,614553051482053,"(202) 540-1056",,963237379779513,1146223650874517,recwENKzSRp0lPRjp,,voice,,,,
20,615096380531905,"(202) 518-6737",911858349594317,"1210007334289332,832898052878964,645815813705213,1178673163145313,1119572087741816,994497447759686,1070895654294162,1182990804618783,1244196225355763,590895767819582,1096928318806733",948113581207578,,,voice,,,,
21,624495395805685,202-388-0033,608497828316445,"1172793580060024,569770427910971,1229131972445514,1311031611561841,1086482131081597,688871630742360,1166105214343141",964889233755760,,,voice,,,,
22,576203813370859,"(202) 561-5941",994308933727557,"1174068491618790,642601279257974",1150695227682882,,,voice,,"Outreach Center",,
23,581209194821532,"(202) 469-4699",,934420315468432,,,,,,,,
24,582664674810922,"(202) 452-8926",1220017101351760,"1190183438277072,847425752356331,871817666202986,800290835408679,1012930231616826",1043249662316489,,,voice,,,,
25,600625677788643,301.333.0500,904892331647550,"1122897671715969,1252929483881761,971066029264975",,,,voice,,,,
26,607359446784933,"(202) 830-3517",,574661829122399,,,,,,,,
27,612423782652894,"(202) 296-4455",945081690439180,1077603109327544,807867907645287,,,,,,recoZU9StPt0DJX8S,
28,613066881487958,"(202) 610-9600",1106602330344467,"953668428109766,1147909066828937,978169761735866,885835927138322,875542904723327,963779263900815,1105456695695453,1212544141593855,682308202362189",1323664977480953,,,voice,,,,
29,617836889203042,"(301) 588-1126",965470521205325,,1180598613249590,,,fax,,,,
30,630653316111869,"(202) 508-0500",,821678418698117,,,,,,,,
31,632652143042998,"(202) 727-1616",,887937499803617,1154572477664352,,,voice,,"Phone line for DC Public Library Adult Literacy Resource Center",,
32,634348163252280,202-574-6055,620132940242525,1145687738484263,,,,voice,,"United Medical Center PCC Office",,
33,571755907108727,"(202) 469-4699",,833155783547619,,,,,,,,
34,585747742483327,"(202) 635-1041","803343321842264,1338999388183746",893656046937448,,,,voice,,,,
35,591848459801218,"(202) 544-3150",843095304494507,"895973468150097,1174727442443930",1245236106154921,,,voice,,"Everyone Home DC Shirley's Place Day Center",,
36,591752588532619,"(866) 942-0143",865063089655254,"943023691666873,822081621672598",605622028340987,,,voice,,,,
37,620350277070213,202-238-4691,,924655410570415,761153930697275,recLiWMA0NE98vTRX,,voice,,,,
38,626402478477773,"(202) 797-8806","923653351035648,816964939097565",,"908756987447173,727847273433183",,,,,,,
39,641538961244083,"(202) 223-9550",867684167756788,,806677477926389,,,,,,,
40,640397518394513,5712497069,1270128697077218,,919690199169575,,,voice,,,,
41,583858667444622,202-364-0020,,566502197729713,1180598613249590,,,voice,,,,
42,598681010126194,"(202) 670-9644",,1185051455558186,872299181857178,reccBrXxhqdk7Ksvx,,voice,,,,
43,602432444817544,"(202) 876-5690",641740493818315,"713046095331473,1082503758750664,1220807689850937,855252238426842",1169351687674186,,,voice,,,recmHP3s9hBUIolBb,
44,609237693650331,"(202) 851-3971",,"1147407982912051,1249176990484846,727116699390008",840733417398800,,,voice,,"Sexual health hotline",,
45,626788602103326,"(703) 696-3510",1154204314985719,,888574254962004,,,,,,,
46,626996534746729,301-765-5694,1283315251842747,,,,,fax,,,,
47,633789582292485,"(202) 328-6609",776699670514011,,1279230501938511,,,,,,,
48,639225425188186,"(202) 758-3710",1286395778585315,"881403344964972,1162907800070547",908300362827413,,,voice,,,,
49,650675878696913,202-448-1442,,"1210697117152571,872625169605396",,recubrK50dihcWVJK,,,,,,
50,603473645503739,"202) 487-9074",,"1259349665237657,1189947540122655,969095511875672,739078424499970,580520440912412,637113061667348",840733417398800,,,voice,,"After hours line",,
51,606210161081529,"(202) 292-4440",1261924735850333,,1319047892616905,,,,,,,
52,612480373273711,202.546.0017,688457108968845,"573528188325499,1238532588650595,757654002604408,860779231100127,1128285304774272,1163310698125750",1286410465547920,,,voice,,,,
53,613224797190233,202-476-2118,,936643241913847,,,,voice,,,,
54,615824389715095,"(202) 238-4733",,"1213230585541920,1219686317955585",761153930697275,recuHMlu3ZWg36a5I,,voice,,,,
55,624477976772029,"(202) 726-3623",1218038521689235,1277276480508566,,,,fax,,,,
56,642184035469805,202-459-4004,,,,recuwK2JAoavnUij1,,,,,,
57,640736255097589,"(202) 483-7003",946396771118356,"1124462892366916,914835976451142",925360037107607,,,voice,,,,
58,646987721676899,"(202) 675-8371",,1238586489770478,,,,,,,,
59,658265377894745,"(202) 338-8301",865999041296626,"1305017069566679,1081316277006822,1311316578271310,772454821683547",783236314114871,,,,,,,
60,660265936787847,"(202) 462-4788",1170113060894673,"942312969809968,921815945825806,1181081521839444,1096755308957020,1119079742925957,890398981649041,543629082697964,1241974546153013,787452341993968,1235636405349063,674557198522049,1122242214354849",887352348953420,,,voice,,,,
61,616315721892118,"(202) 588-0059",625764854102357,1191507987013016,,,,fax,,,,
62,620271434886665,"(202) 895-0238",666148222775634,,880881169888319,,,,,,,
63,644907115727601,301.445.3139,1240567562394258,,1140996665222837,,,voice,,"Front Desk","recyEcfzjRpwWM5SY,recV1i88tDMLj3y1i",
64,655687905213046,"(202) 545-2061",,586062612640149,840733417398800,,,voice,,"Maternal Mental Health Program Manager",,
