id,service_id,service_area,description,date_added,multiple_counties
38819,3349,33002,,2015-07-06 09:56:08.590,f
38820,7617,33002,,2015-07-06 10:35:44.493,f
38821,2717,33002,,2015-07-06 11:06:08.403,f
38823,5128,34101,,2015-07-06 14:09:46.143,f
38824,6911,33040,,2015-07-06 15:49:41.617,f
38825,4426,33004,,2015-07-06 16:10:33.710,f
38826,4426,33002,,2015-07-06 16:10:37.550,f
38829,4791,33002,,2015-07-07 11:14:46.447,f
38830,5050,34101,,2015-07-07 12:53:40.307,f
41909,8834,33002,,2018-12-11 15:02:40.157,f
38832,7621,34101,,2015-07-07 13:23:13.883,f
39984,5854,33002,,2015-10-12 14:47:00.940,f
41910,8836,33002,,2018-12-11 15:44:15.470,f
39987,2707,33002,,2015-10-13 14:55:22.070,f
38836,7622,34101,,2015-07-07 14:11:51.563,f
38837,7623,34101,,2015-07-07 14:14:20.357,f
38840,7626,34101,,2015-07-07 14:34:56.177,f
38841,7627,34101,,2015-07-07 14:45:08.333,f
38842,7628,34101,,2015-07-07 14:52:50.947,f
41911,8835,33002,,2018-12-11 15:54:52.983,f
38843,7629,34101,,2015-07-07 15:02:42.663,f
38845,7631,34101,,2015-07-07 15:17:38.523,f
38846,7632,34101,,2015-07-07 15:31:42.507,f
37847,7450,33002,,2015-05-05 14:45:55.907,f
38848,7634,34101,,2015-07-08 08:13:41.547,f
38852,7638,34101,,2015-07-08 08:43:25.153,f
39988,788,33002,,2015-10-13 15:15:12.840,f
38857,2027,33002,,2015-07-08 10:59:11.490,f
38861,2032,33002,,2015-07-08 12:51:36.407,f
38862,318,33002,,2015-07-08 15:32:55.623,f
38863,1096,33002,,2015-07-09 10:04:54.993,f
39989,2646,34101,,2015-10-14 10:28:37.327,f
38867,3644,33002,,2015-07-09 11:27:47.523,f
38868,5155,33001,,2015-07-09 14:43:02.243,f
38869,5467,34101,,2015-07-09 14:53:21.723,f
39990,1108,33002,,2015-10-14 11:09:29.167,f
39991,3319,33002,,2015-10-14 11:52:02.313,f
39992,7762,33109,,2015-10-15 09:07:59.483,f
39994,7764,33002,,2015-10-15 09:24:33.827,f
39995,7765,33002,,2015-10-15 09:42:15.593,f
39996,7766,33001,,2015-10-15 14:16:24.107,f
38912,7642,33145,,2015-07-10 08:18:38.597,f
38913,7642,33145,,2015-07-10 08:18:39.963,f
38915,7642,33146,,2015-07-10 08:18:47.650,f
38916,7642,33146,,2015-07-10 08:18:49.170,f
38917,7642,33146,,2015-07-10 08:18:50.557,f
38928,7642,33156,,2015-07-10 08:19:18.847,f
38929,7642,33156,,2015-07-10 08:19:20.517,f
38931,7642,33156,,2015-07-10 08:19:23.353,f
38932,7642,33156,,2015-07-10 08:19:24.820,f
38935,7642,33158,,2015-07-10 08:19:33.487,f
38936,7642,33158,,2015-07-10 08:19:34.870,f
38937,7642,33158,,2015-07-10 08:19:36.427,f
38938,7642,33158,,2015-07-10 08:19:37.753,f
38939,7642,33158,,2015-07-10 08:19:39.097,f
38940,7642,33158,,2015-07-10 08:19:40.327,f
38941,7642,33158,,2015-07-10 08:19:41.570,f
38942,7642,33158,,2015-07-10 08:19:42.950,f
38943,7642,33166,,2015-07-10 08:19:48.607,f
38944,7642,33166,,2015-07-10 08:19:50.093,f
38945,7642,33166,,2015-07-10 08:19:51.483,f
38946,7642,33166,,2015-07-10 08:19:52.847,f
38947,7642,33166,,2015-07-10 08:19:54.187,f
38948,7642,33166,,2015-07-10 08:19:55.543,f
38949,7642,33166,,2015-07-10 08:19:56.920,f
39997,7767,33001,,2015-10-15 15:57:16.537,f
39998,7768,33002,,2015-10-16 08:21:56.467,f
39999,7769,33001,,2015-10-16 09:50:50.780,f
40000,7770,33001,,2015-10-16 10:18:44.697,f
40001,7771,33001,,2015-10-16 10:34:50.177,f
39985,7761,33002,,2015-10-12 14:53:53.750,f
38838,7624,34101,,2015-07-07 14:24:37.787,f
38844,7630,34101,,2015-07-07 15:09:18.257,f
38847,7633,34101,,2015-07-07 15:50:44.103,f
38849,7635,34101,,2015-07-08 08:20:50.860,f
38850,7636,34101,,2015-07-08 08:26:09.943,f
37848,7451,33002,,2015-05-05 14:47:36.023,f
38853,7639,34101,,2015-07-08 08:51:16.207,f
