id,name,alternate_name,description,email,url,tax_status,tax_id,year_incorporated,legal_status
1,"Academy of Hope",,"Academy of Hope is an adult public charter school in Washington D.C., offering excellence in adult education since 1985. Our mission is to provide high quality adult education and services that change lives and improve our communities. At Academy of Hope, students become part of a learning community where everyone is valued, adds value and is both a teacher and a learner. Our curriculum is experiential and focuses on life skills, which means that students can immediately begin applying what they&rsquo;re learning to their own lives&mdash;and reap the benefits.",recruitment@aohdc.org,https://aohdc.org/,,,,
2,"CENTER FOR SOCIAL JUSTICE: D.C. READS",,"Employs the services of students from 7 universities to tutor D.C. public school students at 40 learning sites. The program's main focus is reading.",,http://socialjustice.georgetown.edu/students/service/dcreads/about/15129.html,,,,
3,"Nativity Shelter",,"Social services provided: bilingual case managers and social workers and also therapeutic groups. All are welcome.",,http://www.catholiccharitiesdc.org/page.aspx?pid=375,,,,
4,"Jewish Council for the Aging of Greater Washington",,"Senior services center providing a range of support services to the elderly.",Senior.HelpLine@AccessJCA.org,https://accessjca.org/,,,,
5,"City of Praise Family Ministries",,"A local church providing community services ranging from food, college access, and recovery.",office@copfm.org,http://cityofpraisechurch.com,,,,
6,"Hughes Memorial UMC",,"A church offering various community services.",adminasst@hughesmemorial.org,http://www.hughesmemorial.org,,,,
7,"A Wider Circle","Alternate Name :","A Wider Circle&rsquo;s efforts focus on the provision of basic need items, workforce development, wraparound support, and neighborhood revitalization. These four components work in concert to create lasting change in the lives of those we serve. A Wider Circle says no to nobody! Anyone in need of help can find it here. In addition to all of the individuals and families that call us, more than 500 government, social service, and nonprofit agencies regularly contact us for help in serving their clients.",,https://awidercircle.org/,,,,
8,"MBI Health Services",,"A comprehensive health agency offering the following services:
Free Standing Mental Health Clinic & CORE
Home Health Care Services
Day Treatment Program
RSA & Supported Employment Services
Department on Disability Services Division
Transitional Age Youth Division (TAY)
Partnerships
Nurse Staffing Services
Returning Citizens Program
Health Home Services
Assertive Community Treatment (ACT)
Adult Day Health Program (ADHP)
Substance Use Disorder (SUD)
Housing Programs
Children's Program",info@mbihs.com,http://www.mbihs.com/,,,,
9,"National Baptist Memorial Church",,"A local church providing a few services to the community including food, clothing, and a children's ministry.",NBMChurch@msn.com,http://www.nbmchurchdc.org/,,,,
10,"Family Matters of Greater Washington",,"FMGW provides assistance that impacts more than 20,000 children, youth, families and seniors each year in the Greater Washington area. Our spectrum of programs include youth development programs and mental health/counseling services. The Youth Development program is comprised of a &ldquo;Send A Kid To Camp&rdquo; program, designed to send children to sleep-away camps in the region that endeavors to build future leaders.",,http://familymattersdc.org,,,,
11,"WASHINGTON ENGLISH CENTER",,"Provides excellent and affordable English classes and other workforce programs to adult immigrants using volunteer teachers.",,http://www.washingtonenglish.org/,,,,
12,"DC Department of Employment Services (DOES)",,"Provides comprehensive employment, unemployment, resume preparation and training services to residents of the District of Columbia. Provides labor exchange services to employers who are seeking qualified workers and to job seekers.",does@dc.gov,http://does.dc.gov,,,,
13,"Courtney's House",,"Courtney&rsquo;s House is committed to providing trauma informed services for domestic sex trafficked youth between the ages of 12 and 21.

Courtney's House: 
Fearlessly searches for children who are being forced into prostitution on the streets, in brothels, strip clubs, private homes, and hotels.
Embraces the survivors and brings them into a safe environment where they and their families can heal, recover and develop hopeful, dignified and influential lives. 
Trains community officials and creates awareness of the reality of sex trafficking in neighborhoods across America to help stop the crimes from happening. ",,http://www.courtneyshouse.org/,,,,
