"Action","Ledger ID","SDOH Code","SDOH Code Domain","SDOH Code Resource","SDOH Code Description","SDOH Code Type","Rating","Service","Organization","Timestamp"
"Updated","1","D-6","3","Condition","Substandard housing due to lead","Gravity","3","Healthy Together Medical-Legal Partnership","Children's Law Center","2021-11-09 16:20:35"
"Updated","2","D-5","3","Condition","Substandard housing due to mold","Gravity","3","Healthy Together Medical-Legal Partnership","Children's Law Center","2021-11-09 16:20:35"
"Updated","3","Z59.023","3","Condition","Harsh/ poor living conditions (mold, inadequate living conditions, pending construction etc.)","ICD-10-CM","2","Healthy Together Medical-Legal Partnership","Children's Law Center","2021-11-09 16:20:35"
"Updated","4","D-10","3","Condition","Substandard housing due to lack of adequate plumbing","Gravity","3","Healthy Together Medical-Legal Partnership","Children's Law Center","2021-11-09 16:20:35"
"Removed","5","Z59.1","3","Condition","Inadequate housing","ICD-10-CM","2","Healthy Together Medical-Legal Partnership","Children's Law Center","2021-11-09 16:20:35"
"Updated","6","D-7","3","Condition","Substandard housing due to poor temperature control","Gravity","3","Healthy Together Medical-Legal Partnership","Children's Law Center","2021-11-09 16:20:35"
"Updated","7","G-13","3","Goal","Housing meets standards for structural sufficiency","Gravity","3","Healthy Together Medical-Legal Partnership","Children's Law Center","2021-11-09 16:20:35"
"Updated","8","G-7","3","Goal","Housing meets standards for food storage and preparation","Gravity","2","Healthy Together Medical-Legal Partnership","Children's Law Center","2021-11-09 16:20:35"
"Updated","9","G-14","3","Goal","Housing meets inhabitants’ functional needs","Gravity","2","Healthy Together Medical-Legal Partnership","Children's Law Center","2021-11-09 16:20:35"
"Updated","10","G-12","3","Goal","Housing meets standards for asbestos","Gravity","2","Healthy Together Medical-Legal Partnership","Children's Law Center","2021-11-09 16:20:35"
"Updated","11","G-15","3","Goal","Housing without risk of code violation","Gravity","3","Healthy Together Medical-Legal Partnership","Children's Law Center","2021-11-09 16:20:35"
