"SDOH Category","Resource","Resource Element","Code System","Code","Description","Grouping","Definition","Is Panel Code","Is Multiselect"
"Inadequate Housing","Goal","Goal.description","Gravity","G-4","Housing meets living standards for pests","","","",""
"Inadequate Housing","Condition","Condition.code","ICD-10-CM","Z59.023","Harsh/ poor living conditions (mold, inadequate living conditions, pending construction etc.)","","","",""
"Inadequate Housing","Goal","Goal.description","Gravity","G-3","Housing meets standards for pests","","","",""
"Food Insecurity","Goal","Goal.description","Gravity","G-7","Has adequate number of meals and snacks daily","","","",""
"Food Insecurity","Condition","Condition.code","ICD-10-CM","Z91.119","Patient’s noncompliance with dietary regimen due to unspecified reason","","","",""
"Food Insecurity","Condition","Condition.code","ICD-10-CM","Z91.118","Patient’s noncompliance with dietary regimen due to other reason","","","",""
"Food Insecurity","Condition","Condition.code","ICD-10-CM","Z91.110","Patient’s noncompliance with dietary regimen due to financial hardship","","","",""
"Food Insecurity","Condition","Condition.code","ICD-10-CM","Z91.1","Patient’s noncompliance with medical treatment and regimen","","","",""
"Food Insecurity","Condition","Condition.code","ICD-10-CM","Z59.423","Severe food insecurity (""The stage in the food insecurity spectrum best characterized by effects on food quantity"")","","","",""
"Food Insecurity","Condition","Condition.code","ICD-10-CM","Z59.422","Moderate food insecurity (""The stage in the food insecurity spectrum best characterized by effects on food quality and variety and safety"")","","","",""
"Food Insecurity","Condition","Condition.code","ICD-10-CM","Z59.421","Mild food insecurity (""The stage in the food insecurity spectrum best characterized by uncertainty and worry about adequate food resources and effects on cultural acceptability"")","","","",""
"Food Insecurity","Goal","Goal.description","Gravity","G-8","Has adequate quality meals and snacks","","","",""
"Inadequate Housing","Goal","Goal.description","Gravity","G-4","Housing meets standards for mold","","","",""
"Inadequate Housing","Goal","Goal.description","Gravity","G-5","Housing meets standards for lead","","","",""
"Inadequate Housing","Goal","Goal.description","Gravity","G-6","Housing meets standards for temperature control","","","",""
"Inadequate Housing","Goal","Goal.description","Gravity","G-7","Housing meets standards for food storage and preparation","","","",""
"Inadequate Housing","Goal","Goal.description","Gravity","G-8","Housing meets standards for safety equipment","","","",""
"Inadequate Housing","Goal","Goal.description","Gravity","G-9","Housing meets standards for plumbing","","","",""
"Inadequate Housing","Goal","Goal.description","Gravity","G-10","Housing meets occupancy standards","","","",""
"Inadequate Housing","Goal","Goal.description","Gravity","G-11","Housing meets standards for internal environmental hazards","","","",""
"Inadequate Housing","Goal","Goal.description","Gravity","G-12","Housing meets standards for asbestos","","","",""
"Inadequate Housing","Goal","Goal.description","Gravity","G-13","Housing meets standards for structural sufficiency","","","",""
