id,service_id,location_id,language
0,0,0,English
1,1,1,English
1,1,1,Spanish
1,1,1,Creole
1,1,1,translator services may be used for other languages
17,17,17,English
17,17,17,Spanish
21,21,21,English
21,21,21,Spanish
21,21,21,Creole
22,22,22,English
22,22,22,Spanish
23,23,23,English
23,23,23,Spanish
25,25,25,English
29,29,29,English
29,29,29,Spanish
29,29,29,Language interpreters available
30,30,30,English
30,30,30,Spanish
30,30,30,Language interpreters available
31,31,31,English
31,31,31,Spanish
31,31,31,Language interpreters available
32,32,32,English
32,32,32,Spanish
32,32,32,Language interpreters available
34,34,34,English
34,34,34,Spanish
34,34,34,Language interpreters available
35,35,35,English
35,35,35,Spanish
35,35,35,Language interpreters available
38,38,38,English
38,38,38,other languages available upon request.
39,39,39,English
39,39,39,other languages available upon request
42,42,42,English
42,42,42,Spanish
42,42,42,French
44,44,44,English
44,44,44,Spanish
45,45,45,English
45,45,45,Spanish
46,46,46,English
46,46,46,Spanish
47,47,47,English
48,48,48,English
48,48,48,Spanish
50,50,50,English
51,51,51,English
51,51,51,Spanish
51,51,51,Creole
51,51,51,Other languages available via language line
52,52,52,English
52,52,52,Spanish
52,52,52,Creole
52,52,52,French
53,53,53,English
53,53,53,Spanish
55,55,55,English
55,55,55,Spanish
55,55,55,Language translation available
57,57,57,English
57,57,57,Spanish
58,58,58,English
58,58,58,Spanish and on occasion in other languages as therapists conversant in those languages are available
59,59,59,English
59,59,59,Spanish
59,59,59,Creole
62,62,62,English
62,62,62,Spanish
63,63,63,English
63,63,63,Spanish
64,64,64,English
64,64,64,Spanish
65,65,65,English
65,65,65,Spanish
65,65,65,Creole
66,66,66,English
66,66,66,Spanish
66,66,66,Creole
67,67,67,English
67,67,67,Spanish
67,67,67,Creole
68,68,68,English
68,68,68,Spanish
69,69,69,English
69,69,69,Spanish
69,69,69,Creole
70,70,70,English
70,70,70,Spanish
70,70,70,Creole
72,72,72,English
72,72,72,Spanish
72,72,72,Creole
73,73,73,English
73,73,73,Spanish
73,73,73,Creole
74,74,74,English
74,74,74,Spanish
74,74,74,Creole
75,75,75,English
75,75,75,Spanish
75,75,75,Creole
76,76,76,English
76,76,76,Spanish
77,77,77,English
77,77,77,Spanish
78,78,78,English
78,78,78,Spanish
81,81,81,English
81,81,81,Spanish
81,81,81,Haitian-Creole
81,81,81,Russian
81,81,81,Portuguese
82,82,82,English
82,82,82,Spanish
82,82,82,Creole
85,85,85,English
85,85,85,Spanish
85,85,85,Creole
89,89,89,English
89,89,89,Spanish
92,92,92,English
92,92,92,Spanish
94,94,94,English
94,94,94,Spanish
94,94,94,Creole
95,95,95,English
95,95,95,Spanish
95,95,95,Creole
96,96,96,English
96,96,96,Spanish
96,96,96,Creole
97,97,97,English
97,97,97,Spanish
97,97,97,Creole
98,98,98,English
98,98,98,Spanish
98,98,98,Creole
99,99,99,English
99,99,99,Spanish
99,99,99,Creole
100,100,100,English
100,100,100,Spanish
100,100,100,Creole with translators available.
102,102,102,English
102,102,102,Spanish
102,102,102,Creole
103,103,103,English
103,103,103,Spanish
103,103,103,Creole
104,104,104,English
104,104,104,Spanish
104,104,104,Creole
105,105,105,English
105,105,105,Spanish
105,105,105,Creole
107,107,107,English
107,107,107,Spanish
108,108,108,English
108,108,108,Spanish
108,108,108,Creole
118,118,118,English
118,118,118,Spanish
118,118,118,Creole
119,119,119,English
119,119,119,Spanish
119,119,119,Creole
122,122,122,English
122,122,122,Spanish
122,122,122,Creole
123,123,123,English
123,123,123,Spanish
126,126,126,English
126,126,126,Spanish
126,126,126,Creole
127,127,127,English
127,127,127,Spanish
131,131,131,English
131,131,131,Spanish
131,131,131,Creole
133,133,133,English
133,133,133,Spanish
134,134,134,English
134,134,134,Spanish
135,135,135,English
136,136,136,English
136,136,136,Spanish
136,136,136,Creole
143,143,143,English
143,143,143,Spanish
144,144,144,English
144,144,144,Spanish
144,144,144,Creole
145,145,145,English
145,145,145,Spanish
145,145,145,Creole
147,147,147,English
147,147,147,Spanish
147,147,147,Creole
149,149,149,English
149,149,149,Spanish
149,149,149,Creole
150,150,150,English
150,150,150,Spanish
150,150,150,Creole
151,151,151,English
151,151,151,Spanish
152,152,152,English
152,152,152,Spanish
152,152,152,French
152,152,152,Creole
156,156,156,English
156,156,156,Spanish
156,156,156,Creole
158,158,158,English
158,158,158,Spanish
160,160,160,English
160,160,160,Spanish
160,160,160,Creole
161,161,161,English
161,161,161,Spanish
161,161,161,Creole
163,163,163,English
164,164,164,English
164,164,164,Spanish
164,164,164,Creole
165,165,165,English
165,165,165,Spanish
166,166,166,English
166,166,166,Spanish
170,170,170,English
170,170,170,Spanish
171,171,171,English
171,171,171,Spanish
172,172,172,English
172,172,172,Spanish
173,173,173,English
173,173,173,Spanish
174,174,174,English
174,174,174,Spanish
175,175,175,English
175,175,175,Spanish
176,176,176,English
176,176,176,Spanish
181,181,181,English
181,181,181,Spanish
181,181,181,Creole
182,182,182,English
182,182,182,Spanish
182,182,182,Creole
183,183,183,English
183,183,183,Spanish
183,183,183,Creole
184,184,184,English
184,184,184,Spanish
184,184,184,Creole
185,185,185,English
185,185,185,Spanish
185,185,185,Creole
187,187,187,English
187,187,187,Spanish
187,187,187,Creole
189,189,189,English
189,189,189,Spanish
189,189,189,Creole
190,190,190,English
190,190,190,Spanish
190,190,190,Creole
192,192,192,English
192,192,192,Creole
192,192,192,Portuguese
192,192,192,Spanish
192,192,192,translators available
197,197,197,English
197,197,197,Spanish
197,197,197,Creole
199,199,199,English
199,199,199,Spanish
199,199,199,Creole translator provided
201,201,201,English
201,201,201,Spanish
203,203,203,English
203,203,203,Spanish
206,206,206,English
206,206,206,Spanish
206,206,206,Creole
207,207,207,English
207,207,207,Creole
207,207,207,and Spanish
208,208,208,English
208,208,208,Spanish
208,208,208,Creole
210,210,210,English
210,210,210,Spanish
210,210,210,Creole
211,211,211,English
211,211,211,Spanish
211,211,211,Creole
212,212,212,English
212,212,212,Spanish
212,212,212,Creole
213,213,213,English
213,213,213,Spanish
213,213,213,Creole
214,214,214,English
214,214,214,Spanish
215,215,215,English
215,215,215,Spanish
215,215,215,Creole
216,216,216,English
216,216,216,Spanish
216,216,216,Creole
217,217,217,English
217,217,217,Spanish
217,217,217,Creole
217,217,217,French
218,218,218,English
218,218,218,Spanish
221,221,221,English
221,221,221,Spanish
225,225,225,English
225,225,225,Spanish
225,225,225,Creole
227,227,227,English
227,227,227,Spanish
227,227,227,Creole
231,231,231,English
231,231,231,Spanish
231,231,231,Creole
235,235,235,English
235,235,235,Spanish
236,236,236,English
236,236,236,Spanish
237,237,237,English
237,237,237,Spanish
238,238,238,English
238,238,238,Spanish
241,241,241,English
241,241,241,Spanish
242,242,242,English
242,242,242,Spanish
246,246,246,English
246,246,246,Spanish
292,292,292,English
292,292,292,Spanish
292,292,292,Creole
292,292,292,Other languages available via language line
294,294,294,English
294,294,294,Spanish
296,296,296,English
296,296,296,Spanish
298,298,298,English
298,298,298,Spanish
303,303,303,English
303,303,303,Spanish
303,303,303,Creole
308,308,308,English
308,308,308,Spanish
310,310,310,English
310,310,310,Spanish
311,311,311,English
311,311,311,Spanish
312,312,312,English
312,312,312,Spanish
314,314,314,English
314,314,314,Spanish
315,315,315,English
315,315,315,Spanish
317,317,317,English
317,317,317,Spanish
317,317,317,Creole
318,318,318,English
318,318,318,Spanish
319,319,319,English
319,319,319,Spanish
320,320,320,English
320,320,320,Spanish
320,320,320,Creole
322,322,322,English
322,322,322,Spanish
322,322,322,Creole
322,322,322,other languages available upon request
323,323,323,English
323,323,323,Spanish
323,323,323,Creole
324,324,324,English
324,324,324,Spanish
324,324,324,Creole
325,325,325,English
325,325,325,Spanish
325,325,325,Creole
326,326,326,English
326,326,326,Spanish
326,326,326,Creole
327,327,327,English
327,327,327,Spanish
327,327,327,Creole
328,328,328,English
328,328,328,Spanish
328,328,328,Creole
329,329,329,English
329,329,329,Spanish
329,329,329,Creole
330,330,330,English
330,330,330,Spanish
330,330,330,Creole
331,331,331,English
331,331,331,Spanish
331,331,331,Creole translators available upon request
332,332,332,English
332,332,332,Spanish
332,332,332,Creole
333,333,333,English
333,333,333,Spanish
333,333,333,Creole
347,347,347,English
347,347,347,Spanish
347,347,347,Creole
348,348,348,English
348,348,348,Spanish
349,349,349,English
349,349,349,Spanish
350,350,350,English
350,350,350,Spanish
350,350,350,Creole
351,351,351,English
351,351,351,Spanish
351,351,351,Creole
359,359,359,English
359,359,359,Spanish
360,360,360,English
360,360,360,Spanish
361,361,361,English
361,361,361,Spanish
362,362,362,English
362,362,362,Spanish
362,362,362,Creole
362,362,362,French
367,367,367,English
367,367,367,Spanish
367,367,367,Creole
367,367,367,French
373,373,373,English
373,373,373,Spanish
373,373,373,Creole
374,374,374,English
374,374,374,Spanish
374,374,374,American Sign Language
374,374,374,Interpretation by telephone available for other languages
375,375,375,English
375,375,375,Spanish
375,375,375,American Sign Language
375,375,375,Interpretation by telephone available for other languages.
385,385,385,English
385,385,385,Spanish
386,386,386,English
386,386,386,Spanish
386,386,386,Creole
387,387,387,English
387,387,387,Spanish
388,388,388,English
388,388,388,Spanish
389,389,389,English
389,389,389,Spanish
390,390,390,English
390,390,390,Spanish
391,391,391,English
391,391,391,Spanish
391,391,391,Creole
394,394,394,English
394,394,394,Spanish
394,394,394,Creole
395,395,395,English
395,395,395,Spanish
395,395,395,Creole
397,397,397,English
397,397,397,Spanish
397,397,397,Interpreter services available
398,398,398,English
398,398,398,Spanish
398,398,398,Creole
399,399,399,English
399,399,399,Spanish
403,403,403,English
403,403,403,Spanish
403,403,403,Creole
405,405,405,English
405,405,405,Spanish
405,405,405,Creole
408,408,408,English
408,408,408,Spanish
408,408,408,Creole
409,409,409,English
409,409,409,Spanish
409,409,409,Creole
410,410,410,English
410,410,410,Spanish
410,410,410,Creole
411,411,411,English
411,411,411,Spanish
411,411,411,Creole
412,412,412,English
412,412,412,Spanish
412,412,412,Creole
413,413,413,English
413,413,413,Spanish
413,413,413,Creole
415,415,415,English
415,415,415,Spanish
415,415,415,Creole
416,416,416,English
416,416,416,Spanish
416,416,416,Creole
417,417,417,English
417,417,417,Spanish
417,417,417,Creole
419,419,419,English
419,419,419,Spanish
424,424,424,English
424,424,424,Spanish
424,424,424,Creole
424,424,424,Russian
427,427,427,English
427,427,427,Spanish
427,427,427,Creole
427,427,427,Russian
431,431,431,English
431,431,431,Spanish
432,432,432,English
432,432,432,Spanish
434,434,434,English
436,436,436,English
436,436,436,Spanish
437,437,437,English
437,437,437,Spanish
439,439,439,English
439,439,439,Spanish
440,440,440,English
441,441,441,English
441,441,441,Spanish
446,446,446,English
446,446,446,Spanish
446,446,446,Creole
447,447,447,English
447,447,447,Spanish
448,448,448,English
448,448,448,Spanish
448,448,448,Creole
449,449,449,English
449,449,449,Spanish
449,449,449,Creole
450,450,450,English
450,450,450,Spanish
450,450,450,American Sign Language
459,459,459,English
459,459,459,Spanish
460,460,460,English
460,460,460,Spanish
461,461,461,English
461,461,461,Spanish
465,465,465,English
465,465,465,Spanish
465,465,465,Creole
465,465,465,translators available upon request
466,466,466,English
466,466,466,Spanish
466,466,466,Creole\n\nTranslators available upon request
467,467,467,English
468,468,468,English
468,468,468,Spanish
470,470,470,English
470,470,470,Spanish
471,471,471,English. Spanish
471,471,471,Creole
472,472,472,English
472,472,472,Spanish
473,473,473,English
473,473,473,Spanish
473,473,473,Creole
474,474,474,English
474,474,474,Spanish
475,475,475,English
475,475,475,Spanish
480,480,480,English
480,480,480,Spanish
480,480,480,Creole
480,480,480,with tranlators available at client request
481,481,481,English
481,481,481,Spanish
482,482,482,English
482,482,482,Spanish
482,482,482,Creole
483,483,483,English
483,483,483,Spanish
484,484,484,English
484,484,484,Spanish
485,485,485,English
485,485,485,Spanish
490,490,490,English
490,490,490,Spanish
492,492,492,English
492,492,492,Spanish
499,499,499,English
499,499,499,Spanish
501,501,501,English
501,501,501,Spanish
501,501,501,Creole any other languages upon request.
503,503,503,English
503,503,503,Spanish
503,503,503,Creole
504,504,504,English
504,504,504,Spanish
505,505,505,English
505,505,505,Spanish
506,506,506,English
507,507,507,English
507,507,507,Spanish
508,508,508,English
509,509,509,English
509,509,509,Spanish
509,509,509,language line available
510,510,510,English
513,513,513,English
513,513,513,Spanish
513,513,513,Creole
514,514,514,English
514,514,514,Spanish
515,515,515,English
515,515,515,Spanish
515,515,515,Creole
526,526,526,English
526,526,526,Spanish
526,526,526,Creole
527,527,527,English
527,527,527,Spanish
528,528,528,English
528,528,528,Spanish\n\nTranslation services available if needed
529,529,529,English
529,529,529,Spanish
530,530,530,English
530,530,530,Spanish
531,531,531,English
531,531,531,Spanish
532,532,532,English
532,532,532,Spanish
533,533,533,English
533,533,533,Spanish
534,534,534,English
534,534,534,Spanish
535,535,535,English
535,535,535,Creole
536,536,536,English
537,537,537,English
537,537,537,Spanish
539,539,539,English
539,539,539,Spanish
541,541,541,English
542,542,542,English
543,543,543,English
545,545,545,English
545,545,545,Spanish
546,546,546,English
546,546,546,Spanish
547,547,547,English
547,547,547,Spanish
547,547,547,Creole
553,553,553,English
554,554,554,English
560,560,560,English
560,560,560,Spanish
560,560,560,Creole
561,561,561,English
561,561,561,Spanish
561,561,561,Creole
562,562,562,English
562,562,562,Spanish
562,562,562,Creole
564,564,564,English
564,564,564,Spanish
564,564,564,Creole
566,566,566,English
566,566,566,Spanish
566,566,566,Creole
576,576,576,English
576,576,576,Spanish
576,576,576,Creole
578,578,578,English
578,578,578,Spanish
578,578,578,Creole
579,579,579,English
579,579,579,Spanish
579,579,579,Creole
580,580,580,English
580,580,580,Spanish
580,580,580,Creole
583,583,583,English
583,583,583,Spanish
587,587,587,English
587,587,587,Spanish and Creole
593,593,593,English
593,593,593,Spanish
594,594,594,English
594,594,594,Spanish
595,595,595,English
595,595,595,Spanish
596,596,596,English
596,596,596,Spanish
