"id","name","alternate_name","description","email","url","tax_status","tax_id","year_incorporated","legal_status","organization_tag","parent_organization","organization_services","organization_phones","organization_locations","organization_contact","organization_details","organization_code","organization_website_rating","facebook_url","twitter_url","instagram_url","logo"
"540732570709574","Academy of Hope","","Academy of Hope is an adult public charter school in Washington D.C., offering excellence in adult education since 1985. Our mission is to provide high quality adult education and services that change lives and improve our communities. At Academy of Hope, students become part of a learning community where everyone is valued, adds value and is both a teacher and a learner. Our curriculum is experiential and focuses on life skills, which means that students can immediately begin applying what they’re learning to their own lives—and reap the benefits.","recruitment@aohdc.org","https://aohdc.org/","","","","","1","","833282615728356","1232851016707551,876071398674393,1149001768953790",",752192406551414,1076247615804558","0","","","","test.com","","test.com",""
"605309967915458","CENTER FOR SOCIAL JUSTICE: D.C. READS","","Employs the services of students from 7 universities to tutor D.C. public school students at 40 learning sites. The program's main focus is reading.","","http://socialjustice.georgetown.edu/students/service/dcreads/about/15129.html","","","","","","","1187407875753941","956993739208745","799734694979867","0","","","","","","",""
"608190497391626","Nativity Shelter","","Social services provided: bilingual case managers and social workers and also therapeutic groups. All are welcome.","","http://www.catholiccharitiesdc.org/page.aspx?pid=375","","","","","","","1221652904126057","1197141445963888",",1175999961148897","0","","","5","","","",""
"558598955804152","Jewish Council for the Aging of Greater Washington","","Senior services center providing a range of support services to the elderly.","Senior.HelpLine@AccessJCA.org","https://accessjca.org/","","","","","","","933068702398710,789962433738515,1242086127856640,988423991733213,648998547696427,1017935677136641,665291739064632,991942780227581,1256701502731901,645620379335062,623011102913209,1263144790142252,660686319121862,960770573404461,1262768275437970,826724564530855,923927696574335,753350947911582,1114627657542591,1008410084982241,1098985564159984,846905885724829,1310979690934901,904936764071739","1278302431266659,1272294293837999,1301451568803147,603752841609332,920153317312684,996730625692965,1316447801383721,639520656814563,1277241392450656,1274423110135566,1049910663935172,1145652621978624,925767778892838,1156864357173710","1178988249328078,769953967292170,1210032943864131,1318371479368083","0","","","5","","","",""
"586301457835998","City of Praise Family Ministries","","A local church providing community services ranging from food, college access, and recovery.","office@copfm.org","http://cityofpraisechurch.com","","","","","","","1332199960888369,1198304800320219,802059293903880","","647230404089036","0","","","4","","","",""
"618821526959273","Hughes Memorial UMC","","A church offering various community services.","adminasst@hughesmemorial.org","http://www.hughesmemorial.org","","","","","","","1300315858753679,1105712633636720,660905682344295,572554560594709,745288994645838,856224619170449,952972807781785","1298721668049434,1264255295544454","1056414203994963","0","","","5","","","",""
"618748399513081","A Wider Circle","","A Wider Circle’s efforts focus on the provision of basic need items, workforce development, wraparound support, and neighborhood revitalization. These four components work in concert to create lasting change in the lives of those we serve. A Wider Circle says no to nobody! Anyone in need of help can find it here. In addition to all of the individuals and families that call us, more than 500 government, social service, and nonprofit agencies regularly contact us for help in serving their clients.","test@email.com","https://awidercircle.org/","","","","","1,3","540732570709574","677821283847495,825698319066110,858728937671038","1074430828244129,747530458759027",",1134996153077734,1293661242956981","0","","","","tes3t@email.com","twitter.com","","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTihtVfoY-v0DH8lvMfbzukSVEbsydmM5BNVAOld4gotiQSzZY1eJ_DvVy5OubHeE_slMY&usqp=CAU"
"619974574898067","MBI Health Services","","A comprehensive health agency offering the following services: Free Standing Mental Health Clinic & CORE Home Health Care Services Day Treatment Program RSA & Supported Employment Services Department on Disability Services Division Transitional Age Youth Division (TAY) Partnerships Nurse Staffing Services Returning Citizens Program Health Home Services Assertive Community Treatment (ACT) Adult Day Health Program (ADHP) Substance Use Disorder (SUD) Housing Programs Children's Program","info@mbihs.com","http://www.mbihs.com/","","","","","","","1225103848906322,1260729084144993,1139491183429250,834684082852945,1261259812177504,971894815669980,795879638840285,623904786582994,1226514003731413,1243311965925842,1202321397052978,1235224978747922,937153699338620,1109535799611317,1084038513265975,978858266637697","1244051999348200,881725280593154,757275073777446,1060587537813356,908210314810841,861539973857515,757515780067610,598691018582932,1158800870011801,680363538565742,917670385532601,1106876560319956,1116493917198560","854967346211154,1263123342132362,766212450574576,1219450960862351,1142441892698286","1.0732370945888E+33","","","5","","","",""
"585623863455965","National Baptist Memorial Church","","A local church providing a few services to the community including food, clothing, and a children's ministry.","NBMChurch@msn.com","http://www.nbmchurchdc.org/","","","","","","","1257701331454062,770158427613270,642098651199985","1264076541077279","833804515841086","0","","","4","","","",""
"589460886355658","Family Matters of Greater Washington","","FMGW provides assistance that impacts more than 20,000 children, youth, families and seniors each year in the Greater Washington area. Our spectrum of programs include youth development programs and mental health/counseling services. The Youth Development program is comprised of a &ldquo;Send A Kid To Camp&rdquo; program, designed to send children to sleep-away camps in the region that endeavors to build future leaders.","","http://familymattersdc.org","","","","","","","1183132408890447,1234290234728766,667384544326235","1286093295268135","898209455512951,1214403176463678","0","","","5","","","",""
