"id","location_id","attention","address_1","address_2","address_3","address_4","city","region","state_province","postal_code","country","address_services","address_organization"
"594041340982660","557042258022055","","","899 North Capitol St NE","","","","Washington","","DC","20002","US",""
"549781755675450","1303501603402692","","","1126 16th St NW","","","","Washington","","DC","20036","US",""
"585146293887120","1331394191570751","","","4100 Mohawk Lane","","","","Alexandria","","VA","22309","US",""
"622792920044728","1293267778021809","","","4900 Puerto Rico Avenue NE","","","","Washington","","DC","20017","US",""
"602770380079783","1261462848590883","","","4930 Connecticut Avenue NW","","","","Washington","","DC","20008","US",""
"634628013094891","1261098666898898","","","260 54th Street NE","","","","Washington","","DC","20019","US",""
"654987694705915","1288243545225450","","","4430 Benning Road NE","","","","Washington","","DC","20019","US",""
"658580381720705","819741028296646,1233404465582125","","","64 New York Ave NE","","","","Washington","","DC","20002","US",""
"665890077989539","1318371479368083","","","1000 Forest Glen Road","","","","Silver Springs","","MD","20901","US",""
"673213518639237","1327146928348308","","","2025 M Street","","","","Washington","","DC","20036","US",""
"681368099365337","1288638701381373","","","1516 Hamilton Street NW","","","","Washington","","DC","20011","US",""
"669837267515092","1320932553563772","","","1901 Evarts St. NE","","","","Washington","","DC","20018","US",""
"679686776530250","1280629114863869","","","2500 14th St NW","","","","Washington","","DC","20003","US",""
"779336728078064","1295065323399805","","","1719 13th Street NW","","","","Washington","","DC","20009","US",""
"738845486283459","1285677988970642","","","1617 U Street NW","","","","Washington","","DC","20009","US",""
"747206662074907","1190992226347185","","","801 Pennsylvania Ave SE","","","","Washington","","DC","20003","US",""
"781650165129368","1283768891049166","","","3309 16th St NW","","","","Washington","","DC","20010","US",""
"779204777927363","1295303526129555","","","2812 Pennsylvania Avenue SE","","","","Washington","","DC","20020","US",""
"800432356809465","1263123342132362","","","4017 Minnesota Avenue, NE","","","","Washington","","DC","20019","US",""
"787100265241537","1331109090254077","","","118 Brookley Ave SW","","","","Washington","","DC","20032","US",""
"782663284558293","1288442867873978","","","2907 Martin Luther King Jr Ave SE","","","","Washington","","DC","20032","US",""
"797095276624429","1303213322109189","","","2301 Martin Luther King Jr. Ave SE","","","","Washington","","DC","20020","US",""
"851618718178592","1269501575509775","","","202 Custer Rd","","","","Ft Myer","","VA","22211","US",""
"801363455011364","1288607908643209,1044411535350668,848643167597481","","","425 2nd St NW","","","","Washington","","DC","20001","US",""
"811353031461557","1300354176059967","","","2 North, 425 2nd St NW","","","","Washington","","DC","20001","US",""
"843557435036966","1142163554566402","","","71 O St NW","","","","Washington","","DC","20001","US",""
"905102359150495","1300388977460036","","","1700 Powder Mill Road","","","","Washington","","DC","20903","US",""
"894904473977360","1281896636126927","","","1520 C Street SE","","","","Washington","","DC","20003","US",""
"878763664887036","1301350893555178","","","2616 Martin Luther King Jr. Ave, SE","","","","Washington","","DC","20020","US",""
"901720689361729","1312052344982531","","","807 2nd St, NW","","","","Washington","","DC","20001","US",""
