id,service_id,location_id,service_at_location_id,weekday,opens_at,closes_at,original_text
,136,,,Monday,9:00am,5:00pm,"9:00am-5:00pm, Mon-Fri"
,136,,,Tuesday,9:00am,5:00pm,"9:00am-5:00pm, Mon-Fri"
,136,,,Wednesday,9:00am,5:00pm,"9:00am-5:00pm, Mon-Fri"
,136,,,Thursday,9:00am,5:00pm,"9:00am-5:00pm, Mon-Fri"
,136,,,Friday,9:00am,5:00pm,"9:00am-5:00pm, Mon-Fri"
,143,,,Monday,8:00am,5:00pm,"8:00am-5:00pm, Mon-Fri"
,143,,,Tuesday,8:00am,5:00pm,"8:00am-5:00pm, Mon-Fri"
,143,,,Wednesday,8:00am,5:00pm,"8:00am-5:00pm, Mon-Fri"
,143,,,Thursday,8:00am,5:00pm,"8:00am-5:00pm, Mon-Fri"
,143,,,Friday,8:00am,5:00pm,"8:00am-5:00pm, Mon-Fri"
,144,,,Monday,7:30am,6:00pm,"7:30am-6:00pm, Mon-Fri"
,144,,,Tuesday,7:30am,6:00pm,"7:30am-6:00pm, Mon-Fri"
,144,,,Wednesday,7:30am,6:00pm,"7:30am-6:00pm, Mon-Fri"
,144,,,Thursday,7:30am,6:00pm,"7:30am-6:00pm, Mon-Fri"
,144,,,Friday,7:30am,6:00pm,"7:30am-6:00pm, Mon-Fri"
,145,,,Monday,7:30am,4:00pm,"7:30am-4:00pm, Mon-Fri"
,145,,,Tuesday,7:30am,4:00pm,"7:30am-4:00pm, Mon-Fri"
,145,,,Wednesday,7:30am,4:00pm,"7:30am-4:00pm, Mon-Fri"
,145,,,Thursday,7:30am,4:00pm,"7:30am-4:00pm, Mon-Fri"
,145,,,Friday,7:30am,4:00pm,"7:30am-4:00pm, Mon-Fri"
,147,,,Monday,8:30am,5:30pm,"8:30am-5:30pm, Mon-Fri"
,147,,,Tuesday,8:30am,5:30pm,"8:30am-5:30pm, Mon-Fri"
,147,,,Wednesday,8:30am,5:30pm,"8:30am-5:30pm, Mon-Fri"
,147,,,Thursday,8:30am,5:30pm,"8:30am-5:30pm, Mon-Fri"
