"id","name","service_id","location_id","service_at_location_id","weekday","valid_from","valid_to","dtstart","until","wkst","freq","interval","byday","byweekno","bymonthday","byyearday","description","opens_at","closes_at"
"539398848532122","539398848532122","958276513381633,979425998294597,669665309659481,1150603832651756,855260709365984,1331055862752219","571421925629438","","Monday-Friday","","","8:30AM","5:30PM","","","","","","","","","",""
"541027330984880","541027330984880","","1146850101014457","","Friday","","","8:30AM","5:00PM","","","","","","","","","",""
"541670541751060","541670541751060","","953875575104132","","Monday - Friday","","","8:30AM","5:00PM","","","","","","","","","",""
"546785452197601","546785452197601","1156130223734698,1144935558772710,1253984981707388,1126445517023366,1156734654820399,1226032227700549,652787019720552","","","Monday - Friday","","","8:30AM","5:00PM","","","","","","","","","",""
"542958080918883","542958080918883","795565312115643,1188657221119765,897674219161316,1074220347849802,1275451737359298","","","Monday - Friday","","","9:00AM","5:00PM","","","","","","","","","",""
"561575698202080","561575698202080","778216401015612,650975829022117,1184398102096366,978362959076613,569658380553026","","","Monday-Sunday","","","24 hours","","","","","","","","","","",""
"575335889760211","575335889760211","667387929525624","988814873768650","","Monday - Friday","","","7:00AM","6:00PM","","","","","","","","","",""
"590727816513854","590727816513854","1225681361275050,778121485505827,864041028832460,1134389546347902,891245636047663,953570402846759,1049005398980524","1020706673677182","","Tuesday","","","9:00AM","8:00PM","","","","","","","","","",""
"591311363922777","591311363922777","871369531788799","","","Tuesday","","","7:00AM","","","","","","","","","","",""
"591212375407298","591212375407298","1210844998367589","1146850101014457","","Monday - Friday","","","8:00AM","5:00PM","","","","","","","","","",""
"597905216353594","597905216353594","1225681361275050,778121485505827,864041028832460,1134389546347902,891245636047663,953570402846759,1049005398980524","1020706673677182","","Monday, Wed-Thur","","","9:00AM","6:00PM","","","","","","","","","",""
"597855416309417","597855416309417","761729408560878","","","Tuesday","","","9:00AM","11:00AM","","","","","","","","","",""
"608382856907892","608382856907892","621922475876912,610393181590401","557042258022055","","Monday - Friday","","","9:00AM","5:00PM","","","","","","","","","",""
"607570240764498","607570240764498","869422229117923,773172814806209","","","Monday - Sunday","","","24 hours","","","","","","","","","","",""
"555815549467205","555815549467205","645620379335062,623011102913209,1263144790142252,660686319121862,960770573404461","","","Monday - Friday","","","10:00AM","3:00PM","","","","","","","","","",""
"554488883410804","554488883410804","1177007501779839,966998420345688,757359275699925","754270075554049","","Monday - Friday","","","9:00AM","5:00PM","","","","","","","","","",""
