"service_recordid","service_name","service_alternate_name","service_organization","service_description","service_locations","service_url","service_email","service_status","access_requirement","service_taxonomy","service_application_process","service_wait_time","service_fees","service_accreditations","service_licenses","service_phones","service_schedule","service_contacts","service_details","service_address","service_metadata","service_program","service_code","SDOH_code","code_category_ids","procedure_grouping","service_tag","service_airs_taxonomy_x","flag","bookmark","service_language","service_interpretation","eligibility_description","minimum_age","maximum_age","service_alert"
"540866542533436","Adult Individual and Group Therapy","","1148831835061989","Covers broad topics including conflict resolution, wellness, grief and loss, trauma, domestic violence.","1214902198182923,1060230665027262","http://hillcrest-dc.org/services/adult-services/","info@hillcrest-dc.org","1","none","1276982655382389,874406320909098","Call or walk-in for services.","","","","","<a href=""tel:(202) 232-6100"">(202) 232-6100</a>","","","","886665393820928,641281670998932","","","","","","","","","","","","","","","",""
"544257595598049","ESOL Program (English as a Second Language)","","1172656271433522","The Spanish Catholic Center in Gaithersburg, Maryland offers unique English as an Other Language (ESOL) programs designed to provide educational resources that will allow non-native English speakers to learn vital life and work skills. ESOL courses focus on assisting non-native English speakers master English as an educational and vocational tool. These courses are offered during 11-week sessions in the Spring, Summer and Fall. Please note that pre-registration is required. The Family and Children Literacy Program: Support for the family – A program for parents and children to study in the same environment. From Monday to Thursday, while parents take classes, children from 3 to 12 years old participate in a program of academic support. They may complete their homework and learn new things near their family. The Spanish Literacy Program, designed for native Spanish speakers, aims to increase literacy in Spanish among individuals who may not have received a formal education in their home country. Learners in the ESOL program are eligible to participate in all the services provided by the Spanish Catholic Center in Gaithersburg. We offer a transition program where they can learn about opportunities to continue their formal education, transition to higher paying jobs, and learn about all the support programs in the agency and in the local community.","1077472017140637","https://www.catholiccharitiesdc.org/esol/","esol@cc-dc.org","","none","","To register, email the ESOL program to request a registration form. Email: Laura.Irwin@cc-dc.org","","","","","<a href=""tel:(301) 740-2523"">(301) 740-2523</a>","1338861885602553,1338861885602554,1338861885602555,1338861885602556,1338861885602557,1338861885602558,1338861885602559,1338861885602560","","","922203556759265","","","","","","","","","","","","","","","",""
"543129663940995","Training and Education","","949759665008692","Wendt Center experts provide on-site training on numerous subjects relating to adult and child grief and trauma. From skill building techniques in play therapy to in-depth presentations on traumatic bereavement, our trainers share knowledge gained from current direct practice and extensive training and research opportunities. As active members of the National Child Traumatic Stress Network and the International Society for Traumatic Stress Studies, we strive to provide stimulating, interactive presentations that fuse clinical experience with state of the art theory and research.","851341569805212,1270081732081180","https://www.wendtcenter.org/hopes-crime-victim-services/","","1","none","","To become a client, please call: 202.204.5021","","","","","<a href=""tel:(202) 204-5021"">(202) 204-5021</a>","840625194332248","","","921726586005599,1071169939843667","","","","","","","","","","","","","","","",""
"561831919465625","Pharmacy - Mary's Center","","1287549685614240","Full service pharmacy.","991046422392107","https://www.maryscenterpharmacy.org/app/#/","","1","none","1276982655382389","Visit website, call, or walk in. You will need a prescription.","","","","","<a href=""tel:(844) 370-6201"">(844) 370-6201</a>","969910937524360","","970978597998351","750182888138367","","","","","","","","","","","","","","","",""
"566547951213450","Comprehensive Cancer Control Program (CCCP)","","1329764475795847","The District of Columbia government sponsors an array of health promotion services and free cancer screening. Additional efforts are being made to increase access to quality care, increase awareness about the importance of timely detection, and improve palliative and end-of-life care. The Striving for Wellness Program provides comprehensive cancer education for the gay and lesbian, Hispanic, Ethiopian and Vietnamese community. If you are interested in using these materials to educate your community please contact (202) 442-9170. For more information about free prevention, screening, and health services please call the CCCP at (202) 442-9170.","","https://dchealth.dc.gov/service/cancer","","1","none","1276982655382389,1265252182873860,893915418546777","Call for more information.","","","","","<a href=""tel:(202) 442-9170"">(202) 442-9170</a>","","","","","","","","","","","","","","","","","","","",""
"567586810350969","Health Ministry","","1253396496217869","The purpose of this ministry is to provide health services during church services, events, and activities. Raise the awareness of health issues affecting the African American community, promote wellness and physical activities, conduct health screening seminars, provide CPR training and partner with local health care organizations to educate our community and congregation regarding living a healthy life.","978435202763698","http://www.covenantdc.org/health-ministry","","1","none","893915418546777,1276982655382389","","","","","","<a href=""tel:(202) 562-5576"">(202) 562-5576</a>","","","","790302097009149","","","","","","","","","","","","","","","",""
"565370307901606","Individual and Systems Advocacy","","1058892834992313","DCCIL advocates for improved accessibility, and assists people transitioning from nursing homes to independent living in their communities. DCCIL staff advocate on an individual and system-wide basis to ensure the civil and human rights of people with disabilities.","1160077532191340,984407158340054,861950181964621","https://dccil.org/what-we-do/our-core-services/","","1","none","841905613386238,1129144548042060","Call for intake. Services are provided to residents.","","","","","<a href=""tel:(202) 280-6899"">(202) 280-6899</a>","707222961236034","","","886588147175165,896867524520940,1309544141702061","","","","","","","","","","","","","","","",""
"570279198497703","Health Home Behavioral Health","","1287549685614240","The Mary’s Center DC Health Homes team is here to help you manage your physical and mental health chronic conditions and create a personalized plan of care to improve health outcomes. Mary’s Center became a certified DC Health Homes provider in January 2016, when the Department of Health Care Finance (DHCF) launched the My DC Health Homes program to benefit Medicaid recipients. All DC Health Homes services are optional and will not affect your eligibility for other Medicaid services. All services are covered under Medicaid with no additional fees. To enroll, please contact Tara Pavao, our Health Homes Director at (202) 389-2486. Once you are enrolled, our HH team coordinates your medical and behavioral healthcare needs by pairing you with a Nurse Care Manager and a Community Support Worker. Your Nurse Care Manager and Community Support Worker will: Schedule medical and mental health appointments, send reminders, and help secure transportation. Monitor your chronic physical and mental health conditions to determine adherence to or variance from evidence-based treatment guidelines. Make sure you have the right medications and you are taking them correctly. Follow up after you are discharged from the hospital. Connect you to other community resources such as housing, food, transportation insurance re-certification, and legal assistance as needed. Provide support for you and your family on your pathway to better health.","1202618027693441,953875575104132,1146850101014457","https://www.maryscenter.org/behavioral-health/adults-and-seniors/dc-health-home/","tpavao@maryscenter.org","1","none","1276982655382389,874406320909098,819562758416858","To enroll, please contact Tara Pavao, our Health Homes Director at (202) 389-2486. To enroll, call the Behavioral Health front desk at (202) 851-3671 To reach Tara Pavao, DC Health Homes Director, call (202) 389-2486 or email tpavao@maryscenter.org We accept most insurance plans including Medicaid and Medicare. If you don’t have health insurance, we’ll help you apply for public benefits or provide care at a discount. Comprehensive list of insurances are available on our website.","","","","","<a href=""tel:(202) 483-8196"">(202) 483-8196</a>","1003280669828155,593029528256419,1106799266409790","","","1108677909528551,904876794525199,948876011596931","","","","","","","","","","","","","","","",""
"569326528063960","Housing","","862024217673800","Calvary provides transitional and permanent supportive housing services that enable women to make lasting changes in their lives. We provide women with basic services and nutritious meals at our facility, allowing them to focus on healing, building their skills, and building their futures. Our Sister Circle program offers permanent supportive housing services to women who live independently, but still receive long-term assistance. Sister Circle fosters a close-knit community of peer support and sisterhood.","902244835227859","https://www.calvaryservices.org/program/housing/","","1","none","1305774265925553,629380122005095,625144853335827,646077810643985","To access our services, you must first receive a referral from a core service agency. If they match you with our organization, you will be sent over for an intake. If you have additional questions, please call.","","","","","<a href=""tel:(202) 678-2341"">(202) 678-2341</a>","1144543884264901","","","601018594378812","","","","","","","","","","","","","","","",""
"573886519226225","DC Prevention Center Wards 1-2","","1311337308136967","LAYC’s hosts the DC Prevention Center Wards 1 & 2 (DCPC), an initiative of the DC Department of Behavioral Health (DBH), serving as a dynamic hub that engages, supports, and helps connect the many community elements that are needed for promoting healthy children, youth, and families as well as a drug-free District of Columbia. The theme of the DCPC: “Strong Communities…It’s About Youth, Families, and Caring Adults.” The DCPC is designed to strengthen and mobilize communities to prevent substance abuse amongst youth in Wards 1 and 2 by disseminating education and increasing awareness about alcohol, tobacco, and other drugs; identifying community leaders and building community prevention networks to prevent substance abuse in their communities; facilitating Community Conversations and coordinating community forums to strengthen community capacity and address priority risk and protective factors by implementing evidence-based strategies; and providing training and technical assistance for community prevention networks. All of the strategies implemented by the DCPC are based on Substance Abuse and Mental Health Services Administration’s (SAMHSA) Strategic Prevention Framework (SPF).","1273232122875210","http://www.layc-dc.org/what-we-do/health-wellness/dc-prevention-center-wards/","","1","none","893915418546777,976566727118378,885604845315230","Call or email for more information.","","","","","","1248064033669659,1227089097218053","880856273883514","","1114454487063148","","","","","","","","","","","","","","","",""
