id,service_id,taxonomy_id,taxonomy_detail
3847,2060,PN-8100.4500-240,
22939,7532,NL-6000.2000-220,
3740,1991,ND-6500,
3752,1998,LH-3000,
15399,7180,TA-5500.3000-450,
3858,2073,JR-8200.9500,
23486,8415,TH-2600,
22041,8096,FT-4500.1800,
3798,2028,RX-1750,
3804,2034,PL-7000,
3805,2034,PX,
3821,2041,PX,
3848,2061,RP-1400.8000-805,
3849,2061,PH-1000,
3850,2061,TJ-3000.8000,
3857,2072,LH-2700,
20445,3601,TJ-3000.8500-850,
22940,8326,LR-6200.6500,
3964,2145,DD-1500.4550,
15186,3280,BH-8400.3000,
10336,5822,PX,
3981,2153,PH-1400.1000,
3982,2154,PX,
3983,2155,PH-1400,
15187,3281,BH-8600,
4059,2196,DD-1500.4150,
4099,2230,TJ-3000,
4107,2236,LR-1700,
4163,2271,PH-1250.1800,
4231,2326,PN-8100.3000,
4237,2329,PN-8100.1000,
22941,8326,LR-6600,
4380,2422,PH-1250.1800,
4384,2424,HD-8000.1800-500,
13555,3244,FT-3600,
4043,2186,RX-1750,
4116,2244,HH-8000,
20447,2760,RX-8450.6600-650,
4351,2402,PL-7400.5500-570,
21446,3347,RM-6500.1500,
4360,2410,LF-4900.1500-120,
4361,2410,LF-4900.1500-650,
4362,2410,TJ-6500,
4026,2177,FF-0500.1800,
4052,2191,PS-9800,
21447,3347,RP-1400.8000-800,
22942,8326,LR-8000.8000-820,
24666,2932,RX-8450.5000-510,
4239,2330,PN-8100.1000-100,
4421,2440,PH-1250.1800,
4027,2178,RP-1400.8000-070,
4028,2178,FF-0500.1800,
4037,2182,FF-0500.1800,
4056,2192,PS-9800,
15400,7179,TA-5500.3000-450,
4188,2291,LF-5350.6500,
4364,2412,PS-9800.9900,
20448,2187,TJ-3000.8500-850,
4042,2185,RX-1750,
4073,2208,TL-3650.2000-200,
4078,2211,ND-2000.3500,
4079,2211,FP-0500,
20449,2254,TD-1200.1800,
21448,3347,RP-5000.1500,
4385,2425,PH-1000.8500,
4386,2425,ND-3500.3600,
4387,2425,NL-1000.7000,
4435,2445,PH-1250.1800,
20450,2254,TJ-3000.1500,
9931,5587,JR-8200.2000,
4222,2320,PN-8100.0500-070,
11222,6146,PN-8100.3000,
4248,2335,LJ-5000.1000,
9991,5130,NS-1800.9000,
4157,2265,PH-1250.1800,
22042,8097,PD-6250.0750-180,
4203,2307,LT-9500.9550,
4205,2307,PN-8100.0500-900,
10622,5954,LT-1750.1750,
20451,4254,RX-8500.6500-050,
4446,2450,PH-1250.1800,
4449,2451,PH-1250.1800,
4452,2452,PH-1250.1800,
4455,2453,PH-1250.1800,
13558,5357,LL-3000.1450,
4468,2458,PH-1250.1800,
4501,2488,TD-1600.3100-800,
4502,2488,PH-1000,
22943,8327,HH-0500.8000-150,
24667,4908,FP-0500.2500,
4543,2515,PH-1250.1800,
4972,2773,PH-1250.1800,
4607,2553,PH-1250.1800,
20452,4254,RX-8500.6500-180,
4688,2613,LH-2700.1700,
21449,3347,RP-6400.8000-300,
18131,3032,DD-1500.9650,
4753,2660,PH-1250.1800,
4761,2662,HH-0500.1500,
4861,2719,PH-1250.1800,
4862,2719,PS-9800.9900,
4872,2727,PH-1250.1800,
4878,2733,PH-1250.1800,
4960,2766,RP-1400.8000-650,
4961,2766,PH-6100,
21092,7848,PH-1250.1800,
21093,7849,PH-1250.1800,
4513,2492,LR-8000.0500-050.05,
4570,2535,ND-2000.3500,
4572,2535,PL-7000,
4622,2561,PH-1250.1800,
5227,2909,PH-1250.1800,
5086,2844,TC-5500.8000,
5087,2844,BD-5000.1500,
5090,2845,FT-3600.3300,
5136,2866,RP-1400.8000-825,
5137,2866,TD-1600.3100-250,
5138,2866,RP-1500.1400-800,
24668,4908,FT-8000.2500,
15590,7221,PD-7600.0100,
5202,2897,PH-1000,
5203,2897,RF-2000,
15591,7221,PD-7600.0600,
5205,2897,RP-1400.8000-050,
20457,1451,ND-6500,
5411,3071,LL-3000.1500,
5552,3196,DD,
5164,2880,PH-6100.6800,
5303,2960,JR-1900.2000,
20458,1451,ND-6500.8120,
5553,3198,LH-5100.6500,
5176,2884,PH-1250.1800,
22945,752,LJ-2000.6750,
5235,2917,PH-1250.1800,
