id,name,parent_id,parent_name,vocabulary,taxonomy_facet
PN-8100.4500-240,Gay/Lesbian/Bisexual/Transgender Support Groups,P,Individual and Family Life,Open211 Miami - AIRS,Organization/Facility Type
NL-6000.2000-220,Food Stamps/SNAP Applications,N,Income Support and Employment,Open211 Miami - AIRS,Named Programs
ND-6500,Training and Employment Programs,N,Income Support and Employment,Open211 Miami - AIRS,Service
LH-3000,Health Insurance/Dental Coverage,L,Health Care,Open211 Miami - AIRS,Service
TA-5500.3000-450,Local/Regional History Museums,T,Organizational/Community/International Services,Open211 Miami - AIRS,Organization/Facility Type
JR-8200.9500,Water Safety Education,J,Environmental Quality,Open211 Miami - AIRS,Service
TH-2600,Disaster Relief Services,T,Organizational/Community/International Services,Open211 Miami - AIRS,Service
FT-4500.1800,Eviction Prevention Legal Assistance,F,Criminal Justice and Legal Services,Open211 Miami - AIRS,Service
RX-1750,DUI Offender Programs,R,Mental Health Care and Counseling,Open211 Miami - AIRS,Service
PL-7000,Recreational Activities/Sports,P,Individual and Family Life,Open211 Miami - AIRS,Service
PX,Volunteer Opportunities,P,Individual and Family Life,Open211 Miami - AIRS,Service
RP-1400.8000-805,Sexual Orientation Counseling,R,Mental Health Care and Counseling,Open211 Miami - AIRS,Service
PH-1000,Case/Care Management,P,Individual and Family Life,Open211 Miami - AIRS,Service
TJ-3000.8000,Specialized Information and Referral,T,Organizational/Community/International Services,Open211 Miami - AIRS,Service
LH-2700,Health Education,L,Health Care,Open211 Miami - AIRS,Service
TJ-3000.8500-850,211 Lead Agencies,T,Organizational/Community/International Services,Open211 Miami - AIRS,Organization/Facility Type
LR-6200.6500,Pediatric Occupational Therapy,L,Health Care,Open211 Miami - AIRS,Service
DD-1500.4550,Home Improvement/Repair Complaints,D,Consumer Services,Open211 Miami - AIRS,Service
BH-8400.3000,Homeless Permanent Supportive Housing,B,Basic Needs,Open211 Miami - AIRS,Organization/Facility Type
PH-1400.1000,Buddy Programs,P,Individual and Family Life,Open211 Miami - AIRS,Service
PH-1400,Companionship,P,Individual and Family Life,Open211 Miami - AIRS,Service
BH-8600,Transitional Housing/Shelter,B,Basic Needs,Open211 Miami - AIRS,Service
DD-1500.4150,Government Complaints/Government Ombudsman Offices,D,Consumer Services,Open211 Miami - AIRS,Organization/Facility Type
TJ-3000,Information and Referral,T,Organizational/Community/International Services,Open211 Miami - AIRS,Service
LR-1700,Early Intervention for Children With Disabilities/Delays,L,Health Care,Open211 Miami - AIRS,Service
PH-1250.1800,Extended Child Care,P,Individual and Family Life,Open211 Miami - AIRS,Service
PN-8100.3000,Health/Disability Related Support Groups,P,Individual and Family Life,Open211 Miami - AIRS,Organization/Facility Type
PN-8100.1000,Bereavement Support Groups,P,Individual and Family Life,Open211 Miami - AIRS,Organization/Facility Type
LR-6600,Physical Therapy,L,Health Care,Open211 Miami - AIRS,Service
HD-8000.1800-500,Middle Schools,H,Education,Open211 Miami - AIRS,Organization/Facility Type
FT-3600,Immigration/Naturalization Legal Services,F,Criminal Justice and Legal Services,Open211 Miami - AIRS,Service
HH-8000,Special Education,H,Education,Open211 Miami - AIRS,Service
RX-8450.6600-650,Perinatal Drug Use Disorder Treatment,R,Mental Health Care and Counseling,Open211 Miami - AIRS,Service
PL-7400.5500-570,Musical Instrument Instruction,P,Individual and Family Life,Open211 Miami - AIRS,Service
RM-6500.1500,Community Mental Health Agencies,R,Mental Health Care and Counseling,Open211 Miami - AIRS,Organization/Facility Type
LF-4900.1500-120,Breast Examinations,L,Health Care,Open211 Miami - AIRS,Service
LF-4900.1500-650,Pap Tests,L,Health Care,Open211 Miami - AIRS,Service
TJ-6500,Public Awareness/Education,T,Organizational/Community/International Services,Open211 Miami - AIRS,Service
FF-0500.1800,Diversion Programs,F,Criminal Justice and Legal Services,Open211 Miami - AIRS,Service
PS-9800,Youth Development,P,Individual and Family Life,Open211 Miami - AIRS,Service
RP-1400.8000-800,Sexual Assault Counseling,R,Mental Health Care and Counseling,Open211 Miami - AIRS,Service
LR-8000.8000-820,Speech Therapy,L,Health Care,Open211 Miami - AIRS,Service
RX-8450.5000-510,Methadone Clinics,R,Mental Health Care and Counseling,Open211 Miami - AIRS,Service
PN-8100.1000-100,Bereaved Parent Support Groups,P,Individual and Family Life,Open211 Miami - AIRS,Organization/Facility Type
RP-1400.8000-070,Anger Management,R,Mental Health Care and Counseling,Open211 Miami - AIRS,Service
LF-5350.6500,Paternity/Maternity Establishment,L,Health Care,Open211 Miami - AIRS,Service
PS-9800.9900,Youth Enrichment Programs,P,Individual and Family Life,Open211 Miami - AIRS,Service
TL-3650.2000-200,Foreign Disaster Information,T,Organizational/Community/International Services,Open211 Miami - AIRS,Service
ND-2000.3500,Job Training Formats,N,Income Support and Employment,Open211 Miami - AIRS,Modality/Delivery Format
FP-0500,Advocacy,F,Criminal Justice and Legal Services,Open211 Miami - AIRS,Modality/Delivery Format
TD-1200.1800,Federated Giving Programs,T,Organizational/Community/International Services,Open211 Miami - AIRS,Organization/Facility Type
RP-5000.1500,Clinical Psychiatric Evaluation,R,Mental Health Care and Counseling,Open211 Miami - AIRS,Service
PH-1000.8500,Transitional Case/Care Management,P,Individual and Family Life,Open211 Miami - AIRS,Service
ND-3500.3600,Job Search/Placement,N,Income Support and Employment,Open211 Miami - AIRS,Service
NL-1000.7000,Refugee/Entrant Cash Assistance,N,Income Support and Employment,Open211 Miami - AIRS,Named Programs
TJ-3000.1500,Comprehensive Information and Referral,T,Organizational/Community/International Services,Open211 Miami - AIRS,Service
JR-8200.2000,Fire Prevention Information,J,Environmental Quality,Open211 Miami - AIRS,Service
PN-8100.0500-070,Alcohol Use Disorder Support Groups,P,Individual and Family Life,Open211 Miami - AIRS,Organization/Facility Type
LJ-5000.1000,Breastfeeding Support Programs,L,Health Care,Open211 Miami - AIRS,Service
NS-1800.9000,Veteran Compensation and Pension Benefits,N,Income Support and Employment,Open211 Miami - AIRS,Named Programs
PD-6250.0750-180,Dog Obedience Classes,P,Individual and Family Life,Open211 Miami - AIRS,Service
LT-9500.9550,Weight Loss Assistance,L,Health Care,Open211 Miami - AIRS,Service
PN-8100.0500-900,Weight Related Support Groups,P,Individual and Family Life,Open211 Miami - AIRS,Organization/Facility Type
LT-1750.1750,Diabetes Management Clinics,L,Health Care,Open211 Miami - AIRS,Service
RX-8500.6500-050,Alcohol Use Related Recovery Homes/Halfway Houses,R,Mental Health Care and Counseling,Open211 Miami - AIRS,Organization/Facility Type
LL-3000.1450,Children's Hospitals,L,Health Care,Open211 Miami - AIRS,Organization/Facility Type
TD-1600.3100-800,Senior Advocacy Groups,T,Organizational/Community/International Services,Open211 Miami - AIRS,Organization/Facility Type
HH-0500.8000-150,English as a Second Language,H,Education,Open211 Miami - AIRS,Service
FP-0500.2500,Group Advocacy,F,Criminal Justice and Legal Services,Open211 Miami - AIRS,Modality/Delivery Format
RX-8500.6500-180,Drug Use Related Recovery Homes/Halfway Houses,R,Mental Health Care and Counseling,Open211 Miami - AIRS,Organization/Facility Type
LH-2700.1700,Disease/Disability Information,L,Health Care,Open211 Miami - AIRS,Service
RP-6400.8000-300,Home Based Mental Health Services,R,Mental Health Care and Counseling,Open211 Miami - AIRS,Service
DD-1500.9650,Utility Service Complaints,D,Consumer Services,Open211 Miami - AIRS,Service
HH-0500.1500,Citizenship Education,H,Education,Open211 Miami - AIRS,Service
RP-1400.8000-650,Parent Counseling,R,Mental Health Care and Counseling,Open211 Miami - AIRS,Service
PH-6100,Parenting Education,P,Individual and Family Life,Open211 Miami - AIRS,Service
LR-8000.0500-050.05,Auditory/Oral Training,L,Health Care,Open211 Miami - AIRS,Service
TC-5500.8000,Senior Centers,T,Organizational/Community/International Services,Open211 Miami - AIRS,Organization/Facility Type
BD-5000.1500,Congregate Meals/Nutrition Sites,B,Basic Needs,Open211 Miami - AIRS,Service
FT-3600.3300,Immigrant Visa Application Filing Assistance,F,Criminal Justice and Legal Services,Open211 Miami - AIRS,Service
RP-1400.8000-825,Suicide Counseling,R,Mental Health Care and Counseling,Open211 Miami - AIRS,Service
TD-1600.3100-250,Gay/Lesbian/Bisexual/Transgender Advocacy Groups,T,Organizational/Community/International Services,Open211 Miami - AIRS,Organization/Facility Type
RP-1500.1400-800,Suicide Prevention Hotlines,R,Mental Health Care and Counseling,Open211 Miami - AIRS,Service
FT-8000.2500,General Education Advocacy,F,Criminal Justice and Legal Services,Open211 Miami - AIRS,Service
PD-7600.0100,Animal Adoption,P,Individual and Family Life,Open211 Miami - AIRS,Service
RF-2000,Family Counseling,R,Mental Health Care and Counseling,Open211 Miami - AIRS,Modality/Delivery Format
PD-7600.0600,Animal Shelters,P,Individual and Family Life,Open211 Miami - AIRS,Organization/Facility Type
RP-1400.8000-050,Adolescent/Youth Counseling,R,Mental Health Care and Counseling,Open211 Miami - AIRS,Service
LL-3000.1500,City/County Hospitals,L,Health Care,Open211 Miami - AIRS,Organization/Facility Type
DD,Consumer Assistance and Protection,D,Consumer Services,Open211 Miami - AIRS,Service
PH-6100.6800,Parenting Skills Classes,P,Individual and Family Life,Open211 Miami - AIRS,Service
JR-1900.2000,Fire Control/Extinction,J,Environmental Quality,Open211 Miami - AIRS,Service
ND-6500.8120,Supported Employment,N,Income Support and Employment,Open211 Miami - AIRS,Service
LH-5100.6500,Prescription Expense Assistance,L,Health Care,Open211 Miami - AIRS,Service
LJ-2000.6750,Pregnancy Testing,L,Health Care,Open211 Miami - AIRS,Service
PL-7400.1550,Cooking Classes,P,Individual and Family Life,Open211 Miami - AIRS,Service
LV-1600,Dental Care,L,Health Care,Open211 Miami - AIRS,Service
RF-3300,Individual Counseling,R,Mental Health Care and Counseling,Open211 Miami - AIRS,Modality/Delivery Format
HH-4500.2000,Family Literacy Programs,H,Education,Open211 Miami - AIRS,Service
TJ-6500.8000,Speakers/Speakers Bureaus,T,Organizational/Community/International Services,Open211 Miami - AIRS,Service
LL-6000,Nursing Facilities,L,Health Care,Open211 Miami - AIRS,Organization/Facility Type
LT-1750.7935,Sexual Assault Treatment,L,Health Care,Open211 Miami - AIRS,Service
PH-1250.1400,Child Care Centers,P,Individual and Family Life,Open211 Miami - AIRS,Organization/Facility Type
NL-6000.9500,WIC,N,Income Support and Employment,Open211 Miami - AIRS,Named Programs
LJ-5000.1500,Childbirth Education,L,Health Care,Open211 Miami - AIRS,Service
LJ-5000.6600,Prenatal Care,L,Health Care,Open211 Miami - AIRS,Service
LJ-2000,Family Planning,L,Health Care,Open211 Miami - AIRS,Service
TI-1800.0700,Animal Food/Supplies Donation Programs,T,Organizational/Community/International Services,Open211 Miami - AIRS,Service
LV-5700,Neuropsychiatry/Neuropsychology,L,Health Care,Open211 Miami - AIRS,Service
RD-1500,Cognitive Behavioral Therapy,R,Mental Health Care and Counseling,Open211 Miami - AIRS,Service
RD-2500,Gestalt Therapy,R,Mental Health Care and Counseling,Open211 Miami - AIRS,Service
RP-1400.8000-175,Divorce Counseling,R,Mental Health Care and Counseling,Open211 Miami - AIRS,Service
LN-1500,Community Clinics,L,Health Care,Open211 Miami - AIRS,Organization/Facility Type
LV-6000.2550,Gynecology Services,L,Health Care,Open211 Miami - AIRS,Service
TH-1700.8000,Special Needs Registries,T,Organizational/Community/International Services,Open211 Miami - AIRS,Programs that maintain information about people who may require 
LV-6000.1000,Breast Care Centers,L,Health Care,Open211 Miami - AIRS,Organization/Facility Type
FT-1000.8900,Unemployment Insurance Benefits Assistance,F,Criminal Justice and Legal Services,Open211 Miami - AIRS,Service
PH-0320,Adult Day Programs,P,Individual and Family Life,Open211 Miami - AIRS,Service
HL-2000.8000,Special Education Assessment,H,Education,Open211 Miami - AIRS,Service
LJ-5000,Mother and Infant Care,L,Health Care,Open211 Miami - AIRS,Service
RM-6500,Outpatient Mental Health Facilities,R,Mental Health Care and Counseling,Open211 Miami - AIRS,Organization/Facility Type
FT-6900.2500,Guardianship Assistance,F,Criminal Justice and Legal Services,Open211 Miami - AIRS,Service
LF-7100.2500,General Physical Examinations,L,Health Care,Open211 Miami - AIRS,Service
RD-6800.6500,Psychotherapy/Psychoanalysis,R,Mental Health Care and Counseling,Open211 Miami - AIRS,Service
RF-2500,Group Counseling,R,Mental Health Care and Counseling,Open211 Miami - AIRS,Modality/Delivery Format
RM-6500.6500,Private Therapy Practices,R,Mental Health Care and Counseling,Open211 Miami - AIRS,Organization/Facility Type
PL-6400.1500-820,Summer Camps,P,Individual and Family Life,Open211 Miami - AIRS,Service
DF-4500,Licensing/Certification/Accreditation,D,Consumer Services,Open211 Miami - AIRS,Service
DD-1500,Consumer Complaints,D,Consumer Services,Open211 Miami - AIRS,Service
ND-2000.1500-160,Career Counseling,N,Income Support and Employment,Open211 Miami - AIRS,Service
HH-9000,Vocational Education,H,Education,Open211 Miami - AIRS,Service
BH-8400.6000-060,Assisted Living Facilities,B,Basic Needs,Open211 Miami - AIRS,Organization/Facility Type
FP-0500.7800,Self Advocacy Support,F,Criminal Justice and Legal Services,Open211 Miami - AIRS,Modality/Delivery Format
LT-3400.0100,Adolescent/Adult Immunizations,L,Health Care,Open211 Miami - AIRS,Service
LH-3500.5000,Medicare Information/Counseling,L,Health Care,Open211 Miami - AIRS,Named Programs
PH-7000,Respite Care,P,Individual and Family Life,Open211 Miami - AIRS,Service
BT-4500.4700-500,Local Bus Transit Services,B,Basic Needs,Open211 Miami - AIRS,Service
BT-4500.6500-280,General Paratransit/Community Ride Programs,B,Basic Needs,Open211 Miami - AIRS,Service
LT-3400.1500,Childhood Immunizations,L,Health Care,Open211 Miami - AIRS,Service
FN-1500.1900-800,Spouse/Intimate Partner Abuse Prevention,F,Criminal Justice and Legal Services,Open211 Miami - AIRS,Service
PH-3300.3000,Homemaker Assistance,P,Individual and Family Life,Open211 Miami - AIRS,Service
NL-6000.2000,Food Stamps/SNAP,N,Income Support and Employment,Open211 Miami - AIRS,Named Programs
NS-8000,Social Health Insurance,N,Income Support and Employment,Open211 Miami - AIRS,Service
PH-2950.8500-870,Thanksgiving Meals,P,Individual and Family Life,Open211 Miami - AIRS,Service
LT-1750.0500,AIDS/HIV Clinics,L,Health Care,Open211 Miami - AIRS,Service
LF-4900.2400,HIV Testing,L,Health Care,Open211 Miami - AIRS,Service
