"id","term","description","parent_id","taxonomy","language"
"1","Ages 50+","","Age Group","Service Eligibility",""
"2","Income at or below 30% Median Family Income","","Income","Service Eligibility",""
"3","Prescription Assistance","","Help Pay for Healthcare","Service Category",""
"4","Addiction & Recovery","","Health","Service Category",""
"5","Financial Aid & Loans","","Help Pay for School","Service Category",""
"6","Sex Education","","Health Education","Service Category",""
"7","Health Insurance","","Insurance","Service Category",""
"8","Maintenance & Repairs","","Housing","Service Category",""
"9","Transportation for School","","Help Pay for School","Service Category",""
"10","Relief for Caregivers","","Daytime Care","Service Category",""
"11","Learning Disability","","Disability","Service Eligibility",""
"12","Special Education","","More Education","Service Category",""
"13","Safety Education","","Health Education","Service Category",""
"14","Post-Treatment","","Treatment Phases","Service Eligibility",""
"15","Bladder Cancer","","Cancer","Service Eligibility",""
"16","200% Federal Poverty Line","","Income","Service Eligibility",""
"17","Veterans","","Armed Forces","Service Eligibility",""
"18","Adoption Counseling","","Adoption & Foster Care","Service Category",""
"19","Hearing Tests","","Checkup & Test","Service Category",""
"20","HIV Treatment","","Prevent & Treat","Service Category",""
"21","Survivors of Intimate Partner Violence","","Survivors","Service Eligibility",""
"22","Retirement","","","Service Eligibility",""
"23","Independent Living","","Long-Term Housing","Service Category",""
"24","U.S. Citizen or Permanent Resident","","Citizenship","Service Eligibility",""
"25","Workplace Rights","","Advocacy & Legal Aid","Service Category",""
"26","Burn Survivors","","Survivors","Service Eligibility",""
"27","Holocaust Survivors","","Survivors","Service Eligibility",""
"28","Medications for Addiction","","Addiction & Recovery","Service Category",""
"29","Skills & Training","","Work","Service Category",""
"30","Understand Disability","","Health Education","Service Category",""
"31","Terminal Illness","","Health Conditions","Service Eligibility",""
"32","STD/STI Treatment & Prevention","","Sexual & Reproductive Health","Service Category",""
"33","Adoption Planning","","Adoption & Foster Care","Service Category",""
"34","College Readiness","","More Education","Service Category",""
"35","Women/Girls","","Gender","Service Eligibility",""
"36","Birth Control","","Family Planning","Service Category",""
"37","Personal Technology","","Goods","Service Category",""
"38","Blankets & Fans","","Home Goods","Service Category",""
"39","Outpatient Treatment","","Prevent & Treat","Service Category",""
"40","Liver Cancer","","Cancer","Service Eligibility",""
"41","Citizenship & Immigration","","Advocacy & Legal Aid","Service Category",""
"42","Vision Care","","Health","Service Category",""
"43","Long-Term Housing","","Residential Housing","Service Category",""
"44","Homeless","","Housing Status","Service Eligibility",""
"45","Food","Services for free meals, food pantries, help paying for food, food delivery, food benefits and nutrition support.\n","","Service Category",""
"46","Financial Education","","Money","Service Category",""
"47","Role","","","Service Eligibility",""
"48","GED/High-School Equivalency","","Skills & Training","Service Category",""
"49","Understand Government Programs","","Advocacy & Legal Aid","Service Category",""
"50","Assistive Technology","","Medical Supplies","Service Category",""
"51","Pregnancy Tests","","Checkup & Test","Service Category",""
"52","No High School Diploma","","Education Status","Service Eligibility",""
"53","Primary Care","","Medical Care","Service Category",""
"54","Wilms Tumor","","Cancer","Service Eligibility",""
"55","Fathers","","Role","Service Eligibility",""
"56","Detox","","Addiction & Recovery","Service Category",""
"57","Home & Renters Insurance","","Help Pay for Housing","Service Category",""
"58","Homebuyer Education","","Financial Education","Service Category",""
"59","Resident of 20009 Zip Code","","Geography","Service Eligibility",""
"60","Assisted Living","","Long-Term Housing","Service Category",""
"61","Visual Impairment","","Disability","Service Eligibility",""
"62","Sober Living","","Short-Term Housing","Service Category",""
"63","Transportation for Healthcare","","Help Pay for Healthcare","Service Category",""
"64","Help Pay for Childcare","","Childcare","Service Category",""
"65","Infants and Toddlers (0-2)","","Age Group","Service Eligibility",""
"66","Dental Care","","Health","Service Category",""
"67","Tax Preparation","","Money","Service Category",""
"68","Unemployment Benefits","","Government Benefits","Service Category",""
"69","Discrimination & Civil Rights","","Advocacy & Legal Aid","Service Category",""
"70","Bereavement","","End-of-Life Care","Service Category",""
