ID,id,location_id,accessibility,details
1,136,136,,
2,143,143,"Handicap accessible",
3,144,144,"Handicap accessible",
4,145,145,,
5,147,147,"Handicap accessible",
6,149,149,"Handicap accessible",
7,150,150,"Handicap accessible",
8,151,151,"Handicap accessible",
9,152,152,"Handicap accessible",
10,156,156,"Handicap accessible",
11,158,158,"Handicap accessible",
12,160,160,"Handicap accessible",
13,161,161,"Handicap accessible",
14,163,163,"Handicap accessible",
15,164,164,,
16,165,165,,
17,166,166,,
18,170,170,"Handicap accessible",
19,171,171,"Handicap accessible",
20,172,172,"Handicap accessible",
21,173,173,"Handicap accessible",
22,174,174,"Handicap accessible",
23,175,175,"Handicap accessible",
24,176,176,"Handicap accessible",
25,181,181,,
26,182,182,,
27,183,183,,
28,184,184,,
29,185,185,,
30,187,187,,
31,189,189,,
32,190,190,,
33,192,192,,
34,197,197,,
35,199,199,,
36,201,201,,
37,203,203,"Handicap accessible",
38,206,206,,
39,207,207,,
40,208,208,,
41,210,210,,
42,211,211,"Handicap accessible",
43,212,212,,
44,213,213,,
45,214,214,,
46,215,215,,
47,216,216,,
48,217,217,,
49,218,218,,
50,221,221,"Handicap accessible",
51,225,225,,
52,227,227,,
53,231,231,,
54,235,235,,
55,236,236,,
56,237,237,"Handicap accessible",
57,238,238,"Handicap accessible",
58,241,241,"Handicap accessible",
59,242,242,"Handicap accessible",
60,246,246,,
61,292,292,,
62,294,294,"Handicap accessible",
63,296,296,,
64,298,298,,
65,303,303,"Handicap accessible",
66,308,308,"Handicap accessible",
67,310,310,,
68,311,311,,
69,312,312,,
70,314,314,,
71,467,467,,
72,468,468,,
73,470,470,,
74,471,471,,
75,472,472,,
76,473,473,,
77,474,474,,
78,475,475,,
79,480,480,"Handicap accessible",
80,481,481,,
81,482,482,"Handicap accessible",
82,483,483,,
83,484,484,,
84,485,485,,
85,490,490,,
86,492,492,,
87,499,499,"Handicap accessible",
88,501,501,,
89,503,503,,
90,504,504,,
91,505,505,,
92,506,506,,
93,507,507,,
94,508,508,,
95,509,509,,
96,510,510,,
97,513,513,"Handicap accessible",
98,514,514,"Handicap accessible",
99,515,515,"Handicap accessible",
100,526,526,"Handicap accessible",
101,527,527,"Handicap accessible",
102,528,528,,
103,529,529,,
104,530,530,,
105,531,531,,
106,532,532,,
107,533,533,"Handicap accessible",
108,534,534,"Handicap accessible",
109,535,535,"Handicap accessible",
110,536,536,"Handicap accessible",
111,537,537,"Handicap accessible",
112,539,539,"Handicap accessible",
113,541,541,,
114,542,542,,
115,543,543,,
116,545,545,,
117,546,546,,
118,547,547,"Handicap accessible",
119,553,553,"Handicap accessible",
120,554,554,"Handicap accessible",
121,560,560,,
122,561,561,,
123,562,562,,
124,564,564,"Handicap accessible",
125,566,566,,
126,576,576,"Handicap accessible",
127,578,578,"Handicap accessible",
128,579,579,"Handicap accessible",
129,580,580,"Handicap accessible",
130,583,583,,
131,587,587,,
132,593,593,,
133,594,594,"Handicap accessible",
134,750,750,"Handicap accessible",
135,752,752,"Handicap accessible",
136,753,753,"Handicap accessible",
137,754,754,"Handicap accessible",
138,759,759,"Handicap accessible",
139,760,760,"Handicap accessible",
140,761,761,"Handicap accessible",
141,762,762,"Handicap accessible",
142,763,763,"Handicap accessible",
143,764,764,"Handicap accessible",
144,766,766,"Handicap accessible",
145,767,767,"Handicap accessible",
146,768,768,"Handicap accessible",
147,769,769,"Handicap accessible",
148,770,770,"Handicap accessible",
149,771,771,,
150,772,772,"Handicap accessible",
151,773,773,"Handicap accessible",
152,775,775,,
153,777,777,"Handicap accessible",
154,788,788,"Handicap accessible",
155,789,789,"Handicap accessible",
156,790,790,,
157,791,791,,
158,792,792,"Handicap accessible",
159,793,793,"Handicap accessible",
160,794,794,"Handicap accessible",
161,795,795,"Handicap accessible",
162,796,796,"Handicap accessible",
163,797,797,"Handicap accessible",
164,798,798,,
165,799,799,"Handicap accessible",
166,800,800,,
167,802,802,"Handicap accessible",
168,803,803,,
169,804,804,"Handicap accessible",
170,805,805,,
171,808,808,,
172,811,811,,
173,813,813,,
174,815,815,,
175,816,816,,
176,818,818,,
177,819,819,,
178,834,834,"Handicap accessible",
179,835,835,"Handicap accessible",
180,837,837,"Handicap accessible",
181,840,840,"Handicap accessible",
182,841,841,"Handicap accessible",
183,844,844,"Handicap accessible",
184,846,846,"Handicap accessible",
185,849,849,,
186,850,850,"Handicap accessible",
187,851,851,"Handicap accessible",
188,854,854,,
189,857,857,"Handicap accessible",
190,858,858,"Handicap accessible",
191,859,859,"Handicap accessible",
192,860,860,"Handicap accessible",
193,861,861,"Handicap accessible",
194,863,863,"Handicap accessible",
195,864,864,"Handicap accessible",
196,869,869,"Handicap accessible",
197,870,870,"Handicap accessible",
198,871,871,"Handicap accessible",
199,872,872,"Handicap accessible",
200,873,873,"Handicap accessible",
201,985,985,,
202,986,986,,
203,991,991,,
204,997,997,,
205,998,998,,
206,999,999,,
207,1001,1001,"Handicap accessible",
208,1002,1002,"Handicap accessible",
209,1003,1003,,
210,1004,1004,,
211,1005,1005,,
212,1006,1006,,
213,1007,1007,,
214,1009,1009,,
215,1012,1012,"Handicap accessible",
216,1013,1013,"Handicap accessible",
217,1014,1014,,
218,1015,1015,,
219,1016,1016,,
220,1017,1017,,
221,1019,1019,,
222,1020,1020,,
223,1021,1021,,
224,1022,1022,,
225,1025,1025,,
226,1026,1026,,
227,1027,1027,,
228,1032,1032,,
229,1035,1035,,
230,1036,1036,,
231,1037,1037,,
232,1052,1052,,
233,1054,1054,,
234,1056,1056,,
235,1057,1057,"Handicap accessible",
236,1058,1058,"Handicap accessible",
237,1063,1063,,
238,1065,1065,"Handicap accessible",
239,1066,1066,"Handicap accessible",
240,1071,1071,"Handicap accessible",
241,1072,1072,"Handicap accessible",
242,1073,1073,"Handicap accessible",
243,1074,1074,"Handicap accessible",
244,1075,1075,"Handicap accessible",
245,1076,1076,"Handicap accessible",
246,1077,1077,"Handicap accessible",
247,1078,1078,,
248,1080,1080,"Handicap accessible",
249,1083,1083,,
250,1087,1087,,
251,1088,1088,,
252,1095,1095,,
253,1096,1096,,
254,1097,1097,,
255,1098,1098,,
256,1099,1099,,
257,1100,1100,,
258,1101,1101,,
259,1102,1102,,
260,1103,1103,,
261,1104,1104,,
262,1272,1272,,
263,1273,1273,,
264,1274,1274,"Handicap accessible",
265,1276,1276,,
266,1278,1278,,
267,1280,1280,,
268,1289,1289,,
269,1290,1290,,
270,1291,1291,,
271,1292,1292,,
272,1295,1295,,
273,1296,1296,,
274,1297,1297,,
275,1298,1298,,
276,1299,1299,,
277,1301,1301,"Handicap accessible",
278,1306,1306,,
279,1308,1308,,
280,1309,1309,,
281,1310,1310,"Handicap accessible",
282,1311,1311,"Handicap accessible",
283,1312,1312,"Handicap accessible",
284,1313,1313,"Handicap accessible",
285,1316,1316,"Handicap accessible",
286,1317,1317,"Handicap accessible",
287,1318,1318,"Handicap accessible",
288,1319,1319,"Handicap accessible",
289,1322,1322,"Handicap accessible",
290,1323,1323,"Handicap accessible",
291,1326,1326,,
292,1333,1333,"Handicap accessible",
293,1334,1334,,
294,1335,1335,"Handicap accessible",
295,1336,1336,,
296,1337,1337,"Handicap accessible",
297,1338,1338,"Handicap accessible",
298,1339,1339,"Handicap accessible",
299,1342,1342,"Handicap accessible",
300,1343,1343,,
301,1344,1344,,
302,1348,1348,,
303,1349,1349,,
304,1351,1351,,
305,1352,1352,,
306,1353,1353,,
307,1355,1355,,
308,1356,1356,,
309,1357,1357,,
310,1358,1358,,
311,1359,1359,,
312,1360,1360,,
313,1361,1361,,
314,1362,1362,,
315,1365,1365,"Handicap accessible",
316,1367,1367,"Handicap accessible",
317,1368,1368,,
318,1372,1372,,
319,1373,1373,,
320,1375,1375,,
321,1376,1376,"Handicap accessible",
322,1378,1378,"Handicap accessible",
323,1379,1379,,
324,1380,1380,,
325,1381,1381,,
326,1384,1384,,
327,1385,1385,,
328,1556,1556,,
329,1557,1557,,
330,1558,1558,,
331,1559,1559,,
332,1561,1561,,
333,1562,1562,,
334,1563,1563,,
335,1571,1571,,
336,1588,1588,"Handicap accessible",
337,1590,1590,"Handicap accessible",
338,1591,1591,"Handicap accessible",
339,1592,1592,"Handicap accessible",
340,1593,1593,"Handicap accessible",
341,1594,1594,"Handicap accessible",
342,1595,1595,"Handicap accessible",
343,1596,1596,"Handicap accessible",
344,1599,1599,,
345,1600,1600,,
346,1603,1603,,
347,1605,1605,"Handicap accessible",
348,1606,1606,"Handicap accessible",
349,1607,1607,,
350,1608,1608,,
351,1609,1609,"Handicap accessible",
352,1613,1613,,
353,1650,1650,,
354,1652,1652,,
355,1654,1654,,
356,1656,1656,"Handicap accessible",
357,1657,1657,,
358,1658,1658,"Handicap accessible",
359,1659,1659,,
360,1660,1660,,
361,1666,1666,"Handicap accessible",
362,1668,1668,"Handicap accessible",
363,1669,1669,,
364,1670,1670,"Handicap accessible",
365,1673,1673,"Handicap accessible",
366,1674,1674,"Handicap accessible",
367,1675,1675,"Handicap accessible",
368,1677,1677,"Handicap accessible",
369,1678,1678,"Handicap accessible",
370,1679,1679,"Handicap accessible",
371,1681,1681,"Handicap accessible",
372,1682,1682,"Handicap accessible",
373,1684,1684,,
374,1689,1689,,
375,1694,1694,,
376,1712,1712,,
377,1713,1713,,
378,1715,1715,"Handicap accessible",
379,1719,1719,,
380,1720,1720,,
381,1858,1858,,
382,1859,1859,,
383,1860,1860,"Handicap accessible",
384,1864,1864,,
385,1865,1865,,
386,1867,1867,,
387,1868,1868,"Handicap accessible",
388,1869,1869,"Handicap accessible",
389,1883,1883,,
390,1885,1885,,
391,1887,1887,,
392,1888,1888,"Handicap accessible",
393,1889,1889,"Handicap accessible",
394,1890,1890,,
395,1892,1892,,
396,1893,1893,,
397,1896,1896,,
398,1897,1897,,
399,1903,1903,,
400,1904,1904,,
401,1971,1971,"Handicap accessible",
402,1973,1973,"Handicap accessible",
403,1979,1979,"Handicap accessible",
404,1982,1982,"Handicap accessible",
405,1983,1983,"Handicap accessible",
406,1984,1984,,
407,1985,1985,,
408,1990,1990,"Handicap accessible",
409,1991,1991,"Handicap accessible",
410,1996,1996,"Handicap accessible",
411,1998,1998,"Handicap accessible",
412,1999,1999,"Handicap accessible",
413,2016,2016,"Handicap accessible",
414,2017,2017,"Handicap accessible",
415,2018,2018,"Handicap accessible",
416,2020,2020,"Handicap accessible",
417,2021,2021,"Handicap accessible",
418,2022,2022,"Handicap accessible",
419,2027,2027,"Handicap accessible",
420,2028,2028,,
421,2029,2029,"Handicap accessible",
422,2032,2032,,
423,2033,2033,,
424,2034,2034,,
425,2035,2035,,
426,2040,2040,,
427,2041,2041,,
428,2050,2050,,
429,2051,2051,,
430,2053,2053,,
431,2054,2054,,
432,2055,2055,"Handicap accessible",
433,2056,2056,,
434,2057,2057,,
435,2059,2059,"Handicap accessible",
436,2060,2060,,
437,2061,2061,"Handicap accessible",
438,2062,2062,"Handicap accessible",
439,2069,2069,,
440,2071,2071,,
441,2072,2072,,
442,2073,2073,,
443,2074,2074,,
444,2075,2075,,
445,2076,2076,,
446,2077,2077,,
447,2078,2078,,
448,2081,2081,,
449,2083,2083,,
450,2084,2084,,
451,2260,2260,,
452,2261,2261,,
453,2264,2264,,
454,2265,2265,,
455,2267,2267,,
456,2270,2270,,
457,2271,2271,,
458,2290,2290,,
459,2291,2291,"Handicap accessible",
460,2292,2292,"Handicap accessible",
461,2293,2293,,
462,2294,2294,,
463,2295,2295,,
464,2296,2296,,
465,2297,2297,"Handicap accessible",
466,2304,2304,"Handicap accessible",
467,2306,2306,,
468,2307,2307,"Handicap accessible",
469,2317,2317,"Handicap accessible",
470,2320,2320,,
471,2326,2326,"Handicap accessible",
472,2329,2329,"Handicap accessible",
473,2330,2330,"Handicap accessible",
474,2335,2335,"Handicap accessible",
475,2340,2340,,
476,2341,2341,"Handicap accessible",
477,2344,2344,"Handicap accessible",
478,2350,2350,"Handicap accessible",
479,2351,2351,"Handicap accessible",
480,2352,2352,"Handicap accessible",
481,2359,2359,,
482,2361,2361,,
483,2363,2363,"Handicap accessible",
484,2382,2382,,
