ID,id,location_id,service_id,language,flag
1,,,,English,
2,1,1,1,English,
3,1,1,1,Spanish,
4,1,1,1,Creole,
5,1,1,1,"translator services may be used for other lan",
6,17,17,17,English,
7,17,17,17,Spanish,
8,21,21,21,English,
9,21,21,21,Spanish,
10,21,21,21,Creole,
11,22,22,22,English,
12,22,22,22,Spanish,
13,23,23,23,English,
14,23,23,23,Spanish,
15,25,25,25,English,
16,29,29,29,English,
17,29,29,29,Spanish,
18,29,29,29,"Language interpreters available",
19,30,30,30,English,
20,30,30,30,Spanish,
21,30,30,30,"Language interpreters available",
22,31,31,31,English,
23,31,31,31,Spanish,
24,31,31,31,"Language interpreters available",
25,32,32,32,English,
26,32,32,32,Spanish,
27,32,32,32,"Language interpreters available",
28,34,34,34,English,
29,34,34,34,Spanish,
30,34,34,34,"Language interpreters available",
31,35,35,35,English,
32,35,35,35,Spanish,
33,35,35,35,"Language interpreters available",
34,38,38,38,English,
35,38,38,38,"other languages available upon request.",
36,39,39,39,English,
37,39,39,39,"other languages available upon request",
38,42,42,42,English,
39,42,42,42,Spanish,
40,42,42,42,French,
41,44,44,44,English,
42,44,44,44,Spanish,
43,45,45,45,English,
44,45,45,45,Spanish,
45,46,46,46,English,
46,46,46,46,Spanish,
47,47,47,47,English,
48,48,48,48,English,
49,48,48,48,Spanish,
50,50,50,50,English,
51,51,51,51,English,
52,51,51,51,Spanish,
53,51,51,51,Creole,
54,51,51,51,"Other languages available via language line",
55,52,52,52,English,
56,52,52,52,Spanish,
57,52,52,52,Creole,
58,52,52,52,French,
59,53,53,53,English,
60,53,53,53,Spanish,
61,55,55,55,English,
62,55,55,55,Spanish,
63,55,55,55,"Language translation available",
64,57,57,57,English,
65,57,57,57,Spanish,
66,58,58,58,English,
67,58,58,58,"Spanish and on occasion in other languages as",
68,59,59,59,English,
69,59,59,59,Spanish,
70,59,59,59,Creole,
71,62,62,62,English,
72,62,62,62,Spanish,
73,63,63,63,English,
74,63,63,63,Spanish,
75,64,64,64,English,
76,64,64,64,Spanish,
