ID,id,name,alternate_name,organization_logo_x,organization_x_uid,description,email,organization_forms_x_filename,organization_forms_x_url,url,organization_status_x,organization_status_sort,legal_status,tax_status,tax_id,year_incorporated,organization_services,organization_phones,organization_locations,organization_contact,organization_details,organization_airs_taxonomy_x,flag
1,538730903843188,"NYC Housing Preservation and Development",,,,,,,,,,4,,,,,949049494480930,,659515711242608,0,,,
2,553501090665356,Atria,,,,,,,,,,4,,,,,"1066576182461485,1337566135151280",1100948996979897,637170263897132,0,,,
3,553326749957149,"Bethel Homes and Services",,,,,,,,,,4,,,,,875403809995974,,,0,,,
4,569329087549179,"Alzheimer's Association",,,,,,,,,,4,,,,,"938471611520186,1219423561765310",,897643592121126,0,,,
5,604806153524480,"Human Resources Administration",,,,,,,,,,4,,,,,1107249340978249,,,0,,,
6,574801422058454,"MJHS Health System",,,,,,,,,,4,,,,,943189738216572,,,0,,,
7,597471677543523,"Vietnam Veterans of America",,,,,,,,,,4,,,,,1148763515532091,1106245770992949,833764577839227,0,,,
8,604746831646150,"MJHS Health System",,,,,,,,,,4,,,,,943189738216572,,,0,,,
9,616711493480804,"Department for the Aging",,,,,,,,,,4,,,,,"1161880617276485,1213036607295521,619738429158848",825609315730847,"962950961587263,1196705040717547,1220414976459611,791468515442281",0,,,
10,620738975119388,"VNA of Hudson Valley",,,,,,,,,,4,,,,,1269430735797847,,,0,,,
11,617910248814061,DOROT,,,,,,,,,,4,,,,,"881761004286809,1277861289893407,639799693024150,981054173201560,763195561288221,785872654393780,841770812775273,565820535663626,961129687220865,883656468114296,1273182297854066",,"872398746454681,1181165896671487",0,1272863013225282,,
12,557038388785779,"American Cancer Society",,,,,,,,,,4,,,,,839158671206438,,,0,,,
13,563187769851162,"Hearing Loss Association of America",,,,,,,,,,4,,,,,643787403693759,,611465990733201,0,,,
14,561510100662143,"NYC Department of Finance",,,,,,,,,,4,,,,,1176517928581962,658514823314988,939569956066267,0,,,
15,569038408447893,"Right at Home",,,,,,,,,,4,,,,,"1279087106048740,1034688500831787",,,0,,,
16,573672047726819,"Carter Burden Network, Older Adults Technology Services (OATS)",,,,,,,,,,4,,,,,"949896723161271,607491556351537",,,0,,,
17,591127807689943,"Bethel Homes and Services",,,,,,,,,,4,,,,,"984041615403419,964058957510307",,,0,,,
18,598938318454195,"Town of Greenburgh",,,,,,,,,,4,,,,,878265177488162,,,0,,,
19,585352554048372,"Urban Pathways",,,,,,,,,,4,,,,,"1283332656253529,1218662248579999",,571527641040410,0,,,
20,597618074285488,"Housing Works",,,,,,,,,,4,,,,,"1155279974732807,1087963110530465,1124251611013743",667365177600160,"1036419362268281,842942376713289",0,,,
21,603673939047614,"Yorktown Rehabilitation and Nursing Center",,,,,,,,,,4,,,,,867670607442498,,,0,,,
22,604657247231584,"Westchester Jewish Community Services",,,,"Westchester Jewish Community Services (WJCS) is one of the largest human service agencies in Westchester, providing care to people of all ages and diverse backgrounds who are confronting significant challenges. Agency experts provide mental health, trauma, disabilities, youth, home care and geriatric services. ",,,,http://www.wjcs.com/index.php,,4,,,,,"1147084205975419,945752833105371,852387643645016,1168651622416736,1161101279343612,1217365969513100",634781119347874,1188093828878366,0,,,
23,618125844603285,ElderServe,,,,,,,,,,4,,,,,1316829671731361,,,0,,,
24,608478388100121,"Bronx Jewish Community Council, Inc.",BJCC,,,"Food pantry, emergency food voucher program, transportation program for Community District 11.",info@bjcconline.org,,,www.bjcconline.org,,4,,,,,"1217784119892646,895897993855079","676041189580868,938318263388040","1204325968125772,803273260259437",0,,,
25,606948154846233,"Nazareth Housing",,,,,,,,,,4,,,,,949462934858305,,1200511949065685,0,,,
26,639979342463408,"New York Police Department",,,,,,,,,,4,,,,,704949997839383,,1089674865749089,0,,,
27,606353313876904,"Lenox Hill Hospital, New York Presbyterian Weill Cornell Hospital",,,,,,,,,,4,,,,,1327603866686607,,,0,,,
28,624854977524323,"Encore Community Services",,,,,,,,,,4,,,,,"1240661118232957,1256987994244947,644357335957019",,1174600638087225,0,,,
29,663407514167044,"University Eye Center Homebound Program at SUNY College of Optometry",,,,,,,,,,4,,,,,800813664639683,652216213050197,1213309130919325,0,,,
30,665796454278494,"Rosenthal & Markowitz, LLP",,,,,,,,,,4,,,,,826218319073935,,,0,,,
31,669344150847762,"Odyssey House",,,,,,,,,,4,,,,,1264727299118618,,985856060520089,0,,,
32,617052169960060,"DOROT Westchester",,,,,,,,www.dorotusa.org/westchester,,4,,,,,,675368884059093,,0,,,
33,624549561849549,"Williams Sound",,,,,,,,,,4,,,,,756247067188042,636527751646019,,0,,,
34,635776676599442,"Met Council on Jewish Poverty",,,,,,,,,,4,,,,,587434079564381,737887887424485,1166676498043777,0,,,
35,645730693279777,"Eastern Queens Innovative Senior Center",,,,,,,,,,4,,,,,828222998498950,1115977126881176,1239316263027446,0,,,
