id,location_id,service_id,organization_id,contact_id,service_at_location_id,number,extension,type,language,description,department
1,1185969381076176,1194701188927394,744812603775568,,,"(202) 448-1450",,,,,
2,1297547838260579,948442047347066,,,,"(202) 483-8916",,,,,
3,1135122975308953,580719808472057,726173106231202,,,202-437-5643,,voice,,,
4,890450452640466,958476585509237,1257820660406303,,,"(202) 723-5377",,voice,,,
5,858837023472383,"834460550368169,775927218674309",618997848324116,,,"(202) 265-2400",,,,,
6,979563581148756,,1140996665222837,,,240.491.5753,,voice,,Employment,
7,776793732904241,,1205641770221060,,,202-347-0511,,,,,
8,1277910214924473,859897161557047,609227002779117,,,"(202) 393-1909",,,,,
9,,1219423070978646,,,,"(202) 797-4454",,,,,
10,848140138973075,,1034824444966763,,,"(202) 462-4330",,,,,
11,,1252793336729933,,,,"(202) 797-8806",,,,,
12,,,,,,,,,,,
13,816301601038577,"1182157958552306,670644496333952,814817282883148,813051911788426",580772169029651,,,202-518-0466,,voice,,,
14,,872823918122712,,,,"(202) 420-7028",,,,,
15,903036719647021,1229834582759480,597291118069880,,,"(202) 487-8698",,voice,,"We Are Family DC",
16,1183432963433388,1098998360726289,795756022910298,,,"(240) 594-0600",,voice,,"Ayuda MD office",
17,959373006921454,,,,,"(202) 347-0130",,fax,,,
18,1161640092680179,,1326157862705937,,,202-581-0490,,voice,,,
19,,963237379779513,1146223650874517,recwENKzSRp0lPRjp,,"(202) 540-1056",,voice,,,
20,911858349594317,"1210007334289332,832898052878964,645815813705213,1178673163145313,1119572087741816,994497447759686,1070895654294162,1182990804618783,1244196225355763,590895767819582,1096928318806733",948113581207578,,,"(202) 518-6737",,voice,,,
21,608497828316445,"1172793580060024,569770427910971,1229131972445514,1311031611561841,1086482131081597,688871630742360,1166105214343141",964889233755760,,,202-388-0033,,voice,,,
22,994308933727557,"1174068491618790,642601279257974",1150695227682882,,,"(202) 561-5941",,voice,,"Outreach Center",
23,,934420315468432,,,,"(202) 469-4699",,,,,
24,1220017101351760,"1190183438277072,847425752356331,871817666202986,800290835408679,1012930231616826",1043249662316489,,,"(202) 452-8926",,voice,,,
25,904892331647550,"1122897671715969,1252929483881761,971066029264975",,,,301.333.0500,,voice,,,
26,,574661829122399,,,,"(202) 830-3517",,,,,
27,945081690439180,1077603109327544,807867907645287,,,"(202) 296-4455",,,,,
28,1106602330344467,"953668428109766,1147909066828937,978169761735866,885835927138322,875542904723327,963779263900815,1105456695695453,1212544141593855,682308202362189",1323664977480953,,,"(202) 610-9600",,voice,,,
29,965470521205325,,1180598613249590,,,"(301) 588-1126",,fax,,,
30,,821678418698117,,,,"(202) 508-0500",,,,,
31,,887937499803617,1154572477664352,,,"(202) 727-1616",,voice,,"Phone line for DC Public Library Adult Literacy Resource Center",
32,620132940242525,1145687738484263,,,,202-574-6055,,voice,,"United Medical Center PCC Office",
33,,833155783547619,,,,"(202) 469-4699",,,,,
34,"803343321842264,1338999388183746",893656046937448,,,,"(202) 635-1041",,voice,,,
35,843095304494507,"895973468150097,1174727442443930",1245236106154921,,,"(202) 544-3150",,voice,,"Everyone Home DC Shirley's Place Day Center",
36,865063089655254,"943023691666873,822081621672598",605622028340987,,,"(866) 942-0143",,voice,,,
37,,924655410570415,761153930697275,recLiWMA0NE98vTRX,,202-238-4691,,voice,,,
38,"923653351035648,816964939097565",,"908756987447173,727847273433183",,,"(202) 797-8806",,,,,
39,867684167756788,,806677477926389,,,"(202) 223-9550",,,,,
40,1270128697077218,,919690199169575,,,5712497069,,voice,,,
41,,566502197729713,1180598613249590,,,202-364-0020,,voice,,,
42,,1185051455558186,872299181857178,reccBrXxhqdk7Ksvx,,"(202) 670-9644",,voice,,,
43,641740493818315,"713046095331473,1082503758750664,1220807689850937,855252238426842",1169351687674186,,,"(202) 876-5690",,voice,,,
44,,"1147407982912051,1249176990484846,727116699390008",840733417398800,,,"(202) 851-3971",,voice,,"Sexual health hotline",
45,1154204314985719,,888574254962004,,,"(703) 696-3510",,,,,
46,1283315251842747,,,,,301-765-5694,,fax,,,
47,776699670514011,,1279230501938511,,,"(202) 328-6609",,,,,
48,1286395778585315,"881403344964972,1162907800070547",908300362827413,,,"(202) 758-3710",,voice,,,
49,,"1210697117152571,872625169605396",,recubrK50dihcWVJK,,202-448-1442,,,,,
50,,"1259349665237657,1189947540122655,969095511875672,739078424499970,580520440912412,637113061667348",840733417398800,,,"202) 487-9074",,voice,,"After hours line",
51,1261924735850333,,1319047892616905,,,"(202) 292-4440",,,,,
52,688457108968845,"573528188325499,1238532588650595,757654002604408,860779231100127,1128285304774272,1163310698125750",1286410465547920,,,202.546.0017,,voice,,,
53,,936643241913847,,,,202-476-2118,,voice,,,
54,,"1213230585541920,1219686317955585",761153930697275,recuHMlu3ZWg36a5I,,"(202) 238-4733",,voice,,,
55,1218038521689235,1277276480508566,,,,"(202) 726-3623",,fax,,,
56,,,,recuwK2JAoavnUij1,,202-459-4004,,,,,
57,946396771118356,"1124462892366916,914835976451142",925360037107607,,,"(202) 483-7003",,voice,,,
58,,1238586489770478,,,,"(202) 675-8371",,,,,
59,865999041296626,"1305017069566679,1081316277006822,1311316578271310,772454821683547",783236314114871,,,"(202) 338-8301",,,,,
60,1170113060894673,"942312969809968,921815945825806,1181081521839444,1096755308957020,1119079742925957,890398981649041,543629082697964,1241974546153013,787452341993968,1235636405349063,674557198522049,1122242214354849",887352348953420,,,"(202) 462-4788",,voice,,,
61,625764854102357,1191507987013016,,,,"(202) 588-0059",,fax,,,
62,666148222775634,,880881169888319,,,"(202) 895-0238",,,,,
