id,service_id,location_id,service_at_location_id,weekday,opens_at,closes_at
1,"987007032021851,570068555050262,768832404265850,1266877916484133,831554257615200",848686188808388,,,9:00AM,5:00PM
2,,946396771118356,,,9:00AM,5:00PM
3,1287178898963916,,,,10:30AM,3:00PM
4,"853468345123345,1106083468244471,780286718217610,785698484366760,810358604812792",,,,9:00AM,5:00PM
5,856023638190230,,,,12:30PM,1:30PM
6,"927643315007217,902098981922569,1290043633447090,1138943294791040,1181830707554784,1153502278841700",1101386810121427,,,8:30AM,5:30PM
7,"1153962275208345,807848846460860,611590713528319",,,,5:30PM,7:00PM
8,"615988503257217,918238055415108,1028365853402776,1035362732313948,586062612640149,924435449967844,966657126572943,767682966554088,948956237360164",629348329513757,,,8:00AM,5:00PM
9,1090898575973829,1091888223201074,,,9:00AM,5:00PM
10,850523592271025,1146632771763115,,,8:30AM,5:00PM
11,607894816484467,,,,12:30PM,2:15PM
12,"1259349665237657,1189947540122655,969095511875672,1147407982912051,1208776169183354,739078424499970,580520440912412",964869638930274,,,8:00AM,6:00PM
13,565809012321458,,,,10:00AM,2:00PM
14,"1213230585541920,1219686317955585,1133165843084453,1052254032756894,1253744104425599,777260696695053,1300660045853572,807525744099302,874199505765345,1187200756463947,943779508068444,1296433586474206,924655410570415,794796274007587,916436632015801,602650991439185",594960886051316,,,9:45AM,6:00PM
15,1267727721478414,1146632771763115,,,9:00AM,6:00PM
16,637113061667348,629348329513757,,,8:00AM,5:00PM
17,"1265325284377461,740916631620812,1248912869636667,961458582690801,660868979951197,1321094180433140",,,,9:00AM,5:00PM
18,1287178898963916,,,,10:30AM,2:30PM
19,"1273613208251491,786302163414865",928012146500435,,,10:00AM,6:00PM
20,"657511678545226,688139575815288,810344496794884,821980999983631,1115196970236426,738209311024775,1100791575997951,1225863118799944",,,,9:00AM,5:00PM
21,"667209917494721,1176014704120176,936510517377927,775820607481251,951768857764331","856126341619748,1123014911424110",,,8:30AM,4:30PM
22,"761018228722418,679830596478752,645384002034771,1135056817241313,644648091160119,1224317983369922",1186014650404910,,,8:00AM,4:30PM
23,"783798317190015,757050460311671,771378282180941,647361700663696,1336511977669058,656905764489449,1332741706053106",572381295862246,,,10:00AM,6:00PM
24,617081192222015,927124137825677,,,7:00PM,9:00PM
25,"906107564923489,1282973947484780",1295311939008541,,,9:00AM,3:00PM
26,"884244585280076,767255821745825,641610186670486,989819878149890,658231090559812,947357493854904,1173963793862866,970377297500925,1107634998787398",977589590864235,,,9:00AM,9:00PM
27,"1183383601010590,1240040646031640,1139270346999526,963237379779513",,,,10:00AM,6:00PM
28,"1244747959773878,1171417382872545",,,,9:00AM,4:00PM
29,"1164661927797269,1106419147216738",1282660521731521,,,8:30AM,4:00PM
30,"825451959778479,1282686227944763",,,,"24 hours",
31,"657179015884472,1134764669826308",1179174778771993,,,10:00AM,2:00PM
32,727116699390008,964869638930274,,,8:00AM,6:00PM
33,775927218674309,,,,2:00PM,4:00PM
34,1311595168931297,987030255962297,,,3:00PM,7:30PM
35,"978182683421582,759682631849783,754621632893339,902951823980164,945841786673442,1154397851156755,886267440482873,1252264089140599,1187463498588025,908926837435227,1228495289369706",1154195373907801,,,7:30AM,10:00PM
36,"1071110285565782,595461104582359,1244526695505882","610894518918920,1069725146672559",,,9:00AM,6:00PM
37,"865253695035282,1210697117152571,1194701188927394,998912206496705,775356580769657,872625169605396",1185969381076176,,,9:00AM,5:00PM
38,849003153117298,952434908769061,,,10:00AM,12:00PM
39,"956817646477291,822106893088278,609582364629457,1060160690284572,800106312438349,743182672086208,995363917586083",1002753920993717,,,9:00AM,6:00PM
40,1107300725870426,968722175760593,,,8:30AM,5:00PM
41,"1259349665237657,1189947540122655,969095511875672,1147407982912051,1208776169183354,739078424499970,580520440912412",629348329513757,,,8:00AM,6:00PM
42,"699058261887909,990367220887588",741750394643085,,,9:00AM,5:00PM
43,,1273044419277442,,,7:00AM,2:00PM
44,"1182157958552306,670644496333952,814817282883148,813051911788426",,,,7:00AM,6:00PM
45,873611419029370,,,,10:00AM,2:00PM
46,862476176486863,,,,8:30AM,4:30PM
47,"1145399925529779,1075486612088837",,,,9:30AM,12:00PM
48,895467915545937,680609348421278,,,"24 Hours",
49,1248931277100420,,,,7:00AM,4:00PM
50,637113061667348,1282458965799792,,,8:00AM,5:00PM
51,640103169037193,,,,9:00AM,4:00PM
52,951270390830894,,,,10:00AM,2:00PM
53,1164006971785156,905037841940941,,,4:00PM,6:00PM
54,567631577251008,,,,10:00AM,3:00PM
55,1098880366371154,1299927078956313,,,4:00PM,7:00PM
56,974562561948426,,,,8:00AM,4:00PM
57,"1145399925529779,1075486612088837",,,,9:30AM,12:00PM
58,"573528188325499,1238532588650595,757654002604408,860779231100127,1128285304774272,1163310698125750",688457108968845,,,8:30AM,4:00PM
59,850523592271025,803276717045236,,,9:00AM,6:00PM
60,"1213230585541920,1219686317955585,1133165843084453,1052254032756894,1253744104425599,777260696695053,1300660045853572,807525744099302,874199505765345,1187200756463947,943779508068444,1296433586474206,924655410570415,794796274007587,916436632015801,602650991439185",999755198000719,,,9:00AM,5:00PM
61,"942312969809968,921815945825806,1181081521839444,1096755308957020,1119079742925957,890398981649041,543629082697964,1241974546153013,787452341993968,1235636405349063,674557198522049,1122242214354849",1170113060894673,,,8:30AM,8:00PM
62,1176014704120176,1262539583552576,,,8:30AM,5:00PM
63,1098880366371154,1299927078956313,,,10:00AM,12:00PM
64,"1311595168931297,950454120432775,1048291243097604,1298911741733382,824288922961198,1180623233814950,1056286703581712",987030255962297,,,9:00AM,5:30PM
65,"1216690927743518,881475888864647,914537946909052",1091435530922324,,,9:00AM,5:00PM
66,"830080281630476,1137250454182986,822696272964380,1111524873166786,856596013009881,1348541466880314",,,,10:00AM,6:00PM
67,"956817646477291,822106893088278,609582364629457,1060160690284572,800106312438349,743182672086208,995363917586083",770635363010046,,,9:00AM,6:00PM
68,1145687738484263,,,,8:00AM,12:00PM
69,"956817646477291,822106893088278,609582364629457,1060160690284572,800106312438349,743182672086208,995363917586083",1002753920993717,,,9:00AM,2:00PM
70,592511260613384,984058750613797,,,7:45AM,5:45PM
71,,1189388637168303,,,9:00AM,5:00PM
72,958581554726772,,,,8:00AM,5:00PM
73,"859897161557047,747822750998769,1121979483597520",1000709017081839,,,9:00AM,3:30PM
74,"884244585280076,767255821745825,641610186670486,989819878149890,658231090559812,947357493854904,1173963793862866,970377297500925,1107634998787398",977589590864235,,,9:00AM,5:00PM
75,1243674394135496,,,,9:00AM,5:00PM
76,,1147455525775238,,,7:00AM,10:00PM
77,1080060911179544,,,,8:30AM,7:00PM
78,734280780069484,,,,9:00AM,12:00PM
79,,,,,,
80,585908349000516,,,,8:30AM,4:30PM
81,1072375211967855,643145676043430,,,6:15PM,6:45PM
82,1190183438277072,,,,6:30AM,8:00AM
83,1248931277100420,,,,9:00AM,4:00PM
84,596474071852609,909942619088980,,,9:00AM,8:00PM
85,"1199983060673417,642012149083751",818839794992906,,,9:00AM,5:00PM
86,971066029264975,,,,6:30PM,9:00PM
87,637113061667348,1282458965799792,,,9:00AM,1:00PM
88,"775111969675006,836738857450646,937486843530248,911181735974447",994012462825446,,,10:00AM,4:00PM
89,,789258912445477,,,9:00AM,5:00PM
90,1298968199365502,1291451614834077,,,10:00AM,12:00PM
91,"970377297500925,1127640457224641,762171918332918,899139018547334,678882337307747,785647685413221,833788770520302",1104646684650585,,,9:00AM,5:00PM
92,"632654541686281,923438177610839,881381167741606",947434898715713,,,8:00AM,4:00PM
93,963890389048330,,,,3:00PM,6:00PM
94,"869725690004657,748177592722248",946508354826345,,,9:00AM,5:00PM
95,"671724061345975,933469008966389,596938254485583,580209857140665,1148617267210635,1088727091600389",,,,"24 Hours",
96,1107889620148311,,,,,
97,"1013626780767014,830099986846686,1191542329896840,942712017441428,910741093310618,1225791609508431,579430499829276,623630268141505,873979070344056,1332764177181120,1272292641029297,672539129008408,1080520592440176,827029786281023",,,,10:00AM,6:00PM
98,"1125350403679270,576262745925884,1150307807148693,1208786629108154,825628435745785,1211369825885952",1098817401970888,,,9:00AM,5:00PM
99,"634028809032783,1024397676156151,1279217562065520",920572231138004,,,9:00AM,5:00PM
100,,835677959674778,,,9:00AM,5:00PM
101,"847425752356331,800290835408679",,,,2:30PM,5:45PM
102,"970377297500925,1127640457224641,762171918332918,899139018547334,678882337307747,785647685413221,833788770520302",1104646684650585,,,9:00AM,8:00PM
103,"978590256683513,647772152541651,647183151936796,1305546200651894,838774263465115,1298309949522497,1128282500996664,883344454564664,948283799474714,875517215179569",931886810745529,,,8:30AM,11:30AM
104,615519347288251,876397346396032,,,9:00AM,5:00PM
105,"1090262984895790,977586749835410",,,,8:30AM,5:00PM
106,"956817646477291,822106893088278,609582364629457,1060160690284572,800106312438349,743182672086208,995363917586083",770635363010046,,,9:30AM,7:00PM
107,"980808579975931,797815960840049",931886810745529,,,1:00PM,3:00PM
108,,,,,10:00AM,4:00PM
109,1098880366371154,1019389671178070,,,3:00PM,7:00PM
110,1090898575973829,1318390042587758,,,9:00AM,5:00PM
111,1098880366371154,1299927078956313,,,9:00AM,12:00PM
112,,916631371752727,,,9:00AM,5:00PM
113,768961725734908,,,,8:30AM,5:00PM
114,,585101162574385,,,10:00AM,5:00PM
115,"615988503257217,1280256361717353,918238055415108,1028365853402776,1035362732313948,586062612640149,924435449967844,966657126572943,767682966554088,948956237360164",964869638930274,,,8:00AM,6:00PM
116,"1273613208251491,786302163414865",1246140596600748,,,10:00AM,6:00PM
117,830080281630476,,,,1:00PM,4:00PM
118,"859897161557047,747822750998769,1121979483597520",1000709017081839,,,8:30AM,8:00PM
119,850523592271025,803276717045236,,,9:00AM,7:00PM
120,1098880366371154,902044061825216,,,4:00PM,7:00PM
121,,1282458965799792,,,8:30AM,5:00PM
122,928788698938707,897673459565497,,,7:00AM,11:00AM
123,"753253159497862,597642797256208,1087270111823708,857913961326886",936934819762396,,,2:00PM,5:00PM
124,1098880366371154,1299927078956313,,,9:00AM,12:00PM
125,,979563581148756,,,6:00AM,2:00PM
126,596474071852609,873273529728080,,,9:00AM,9:00PM
127,"850523592271025,1255893170172420,1022185739742814",1090162375763715,,,8:30AM,8:00PM
128,946406110593174,806538913069520,,,6:00PM,9:00PM
129,"713046095331473,1082503758750664,1220807689850937,855252238426842",763729877559385,,,9:00AM,5:00PM
130,1090898575973829,1283411988337750,,,6:00AM,2:00PM
131,617081192222015,"979563581148756,1240567562394258",,,9:00AM,1:00PM
132,1298968199365502,,,,4:00PM,6:00PM
133,"970377297500925,1127640457224641,762171918332918,899139018547334,678882337307747,785647685413221,833788770520302",1104646684650585,,,9:00AM,7:30PM
134,"916268094765428,1183218830562978,1229484402696374,1267195102722768,988930242117816,1207414557990697,1179313324156762",,,,8:30AM,5:00PM
135,"980808579975931,797815960840049",931886810745529,,,1:00PM,3:00PM
136,1337570408700851,644198517647426,,,9:00AM,9:00PM
137,1145687738484263,,,,8:00AM,8:00PM
138,"783798317190015,757050460311671,771378282180941,647361700663696,1336511977669058,656905764489449,1332741706053106",572381295862246,,,"24 Hours",
139,"1153962275208345,807848846460860,611590713528319",,,,1:00PM,3:00PM
140,1203671009935370,1293474810072073,,,8:30AM,6:30PM
141,"850523592271025,1255893170172420,1022185739742814",1090162375763715,,,8:30AM,5:00PM
142,,771897230838212,,,8:00AM,8:00PM
143,"789456565791843,910059099567277,859629175967195,1178096298000358,979536491529478,813064675400914,1299121197634961,818563649469922",,,,9:00AM,5:30PM
144,"956658240049666,929396265497963,803655377623585,845999906983085,944036937200998,1195448583131416,928612911758060,1292756176570822,762888373958688",1199611952924070,,,9:00AM,5:00PM
145,"865371846794230,873921955624383,1084298429662110,605446506944549,1087433575244513,1322260694270949,1238586489770478,1104456609971378,908536708739321,958643940332296,908986332318967,758846747979067,1119090357480675,1055696283461218",,,,9:00AM,5:00PM
146,"607074649518713,1209187247938710",836904778271068,,,7:00AM,6:00PM
147,1122897671715969,,,,4:30PM,6:00PM
148,"1292184415850124,917742641898170",,,,9:00AM,5:45PM
149,843621219939860,1182935368999640,,,9:00AM,5:00PM
150,"1017815111476074,1220271139140877,1092577874332799,1135169686375345",1191890430739322,,,"By appointment",
151,1270127715145648,1251056114217612,,,7:00AM,6:00PM
152,"1088296624271784,871063337645437,1098665459896297,757455042685009",768639914164498,,,12:30PM,6:00PM
153,1145687738484263,,,,10:00AM,2:00PM
154,1311595168931297,987030255962297,,,9:00AM,12:00PM
155,"1192518431630550,794527613963060",,,,11:00AM,2:00PM
156,647808349539409,,,,10:00AM,12:00PM
157,"1108884623053766,1277069302008536",885824420758755,,,8:30AM,5:30PM
158,653858529595915,1229901678210145,,,9:00AM,1:00PM
159,1252929483881761,,,,"Following church service",
160,"730763164086236,1285350837219213,561778285748604",,,,8:00AM,5:00PM
161,801873048546872,,,,5:30PM,6:30PM
162,1285397708822108,,,,"24 Hours",
163,"657179015884472,1134764669826308",685766591979438,,,10:00AM,2:00PM
164,"765387458092097,750465787434275,862423770633741,1234340144717096",1315826372203677,,,"24 hours",
165,,791197553917784,,,10:30AM,6:00PM
166,777481511640778,,,,8:15AM,4:45PM
167,993349225663598,,,,9:00AM,5:30PM
168,928788698938707,897673459565497,,,9:45AM,6:00PM
169,,939050372857166,,,6:00AM,2:00PM
170,"770135966287034,831138417529715,1211572108731192",1116781625364190,,,9:00AM,5:00PM
171,993349225663598,556992607571593,,,9:00AM,6:00PM
172,,835677959674778,,,8:00AM,6:00PM
173,1166512271577678,,,,8:30AM,11:00AM
174,1098750358504732,,,,8:00AM,
175,"730763164086236,1285350837219213,561778285748604",,,,8:00AM,2:00PM
176,642284944498747,,,,12:00PM,5:00PM
177,993349225663598,,,,9:00AM,6:30PM
178,1098880366371154,794544831800797,,,4:00PM,7:00PM
179,"936643241913847,667209917494721,936510517377927,1095230986476849,1195217931217458,775820607481251,870219187741961",,,,9:00AM,5:00PM
180,"1153962275208345,807848846460860,611590713528319",906651913636867,,,11:00AM,7:00PM
181,"956817646477291,822106893088278,609582364629457,1060160690284572,800106312438349,743182672086208,995363917586083",770635363010046,,,9:00AM,2:00PM
182,1318218238602449,793256928193231,,,10:00AM,2:00PM
183,,1220017101351760,,,6:30AM,9:45AM
