id,service_id,location_id,service_at_location_id,valid_from,valid_to,dtstart,until,wkst,freq,interval,byday,byweekno,bymonthday,byyearday,description
1,,,,,,8:30AM,5:30PM,,,,,,,,
2,,,,,,8:30AM,5:00PM,,,,,,,,
3,,,,,,8:30AM,5:00PM,,,,,,,,
4,,,,,,8:30AM,5:00PM,,,,,,,,
5,,,,,,9:00AM,5:00PM,,,,,,,,
6,,,,,,"24 hours",,,,,,,,,
7,,,,,,7:00AM,6:00PM,,,,,,,,
8,,,,,,9:00AM,8:00PM,,,,,,,,
9,,,,,,7:00AM,,,,,,,,,
10,,,,,,8:00AM,5:00PM,,,,,,,,
11,,,,,,9:00AM,6:00PM,,,,,,,,
12,,,,,,9:00AM,11:00AM,,,,,,,,
13,,,,,,9:00AM,5:00PM,,,,,,,,
14,,,,,,"24 hours",,,,,,,,,
15,,,,,,10:00AM,3:00PM,,,,,,,,
16,,,,,,9:00AM,5:00PM,,,,,,,,
17,,,,,,9:00AM,5:00PM,,,,,,,,
18,,,,,,9:00AM,5:30PM,,,,,,,,
19,,,,,,9:00AM,5:00PM,,,,,,,,
20,,,,,,Nights,Mornings,,,,,,,,
21,,,,,,8:00AM,8:00PM,,,,,,,,
22,,,,,,8:30AM,4:00PM,,,,,,,,
23,,,,,,8:30AM,5:00PM,,,,,,,,
24,,,,,,9:00AM,3:30PM,,,,,,,,
25,,,,,,3:00PM,7:00PM,,,,,,,,
26,,,,,,8:30AM,8:00PM,,,,,,,,
27,,,,,,"24 Hours",,,,,,,,,
28,,,,,,8:00AM,5:00PM,,,,,,,,
29,,,,,,8:00AM,6:00PM,,,,,,,,
30,,,,,,9:00AM,5:00PM,,,,,,,,
31,,,,,,8:30AM,4:00PM,,,,,,,,
32,,,,,,11:00AM,7:00PM,,,,,,,,
33,,,,,,9:00AM,5:00PM,,,,,,,,
34,,,,,,8:30AM,9:00PM,,,,,,,,
35,,,,,,9:00AM,5:00PM,,,,,,,,
36,,,,,,9:00AM,6:00PM,,,,,,,,
37,,,,,,8:00AM,5:00PM,,,,,,,,
38,,,,,,10:00AM,4:00PM,,,,,,,,
39,,,,,,8:00AM,6:00PM,,,,,,,,
40,,,,,,10:00AM,2:00PM,,,,,,,,
41,,,,,,9:30AM,5:00PM,,,,,,,,
42,,,,,,10:00AM,12:00PM,,,,,,,,
43,,,,,,"24 Hours",,,,,,,,,
44,,,,,,7:00AM,11:00AM,,,,,,,,
45,,,,,,8:30AM,11:00AM,,,,,,,,
46,,,,,,8:30AM,5:00PM,,,,,,,,
47,,,,,,8:30AM,5:30PM,,,,,,,,
48,,,,,,8:30AM,4:00PM,,,,,,,,
49,,,,,,6:30AM,6:00PM,,,,,,,,
50,,,,,,8:30AM,12:00PM,,,,,,,,
51,,,,,,9:00AM,1:00PM,,,,,,,,
52,,,,,,9:00AM,3:30PM,,,,,,,,
53,,,,,,9:00AM,4:30PM,,,,,,,,
54,,,,,,9:00AM,5:00PM,,,,,,,,
55,,,,,,"By appointment",,,,,,,,,
56,,,,,,12:30PM,2:15PM,,,,Saturday,,,,
57,,,,,,8:30AM,5:00PM,,,,,,,,
58,,,,,,1:00PM,3:00PM,,,,,,,,
59,,,,,,9:00AM,1:00PM,,,,,,,,
60,,,,,,10:00AM,2:00PM,,,,,,,,
61,,,,,,9:00AM,12:00PM,,,,,,,,
62,,,,,,8:30AM,8:00PM,,,,,,,,
63,,,,,,9:00AM,5:00PM,,,,,,,,
64,,,,,,"24 Hours",,,,,,,,,
65,,,,,,10:00AM,1:30PM,,,,,,,,
66,,,,,,2:00PM,7:00PM,,,,,,,,
67,,,,,,9:00AM,5:30PM,,,,,,,,
68,,,,,,9:00AM,5:00PM,,,,,,,,
69,,,,,,9:00AM,5:00PM,,,,,,,,
70,,,,,,9:15AM,2:00PM,,,,,,,,
71,,,,,,8:00AM,5:00PM,,,,,,,,
72,,,,,,3:00PM,7:30PM,,,,,,,,
73,,,,,,9:00AM,5:30PM,,,,,,,,
74,,,,,,6:00AM,2:00PM,,,,,,,,
75,,,,,,9:00AM,6:00PM,,,,,,,,
