id,service_recordid,organization_id,program_id,name,alternate_name,description,url,email,status,interpretation_services,application_process,wait_time,fees,accreditations,licenses
1,540926567856741,720925904904501,,"Servicios legales gratuitos para neoyorquinos inmigrantes",,"ActionNYC es para todos los neoyorquinos inmigrantes. Ofrece ayuda legal de inmigración segura y gratuita en una red de confianza integrada por organizaciones comunitarias y escuelas.
**Debe programar una cita para recibir servicios. Para hacerlo, llame al 1-800-354-0365 de lunes a viernes entre las 9:00 a. m. y las 6:00 p. m. o llame al 311 y diga ""ActionNYC""**",https://spanish.translate.nyc.gov/site/immigrants/help/legal-services/actionnyc.page,,inactive,,,,"Undocumented people/immigrants","Hotline,Website","No Required Documents"
6,598560934914712,1167642613839049,,"ICNA Relief - Brooklyn Pantry",,"ICNA Relief offices are stepping up our services to address the current challenges that our disadvantaged community members may be facing. From hot meals distributions to the homeless, to food box doorstep deliveries, our teams are helping our neighbors in need while adhering to proper protocols and procedures given by health experts and public officials
ICNA Relief Muslims for Humanity
Contact Ph:  (866) 354-0102 | (718) 658-7028
Case Managers: (718) 658-7028 x 110
National Helpline: (844) 412-9809
",https://www.icnarelief.org/new-york/,shumaila.noor@icnarelief.org,inactive,,,,"People with low-income/limited income, Unemployed people",,Unsure
12,572094991583799,1167642613839049,,"Directory of Free Clinics",,"This source provides info for clinics in the US that are available for people with a low income or those who don't have insurance. ",https://www.freeclinics.com/,,inactive,,,"Additional Resource Libraries",,Website,
16,574666850742348,1167642613839049,,"Access to free diabetes supplies/insulin ",,"Email alliemarotta@gmail.com or tweet using #insulin4all to speak to someone about receiving free insulin and other diabetes supplies. Supplies are donated from people within the diabetes community.",,,inactive,,,,"People with disabilities and chronic illnesses/immuno-compromised",,
17,597444551850695,1167642613839049,,"talk text chat crises services 24/7",,"nycwell.cityofnewyork.us
 1-888-NYC-WELL (1-888-692-9355). 
text ""WELL"" to 65173
NYC Well is 24/7, free, confidential, and available for all New Yorkers

HOW TO CALL
Call NYC Well Today 
1-888-NYC-WELL (1-888-692-9355)

For Relay Service for Deaf/Hard of Hearing: Call 711
Español: Press 3
中文: Press 5
Interpreters are available for 200+ languages. Stay on the line, and you will be connected with a counselor who can connect you to translator services. NYC Well Counselors are trained to accept calls from deaf and hard of hearing individuals using video relay services.",https://nycwell.cityofnewyork.us/en/,,inactive,,,,,,"No Required Documents"
18,604420967875459,1167642613839049,,"Invisible Hands- Food Delivery",,"Food Delivery		",https://www.invisiblehandsdeliver.com/,,inactive,,,,,,
24,593478439911125,1167642613839049,,"Immigration Services for all ",,"Call (800) 354-0365 to schedule an appointment. ",catholiccharitiesny.org/our-agencies/catholic-charities-community-services-immigration-legal-services,immigration.services@archny.org,inactive,,,,,,Unsure
26,609073084287249,1167642613839049,,"Freelance artist resource",,"It is designed to for freelance artists, and those interested in supporting the independent artist community. This includes, but is not limited to, actors, designers, producers, technicians, stage managers, musicians, composers, choreographers, visual artists, filmmakers, craft artists, teaching artists, dancers, writers & playwrights, photographers, etc.",https://www.freelanceartistresource.com,,inactive,,,,,,
30,577108249993523,1167642613839049,,"Drive Change",,"Drive Change runs an 8-month paid fellowship for formerly incarcerated youth that focuses on culinary training and professional development.",https://www.drivechangenyc.org/,https://www.drivechangenyc.org/connect,inactive,,,,"Youth, Incarcerated people and communities subject to over-policing",Website,"Not Listed"
31,578900415634036,1167642613839049,,UNICEF,,"early childhood- teen years
works in over 190 countries
defend children's rights
child health and nutrition, 
safe water 
sanitation, 
education ",https://www.unicef.org/,,inactive,,,,,Website,Unsure
