id,organization_id,name,alternate_name,description,transportation,latitude,longitude
555733908618539,1351080129222821,"Isaiah House",,,,37.8073428,-85.1309596
577218861870418,901970914472025,"YMCA Fairfax County Reston",,,,38.9560115,-77.36817
637684733149897,1275858156254689,"Seabury - Home First Residences & Age-In-Place",,,,38.92263,-76.978202
645897759928377,592376182631330,"Rebuilding Together DC Alexandria",,,,38.8082432,-77.0465631
623911698639626,1275858156254689,"Seabury - Newton St",,,,38.9343383,-76.9665114
651934751090741,0,"SOME Senior Center",,,,36.3362706,-94.1934794
716573413368445,901970914472025,"YMCA Alexandria",,,,38.8212482,-77.0542801
725060877971150,901970914472025,"YMCA Main Office",,,,38.9042579,-77.0369714
779234665793356,901970914472025,"YMCA Arlington Woodmont Gymnastics Center",,,,38.9022744,-77.09761
867480542956619,0,"SOME Clinic",,,,38.9082416,-77.0110598
834036632030985,901970914472025,"YMCA Arlington Tennis & Squash Center",,,,38.8873978,-77.1020863
882293888224112,901970914472025,"YMCA Arlington",,,,38.8871947,-77.1013213
818197734902999,,"Home Care Partners",,,,38.9028335,-76.999142
869647738071923,879684021850075,"Vida Adams Morgan",,,,38.9230553,-77.0444604
910674112866949,901970914472025,"YMCA Ayrlawn Program Center",,,,39.004646,-77.1172205
940212538195830,901970914472025,"YMCA Silver Spring",,,,39.0151225,-77.0140424
920613426512187,901970914472025,"YMCA Calomiris Program Center",,,,38.9453828,-76.977759
950611509071482,901970914472025,"YMCA Loudoun County Program Center",,,,39.1084738,-77.5653984
906614178779692,901970914472025,"YMCA Loudoun County Youth Development Center",,,,39.008539,-77.4102054
932502301190120,879684021850075,"Vida Brightwood",,,,38.9614631,-77.0315061
953875575104132,1287549685614240,"Mary's Center Petworth Health Center",,,,38.9391777,-77.0250176
991046422392107,1287549685614240,"Mary's Center Pharmacy",,,,38.9392032,-77.0255908
991654914903385,901970914472025,"YMCA Anthony Bowen",,,,38.9194299,-77.0311521
967601719856630,1275858156254689,"Seabury at Springvale Terrace",,,,38.9986427,-77.0212272
996758537763515,1265909136483839,"3917 Minnesota Avenue, NE Washington, DC 20019",,,,38.8937514,-76.9495877
1021458214239224,1115745782915962,"Sibley Memorial Hospital",,,,38.9365476,-77.1091966
1080745784913482,901970914472025,"YMCA Camp Letts",,,,38.8893928,-76.5293426
1092715705970916,820630706542898,"Iona Wellness & Arts",,,,38.9481931,-77.0816737
1092756194618999,901970914472025,"YMCA Youth & Family Services",,,,39.0126924,-77.0163263
1061235909513521,1078800059400169,"Department of Aging and Community Living",,,,38.9028886,-76.9991859
1089431432526337,901970914472025,"YMCA Prince George’s County",,,,38.9803369,-76.7574595
1142163554566402,918523571271755,"SOME Main Office",,,,38.9088439,-77.0114197
1146850101014457,1287549685614240,"Mary's Center Headquarters, Adams Morgan",,,,38.9210225,-77.0397601
1175190163226960,1287549685614240,"Bernice Fonteneau Senior Wellness Center",,,,38.9336503,-77.023658
1198692764026642,901970914472025,"YMCA Bethesda-Chevy Chase",,,,39.0100512,-77.1131358
1183173298558849,828308705468984,"601 E Street NW Washington, DC 20004",,,,38.8964301,-77.0205524
1199753303956769,901970914472025,"The Children’s House at HUD",,,,38.883909,-77.02292
1185094328556228,1275858156254689,"Seabury at Friendship Terrace",,,,38.949086,-77.0824831
1202618027693441,1287549685614240,"Mary’s Center Brentwood",,,,38.9196258,-76.9928374
1249696647199145,1290880981505786,"We Are Family DC Mailing Address",,,,38.9334824,-77.0357195
1272787330877007,901970914472025,"YMCA Capital View Program Center",,,,38.8488819,-76.9725655
1320932553563772,1275858156254689,"Model Cities Senior Wellness Center",,,,38.9240983,-76.9766825
1281917418518969,1275858156254689,"Seabury - Administrative Office",,,,38.9631309,-77.0094851
1288243545225450,0,"SOME Conway Center",,,,38.891053,-76.9380989
1333682431246536,1287549685614240,"Mary's Center Adelphi",,,,39.0017807,-76.9738022
1333682431246537,,"Mary's Center Silver Spring",,,,39.0244088,-77.0193957
1333682431246538,1287549685614240,"Hattie Holmes Senior Wellness Center",,,,38.9563205,-77.0169984
1333682431246539,1287549685614240,"Mary's Center Silver Spring, MD",,,,39.0244088,-77.0193957
1333682431246540,1287549685614240,"Mary's Center Adelphi, MD",,,,39.0017807,-76.9738022
1333682431246779,1351080129222905,"Mary House",,,,0,0
1333682431246925,1351080129222930,"University of the District of Columbia",UDC,,,38.9683055,-77.0776341
1333682431246958,1351080129222952,"American University",,,,38.9390081,-77.0872644
1333682431246960,1351080129222954,"Capitol Hill Village",,,,38.8826437,-76.9863014
1333682431246961,1351080129222955,"Congress Heights Senior Wellness Center",,,,38.8397569,-77.0037849
1333682431246971,1351080129222957,"DC Center",,,,,
1333682431246972,1265909136483839,,,,,38.8958862,-76.948873
1333682431246973,1351080129222958,"First Baptist Senior Center",,,,,
1333682431246974,1351080129222959,"Foggy Bottom West End Village",,,,,
1333682431246975,1351080129222960,"Home Care Partners",,,,,
1333682431246977,1351080129222961,"Howard University Hayes Senior Wellness Center",,,,,
1333682431246978,1351080129222962,"Jewish Senior Services Agency",,,,,
1333682431246979,1351080129222963,"Kingdom Care Senior Village",,,,,
1333682431246980,1351080129222964,"TERRIFIC, Inc",,,,,
1333682431246981,1351080129222965,Wildtech,,,,,
1333682431246982,1351080129222966,"Yellow Cab Co. of D.C. Inc.",,,,,
1333682431246983,1351080129222967,"Zion Baptist Church Adult Day Care",,,,,
1333682431246984,1265909136483839,"Washington Senior Wellness Center",,,,38.8604823,-76.964171
1333682431247133,1351080129222963,"Capital Hill Senior Village",,,,38.8826437,-76.9863014
1333682431247134,1351080129222963,"Cleveland & Woodley Park Senior Village",,,,38.9379083,-77.0586498
1333682431247135,1351080129222963,"Dupont Circle Village",,,,38.9135042,-77.0480138
1333682431247136,1351080129222963,"Foggy Bottom West End Village",,,,38.902097,-77.0525781
1333682431247137,1351080129222963,"Georgetown Senior Village",,,,38.9146776,-77.0689933
1333682431247138,1351080129222963,"Palisades Senior Village",,,,38.929951,-77.1057793
1333682431247139,1351080129222963,"Waterfront Senior Village",,,,38.8762814,-77.0147454
1333682431247140,1351080129222963,"Greater Brookland Intergenerational Village",,,,38.930954,-76.972918
1333682431247141,1351080129222964,"Columbia Heights",,"Dining Site",,38.9269726,-77.0327431
1333682431247142,1351080129222964,"Harvard Towers",,"Dining Site",,38.9283146,-77.0431743
1333682431247143,1351080129222964,"Paul Lawrence Dunbar/Campbell Heights",,"Dining Site",,38.9174261,-77.0341825
1333682431247144,1351080129222964,"Vida Senior Center",,"Dining Site",,38.9230619,-77.0444267
1333682431247145,1351080129222964,"Asian Pacific Islander Center",,"Dining Site",,38.9087033,-77.0237354
1333682431247146,1351080129222964,"Claridge Towers",,"Dining Site",,38.9058947,-77.0286947
1333682431247147,1351080129222964,"Oasis Senior Center",,"Dining Site",,38.9116307,-77.0315286
1333682431247148,1351080129222964,"James Apartments",,"Dining Site",,38.9075043,-77.033013
1333682431247149,1275858156254689,"Delta Towers",,"Dining Site",,38.9006,-76.983523
1333682431247150,1351080129222964,"St. Mary’s Court",,"Dining Site",,38.898873,-77.0511844
1333682431247151,1351080129222964,"Asbury Dwelling",,"Dining Site",,38.9119614,-77.0215759
1333682431247152,820630706542898,"Around Town DC at St. Albans",,"Dining Site",,38.9291052,-77.0728808
1333682431247153,820630706542898,"Behrand Adas Israel Senior Fellowship Program",,"Dining Site",,38.9368495,-77.057436
1333682431247154,820630706542898,"Regency House",,"Dining Site",,38.9579232,-77.0711543
1333682431247155,1351080129222964,"First Baptist Senior Center",,"Dining Site",,38.9389241,-77.0227567
1333682431247156,1351080129222964,"Fort Stevens",,"Dining Site",,38.97026,-77.0311238
1333682431247157,1351080129222964,"Genevieve Johnson Senior Center",,"Dining Site",,38.94908,-77.0376236
1333682431247158,1351080129222964,"Lamond Senior Center",,"Dining Site",,38.9677294,-77.0083154
1333682431247159,1351080129222964,"Vida Brightwood",,"Dining Sites",,38.9614701,-77.0315027
1333682431247160,1275858156254689,"Ft. Lincoln 1",,"Dining Site",,38.9278309,-76.9607504
1333682431247161,1275858156254689,"N. Capitol @ Plymouth",,"Dining Site",,38.9542644,-77.0087203
1333682431247162,1275858156254689,"Edgewood Commons",,"Dining Site",,38.9248333,-76.9961302
1333682431247163,1275858156254689,Petersburg,,"Dining Site",,38.9213458,-76.9566095
1333682431247164,1275858156254689,"Green Valley Apartments",,"Dining Site",,38.9262453,-76.9713869
1333682431247165,1275858156254689,"Sibley Plaza",,"Dining Site",,38.9049394,-77.0095301
1333682431247166,1275858156254689,"Hayes Senior Wellness Center",,"Dining Site",,38.9028645,-76.9993168
1333682431247167,1275858156254689,Greenleaf,,"Dining Site",,38.8760566,-77.0132193
1333682431247168,1275858156254689,"Kibar Halal Nutrition Site",,"Dining Site",,38.910314,-77.0159186
1333682431247169,1265909136483839,"Phillip T. Johnson Senior Center",,"Dining Sites",,38.8846696,-76.9570507
1333682431247170,1265909136483839,"Kenilworth Friendship Café",,"Dining Sites",,38.9081722,-76.9414176
