service_recordid,service_name,service_alternate_name,service_organization,service_description,service_locations,service_url,service_email,service_status,access_requirement,service_taxonomy,service_application_process,service_wait_time,service_fees,service_accreditations,service_licenses,service_phones,service_schedule,service_contacts,service_details,service_address,service_metadata,service_program,service_code,SDOH_code,code_category_ids,procedure_grouping,service_tag,service_airs_taxonomy_x,flag,bookmark
561831919465625,"Pharmacy - Mary's Center",,1287549685614240,"Full service pharmacy.",991046422392107,https://www.maryscenterpharmacy.org/app/#/,,1,none,1276982655382389,"Visit website, call, or walk in. You will need a prescription.",,,,,1257181434931228,969910937524360,,970978597998351,750182888138367,,,,,,,,,,
570279198497703,"Health Home Behavioral Health",,1287549685614240,"The Mary’s Center DC Health Homes team is here to help you manage your physical and mental health chronic conditions and create a personalized plan of care to improve health outcomes.  

Mary’s Center became a certified DC Health Homes provider in January 2016, when the Department of Health Care Finance (DHCF) launched the My DC Health Homes program to benefit Medicaid recipients.  

All DC Health Homes services are optional and will not affect your eligibility for other Medicaid services. All services are covered under Medicaid with no additional fees. 

To enroll, please contact Tara Pavao, our Health Homes Director at (202) 389-2486. Once you are enrolled, our HH team coordinates your medical and behavioral healthcare needs by pairing you with a Nurse Care Manager and a Community Support Worker. Your Nurse Care Manager and Community Support Worker will:  

Schedule medical and mental health appointments, send reminders, and help secure transportation. 
Monitor your chronic physical and mental health conditions to determine adherence to or variance from evidence-based treatment guidelines. 
Make sure you have the right medications and you are taking them correctly. 
Follow up after you are discharged from the hospital. 
Connect you to other community resources such as housing, food, transportation insurance re-certification, and legal assistance as needed. 
Provide support for you and your family on your pathway to better health. ","1202618027693441,953875575104132,1146850101014457",https://www.maryscenter.org/behavioral-health/adults-and-seniors/dc-health-home/,tpavao@maryscenter.org,1,none,"1276982655382389,874406320909098,819562758416858","To enroll, please contact Tara Pavao, our Health Homes Director at (202) 389-2486.
To enroll, call the Behavioral Health front desk at (202) 851-3671 
To reach Tara Pavao, DC Health Homes Director, call (202) 389-2486 or email tpavao@maryscenter.org 

We accept most insurance plans including Medicaid and Medicare. If you don’t have health insurance, we’ll help you apply for public benefits or provide care at a discount. Comprehensive list of insurances are available on our website.",,,,,"1078907666894476,1109152836345796","1003280669828155,593029528256419,1106799266409790",,,"1108677909528551,904876794525199,948876011596931",,,,,,,,,,
584221387739490,"Senior StayCool",,1078800059400169,"The Department of Aging and Community Living's Senior StayCool Program repairs or replaces window air conditioning unit(s) and inoperable heating, ventilating, and air conditioning (HVAC) centralized units for income-eligible seniors.

How many Units allowed?

In instances where a property owner does not have a cooling system in place, no more than two window air conditioning units may be installed depending on need.

Who should apply?

District residents, age 60 and over who are homeowners or renters of a property used as a primary residence, with an annual household income at or below 60% of Area Median Income (AMI)*.",818197734902999,https://dacl.dc.gov/service/senior-staycool,dacl@dc.gov,1,none,"832401246252623,819562758416858","Call to apply.",,,,,"767434507934353,791466840370210",,,,1193727390444096,,,,,,,,,,
567687090092713,"Energy Assistance Program",,1287549685614240,"Life can sometimes throw unexpected challenges your way making it hard to keep up with the bills. Thanks to a grant from Pepco Holdings Inc. Community Foundation, our Energy Assistance Program allows us to help you pay a portion of your household’s heating and electric bill. To participate in the one-time emergency program, you must: 

Be a resident of Prince George’s County, Maryland 
Be unable to pay your utility bill because of documented financial hardship  
Be at risk of disconnection from your gas or electric service 
Have an annual household income (before taxes) below the federal poverty level. 
Please remember this program is meant to help you pay a portion of your household’s heating/electric bill, not the entire annual cost of heating your home. ",1333682431246536,https://www.maryscenter.org/social-services/referrals-and-resources/energy-assistance-program/,,,none,,"To be considered for the Energy Assistance Program, you must call (202) 545-2024 to schedule an appointment.  Appointments are held on Wednesdays at 2355 Ontario Road, NW Washington, DC 20009 and Fridays at  8908 Riggs Road, Adelphi, Maryland 20783 and last approximately 30 minutes.  

Applications are only accepted in person and by appointment. Mailed, faxed, or e-mailed paperwork WILL NOT be accepted. Applications will NOT be processed unless ALL information is provided. Incomplete applications will result in delay or denial. Please bring the documents listed below to your scheduled appointment. 

Required Documents 
Photo ID of applicant
Proof of Identification for ALL members of your household (e.g. – social security card, birth certificate, driver’s license, or passport)
Proof of Residency (e.g. – copy of mortgage, lease, or rental agreement) 
Gas/Electric Bill; Disconnection Notice (if applicable)
Proof of Income for the ENTIRE Household  (e.g. – employment paystubs, social security income, food stamps, unemployment, child support, disability, retirement, veterans’ benefits, survivors’ benefits, etc.) 
Proof of Hardship or Inability to Pay (e.g. employment termination letter, unemployment claim, medical bills, proof of loss of other income, OR budget showing insufficient funds)
Letter explaining your emergency situation",,,,,"920921778156664,","1338861885601375,1338861885601376,1338861885601377,1338861885601378,1338861885601379,1338861885601380,1338861885601381,1338861885601382",,"608334571472582,594068698094076,756892272238697,828931086235381,930201199186251,1177650052462670","1108677909528551,904876794525199",,,,,,,,,,
600311424612877,"Nutrition Counseling - Mary's Center",,1287549685614240,"You probably know eating whole, nutritious food leads to improved health, but many of us need a little guidance. There is so much conflicting diet information, it can be hard to know what’s best for you—especially if you or a loved one have a complex health condition.  

At Mary’s Center, you can trust our knowledgeable and friendly nutritionists to guide you and your family to better health through better food. Our nutritionists are co-located within the medical area and the Women, Infant, and Children (WIC) program to provide all the nutrition counseling necessary to ensure your family stays well fed. When you visit Mary’s Center for nutrition counseling, you will:   

Find nutrition resources, education, and individual and group nutrition counseling  
Get help navigating your WIC and SNAP benefits 
Receive nutrition guidance while you are breastfeeding your baby  
Learn about managing chronic conditions through your diet 
Regardless of your needs, our nutrition counselors will be by your side to build a better diet, increase your vitality, and improve your overall health.","1202618027693441,953875575104132",https://www.maryscenter.org/medical/other-specialties-and-services/nutrition-counseling/,,1,none,"630013980013392,1276982655382389","Mary’s Center is ready to partner with you on your health journey. Don’t hesitate to reach out to us using the information below:  

To learn more about WIC or make a WIC application appointment, call (202) 232-6679 

We accept most insurance plans including Medicaid and Medicare. If you don’t have health insurance, we’ll help you apply for public benefits or provide care at a discount. Comprehensive list of insurances are available on our website.",,,,,"1109152836345796,975713005890497,1249506930671270975713005890497,975713005890497,1249506930671270,","1338861885610361,1338861885610362,1338861885610363,1338861885610364,1338861885610365,1338861885610366,1338861885610367",,,"1108677909528551,904876794525199",,,,963,5,,,,,
611731051197054,"Clothing & Hygiene Kits",,918523571271755,"SOME’s clothing room offers clothing, shoes, accessories, and small home goods to those in need. Items are seasonally appropriate and provided free of charge. We also have a special room for children’s clothing and associated items.

Hygiene kits, containing soap, shampoo, lotion, deodorant, toothbrush and toothpaste, razors, and feminine hygiene products, are available at the front desk at 7:30am Mondays, Tuesdays, Thursdays, and Fridays. 

",1142163554566402,https://www.some.org/services/basic-needs,,1,none,1211420433536032,"Adult Hours: 8am to 11am, Tuesdays and Thursdays, availabe in pre-made bags by size
Children Hours: 1:30pm to 3:30pm, Mondays and Wednesday
Hygiene Kits: 7:30am, Mondays, Tuesdays, Thursdays, and Fridays",,,,,828720521624019,,,,843557435036966,,,,,,,,,,
609764906879432,"Group Exercise",,901970914472025,"The YMCA of Metropolitan Washington offers a variety of Group Exercise classes that are for every BODY! Each branch has it’s own unique schedule to cater to the community it serves. Group Exercise classes are a great way to find motivation, challenge or heal yourself as well as meet new friends! All YMCA instructors have a passion for helping everyone along their wellness journey. Check out the group exercise schedule today and see you in class!","991654914903385,1198692764026642,940212538195830,716573413368445,882293888224112,577218861870418",https://www.ymcadc.org/programs/health-fitness/group-exercise/,,1,none,1276982655382389,"Visit the website or call your nearest YMCA to find the group class schedule and sign up.",,,,,1200804357675895,,,,"736104421703506,602013012418112,1171342361002389,1310277015717903,1111486004109298,623483554226574",,,,,,,,,,
607057383679661,"Fit & Well Seniors",,901970914472025,"The Y’s Fit & Well Seniors caters to the needs of more than 100,000 seniors residing in DC, many of whom are widowed, living on a modest income and have limited access to activities. Launched in 2010 in partnership with CareFirst BlueCross BlueShield, this program helps seniors find energy, movement, and a support network.

We offer 119 land and 26 aquatics classes in all 8 Wards of DC in addition to health and lifestyle assessments, inter-generational activities, social clubs and a mobile unit – all free of charge. Over 5,000 seniors participate in this program each year. If you’re a senior that would like to get involved, let us help you rediscover the vibrancy of life by calling us at 202-232-6700.","991654914903385,1272787330877007",https://www.ymcadc.org/programs/health-fitness/fit-well-seniors/,FitandWellSeniors@ymcadc.org,1,none,"1276982655382389,819562758416858","Call for more information or visit this website to find a class near you: https://www.ymcadc.org/wp-content/uploads/2020/02/Roster_-CityWide-Schedule-by-Ward-1.pdf ",,,,,1200804357675895,,"994749233555702,584564842045500",,"736104421703506,1268199460403994",,,,,,,,,,
615102245607234,"Maternal Mental Health",,1287549685614240,"If you are pregnant or preparing for the addition of a new baby, adjusting to life with a new child, had a baby in the past year, or experienced a loss in pregnancy, Mary’s Center is here for you.  

Significant life changes like these can cause tremendous amounts of stress and we want you to know you’re not alone. Reach out to Mary’s Center if you are experiencing:  

Difficulty adjusting to a significant life change 
Difficulty with your emotions following a difficult or traumatic birth 
Difficulty bonding with your baby 
Feelings of irritability, sadness, or depression 
Perinatal grief/loss 
Scary, intrusive thoughts 
If you’re struggling with something you don’t see listed above, we strongly encourage you to reach out to us for additional support.

Our Maternal Mental Health program is dedicated to support pregnant and postpartum women, adoptive parents, and their families through a variety of resources and services including:  

Care coordination 
Phone outreach including a brief assessment, educational information, and ways to connect to additional care 
Support and education, including free online support groups held in  English  and  Spanish 
Therapy and psychiatry  ","1202618027693441,953875575104132,1146850101014457",https://www.maryscenter.org/behavioral-health/other-specialties-and-services/maternal-mental-health/,,1,none,1276982655382389,"Mary’s Center is ready to partner with you on your health journey. Don’t hesitate to reach out to us using the information below:  

To an appointment and indicate your interest in the Maternal Mental Health program, call (202) 846-8053 x 2797
To reach the Maternal Mental Health Program Manager, call (202) 545-2061",,,,,"1109152836345796,735602797720246,1286678020555394","1003280669828155,593029528256419,1106799266409790",,,"1108677909528551,904876794525199,948876011596931",,,,,,,,,,
635645258311778,"D.C. Schedule H Property Tax Credit",,828308705468984,"Legal Counsel for the Elderly assists low-income seniors who do not need to file a complete tax return with filing for the D.C. Schedule H property tax credit.

Eligibility for the Property Tax Credit
Low-income D.C. residents may qualify for up to $1000 for property taxes or rent paid by filing the D.C. Schedule H tax form. The D.C. Office of Tax Revenue determines eligibility for the credit:

D.C. resident from January 1st to December 31st
Rent or own and live in home or apartment
Income below $40,000 per year
Income below $60,000 if over 70 years old
Some rental properties do not qualify

Our Services
We assist clients who do not need to file a complete tax return. We screen clients to see whether they are likely to qualify. If so, we meet with clients, in our office or at pro bono clinics, to review the Schedule H tax form and the documentation needed. We assist with submitting the form to the Office of Tax Revenue. If the credit is not received within three months, we assist with calling the Office of Tax Revenue to learn the reason for the denial.",1183173298558849,https://www.aarp.org/legal-counsel-for-elderly/what-we-do/info-2017/schedule-h-tax-credit.html?intcmp=AE-LCE-WWD-R1C2LL1,,1,none,"841905613386238,899387596744807,1238748896910244,819562758416858","Call for information",,,,,931173517724084,1153058029513279,,,814164678263538,,,,,,,,,,
658172156866857,"Senior Housing",,918523571271755,"SOME offers permanent, affordable housing for seniors at Kuehner Place.

Kuehner Place offers 15 efficiency apartments and 27 single room occupancy units. Residents share a bathroom, kitchen, and laundry facilities with two to three other residents.",651934751090741,https://www.some.org/services/housing/senior-housing,,1,none,1305774265925553,"Apply for Housing: Call (202) 292-4493

Eligibility: Participants must be/have:

A resident of DC
Age 60 or over
Make less than $1,900 a month
Have a negative TB test within the past 12 months
Six months of sobriety
Capable of self-care
No recent history of violence
Not on the lifetime sexual offenders list",,,,,1065402652683987,,,,1216780850778368,,,,,,,,,,
643973730285080,"Office of the D.C. Long-Term Care Ombudsman Program",,828308705468984,"The Office of the D.C. Long-Term Care Ombudsman Program (DCLTCOP) is an important part of Legal Counsel for the Elderly. DCLTCOP is an advocate and resource for persons who reside in long-term care facilities such as nursing homes, assisted living and community residence facilities. The program also provides advocacy services to individuals receiving services through the Elder and Persons with Physical Disabilities (EPD) Medicaid Waiver. Ombudsmen help residents and their families understand and exercise their rights and effectively address concerns which impact their health, safety and quality of life.  The program advocates for older adults and persons with disabilities at both the individual and systems levels by receiving, investigating and resolving complaints made by or on behalf of residents, promoting the development of resident and family councils, and informing governmental agencies, providers and the general public about issues and concerns impacting recipients of long-term care services and supports.

 Ombudsman Services

Advocate for the rights of older persons and other persons receiving long-term care services in the District of Columbia;
Investigate and resolve complaints made by or on behalf of an older person or other persons receiving long-term care services;
Educate and empower residents to understand and exercise their rights
All confidential, resident-centered, and free of charge.
Home and Community-Based Services

As of Oct. 1, 2012, the ombudsman program expanded its scope of advocacy services to include District residents receiving home and community-based services in their private homes through the D.C. Medicaid Elderly and Persons with Physical Disabilities (EPD) Waiver. 
",1183173298558849,https://www.aarp.org/legal-counsel-for-elderly/what-we-do/info-2017/dc-long-term-care-ombudsman.html?intcmp=AE-LCE-WWD-R1C2LL5,dcombuds@aarp.org,1,none,"841905613386238,819562758416858","Call for information",,,,,548927498605853,,,,814164678263538,,,,,,,,,,
712957682845265,"Single Adult Housing (SAH)",,918523571271755,"SOME’s affordable housing for single adults provides safe, affordable, long-term housing with supportive services for single adults 18 years of age or older. All residents are required to sign a lease with SOME and to pay rent (30% of their gross monthly income). SOME owns over 700 Single Room Occupancy (SRO) units and efficiency apartments, which include the following amenities:

Amenities
Dining Room
Kitchen
Bathroom(s)
Clean and sober housing - alcohol and drug-free environment
Private, fully furnished individual units
Laundry facilities on-site
Manager who lives on the property
Common area with computer access (some units include cable and internet)
All utilities included in the rent
Some units furnished with flat screen televisions
Located close to public transportation
Services
Residents work with program staff to repair credit, save money, set and meet goals, enroll in job training, and find and maintain employment.

Personal Assistance
Employment Services
Job Readiness Activities
Transportation
Dental Services
Help with Stress and Emotional Health
Medical Services
Counseling on Home Ownership Options
Budget Planning
Computer Classes and Assistance
Community Clubs
Health and Wellness Activities
",,https://www.some.org/services/housing/single-adult-housing,SAHintake@some.org,1,none,1305774265925553,"Our General Intake Housing Lottery is now closed. The housing lottery system will be used to randomly select individuals meeting our eligibility requirements to move forward and apply for Single Adult Housing.

Individuals who have been randomly selected to move forward with the application process will be contacted via the phone number provided on their registration form.  

We will contact all individuals via email who submitted a registration within 5 business days to let them know whether or not they have been randomly selected to move forward with the SOME Single Adult Housing Application process.

The eligibility criteria for the Single Adult Housing (SAH) program is listed below:

Must have 6 months of documented clean time from drugs and alcohol;
Must have an income;
Have no recent history (within the past year) of violent behavior;
Must be eligible under the District of Columbia Housing Authority (DCHA):
Cannot be a lifetime register on the Sex Offender Registry
Cannot not owe DCHA money (unless applicant is willing to settle the debt)",,,,,,,,,,,,,,,,,,,
736771575912112,"Congregational Resources",,1275858156254689,"Seabury provides leadership and coordination of aging services to congregations in the Episcopal Diocese of Washington and the United Church of Christ Potomac Association.

Our Congregational Resources program provides:
- Information on services and resources for older adults
- Resources and support for older adult ministry design and development
- Educational presentations on aging issues​​
- Opportunities for service with our Age-In-Place project and in our senior living communities​​​
- Opportunities to honor the service of older adults to congregations

Common Threads: An Intergenerational Worship Series​

Everybody has a story. What’s yours? Seabury Resources for Aging invites you to a creative worship series based on life stories. We’ll gather for conversation, reflection, and worship, focusing on themes of joy, sorrow, hope, and change. Participatory and station-based, these one-hour services are often a great fit for children, youth, and families. Common Threads is offered in partnership with area clergy and congregations. People of all ages and abilities are welcome.",1281917418518969,https://www.seaburyresources.org/congregationalresources,info@seaburyresources.org,1,none,"893915418546777,976566727118378,819562758416858","Call to apply for services.",,,,,688831321064033,593652380535594,,,1215798438097456,,,,,,,,,,
