id,service_id,location_id,language,language_recordid
1,590149106022184,674131229606594,English,136
9365,,,Spanish,
9368,,,French,139
9369,,,Amharic,140
9370,,,Chinese,141
9371,,,Korean,142
9372,,,Vietnamese,143
9373,590149106022184,674131229606594,English,136
9374,,,Spanish,
9375,,,French,139
9376,,,Amharic,140
9377,,,Chinese,141
9378,,,Korean,142
9379,,,Vietnamese,143
9380,590149106022184,674131229606594,English,136
9381,,,Spanish,
9382,,,French,139
9383,,,Amharic,140
9384,,,Chinese,141
9385,,,Korean,142
9386,,,Vietnamese,143
9387,590149106022184,674131229606594,English,136
9388,,,Spanish,
9389,,,French,139
9390,,,Amharic,140
9391,,,Chinese,141
9392,,,Korean,142
9393,,,Vietnamese,143
9394,590149106022184,674131229606594,English,136
9395,,,Spanish,
9396,,,French,139
9397,,,Amharic,140
9398,,,Chinese,141
9399,,,Korean,142
9400,,,Vietnamese,143
9401,590149106022184,674131229606594,English,136
9402,,,Spanish,
9403,,,French,139
9404,,,Amharic,140
9405,,,Chinese,141
9406,,,Korean,142
9407,,,Vietnamese,143
9408,590149106022184,674131229606594,English,136
9409,,,Spanish,
9410,,,French,139
9411,,,Amharic,140
9412,,,Chinese,141
9413,,,Korean,142
9414,,,Vietnamese,143
9415,590149106022184,674131229606594,English,136
9416,,,Spanish,
9417,,,French,139
9418,,,Amharic,140
9419,,,Chinese,141
9420,,,Korean,142
9421,,,Vietnamese,143
9422,590149106022184,674131229606594,English,136
9423,,,Spanish,
9424,,,French,139
9425,,,Amharic,140
9426,,,Chinese,141
9427,,,Korean,142
9428,,,Vietnamese,143
