id,name,alternate_name,description,email,url,tax_status,tax_id,year_incorporated,legal_status
540732570709574,"Academy of Hope",,"Academy of Hope is an adult public charter school in Washington D.C., offering excellence in adult education since 1985. Our mission is to provide high quality adult education and services that change lives and improve our communities. At Academy of Hope, students become part of a learning community where everyone is valued, adds value and is both a teacher and a learner. Our curriculum is experiential and focuses on life skills, which means that students can immediately begin applying what they&rsquo;re learning to their own lives&mdash;and reap the benefits.",recruitment@aohdc.org,https://aohdc.org/,,,,
605309967915458,"CENTER FOR SOCIAL JUSTICE: D.C. READS",,"Employs the services of students from 7 universities to tutor D.C. public school students at 40 learning sites. The program's main focus is reading.",,http://socialjustice.georgetown.edu/students/service/dcreads/about/15129.html,,,,
608190497391626,"Nativity Shelter",,"Social services provided: bilingual case managers and social workers and also therapeutic groups. All are welcome.",,http://www.catholiccharitiesdc.org/page.aspx?pid=375,,,,
558598955804152,"Jewish Council for the Aging of Greater Washington",,"Senior services center providing a range of support services to the elderly.",Senior.HelpLine@AccessJCA.org,https://accessjca.org/,,,,
586301457835998,"City of Praise Family Ministries",,"A local church providing community services ranging from food, college access, and recovery.",office@copfm.org,http://cityofpraisechurch.com,,,,
618821526959273,"Hughes Memorial UMC",,"A church offering various community services.",adminasst@hughesmemorial.org,http://www.hughesmemorial.org,,,,
618748399513081,"A Wider Circle",,"A Wider Circle’s efforts focus on the provision of basic need items, workforce development, wraparound support, and neighborhood revitalization. These four components work in concert to create lasting change in the lives of those we serve. A Wider Circle says no to nobody! Anyone in need of help can find it here. In addition to all of the individuals and families that call us, more than 500 government, social service, and nonprofit agencies regularly contact us for help in serving their clients. We look forward to working with you.",contact@awidercircle.org,https://awidercircle.org/,,,,
619974574898067,"MBI Health Services",,"A comprehensive health agency offering the following services:
Free Standing Mental Health Clinic & CORE
Home Health Care Services
Day Treatment Program
RSA & Supported Employment Services
Department on Disability Services Division
Transitional Age Youth Division (TAY)
Partnerships
Nurse Staffing Services
Returning Citizens Program
Health Home Services
Assertive Community Treatment (ACT)
Adult Day Health Program (ADHP)
Substance Use Disorder (SUD)
Housing Programs
Children's Program",info@mbihs.com,http://www.mbihs.com/,,,,
585623863455965,"National Baptist Memorial Church",,"A local church providing a few services to the community including food, clothing, and a children's ministry.",NBMChurch@msn.com,http://www.nbmchurchdc.org/,,,,
589460886355658,"Family Matters of Greater Washington",,"FMGW provides assistance that impacts more than 20,000 children, youth, families and seniors each year in the Greater Washington area. Our spectrum of programs include youth development programs and mental health/counseling services. The Youth Development program is comprised of a &ldquo;Send A Kid To Camp&rdquo; program, designed to send children to sleep-away camps in the region that endeavors to build future leaders.",,http://familymattersdc.org,,,,
593542128006992,"WASHINGTON ENGLISH CENTER",,"Provides excellent and affordable English classes and other workforce programs to adult immigrants using volunteer teachers.",,http://www.washingtonenglish.org/,,,,
615135989448834,"DC Department of Employment Services (DOES)",,"Provides comprehensive employment, unemployment, resume preparation and training services to residents of the District of Columbia. Provides labor exchange services to employers who are seeking qualified workers and to job seekers.",does@dc.gov,http://does.dc.gov,,,,
623807648086762,"Courtney's House",,"Courtney&rsquo;s House is committed to providing trauma informed services for domestic sex trafficked youth between the ages of 12 and 21.

Courtney's House: 
Fearlessly searches for children who are being forced into prostitution on the streets, in brothels, strip clubs, private homes, and hotels.
Embraces the survivors and brings them into a safe environment where they and their families can heal, recover and develop hopeful, dignified and influential lives. 
Trains community officials and creates awareness of the reality of sex trafficking in neighborhoods across America to help stop the crimes from happening. ",,http://www.courtneyshouse.org/,,,,
621917000765528,"Goodwill of Greater Washington",,"Provides education, training, and employment services for people with disadvantages and disabilities. Also offers life skills training, computer classes, and a job placement services program. 

Retail thrift store for clothing and home goods. Accepts donations of goods, money, and vehicles. ",,http://www.dcgoodwill.org/,,,,
643509042901798,"Pathways to Housing DC",,"The mission of Pathways to Housing DC is to end homelessness and support recovery for people with complex health challenges. Pathways to Housing DC is a unique agency that provides permanent housing and specialty support services to single adults experiencing chronic homelessness in the District. 

If you have any others questions about our programs and services, please get in touch with us at info@pathwaysdc.org.",info@pathwaysdc.org,https://pathwaystohousingdc.org,,37-1464353,,
650527153533264,"United Medical Center",,"United Medical Center offers a wide range of high quality medical services to residents of the Washington, DC area and surrounding communities.",,https://www.unitedmedicaldc.com/,,,,
592376182631330,"Rebuilding Together",,"Rebuilding Together helps people and communities in need by bringing together our national network of local Rebuilding Together affiliates, corporate and individual donors, skilled trades individuals and associations and almost 100,000 volunteers each year.

There are numerous affiliates across the United States. Visit their website to find a local affiliate.",,https://rebuildingtogether.org/,,,,
595267359680824,"Ambassador Baptist Church",,"A local church offering services to the community.",,http://theambassadorbaptistchurch.org/home.html,,,,
667513392468817,Yachad,,"Yachad is a non-profit housing organization providing healthy housing remediation and repair services to lower income homeowners and eligible renters in the District of Columbia and Prince George's County. The word ""yachad"" means together in Hebrew.   Our services also include an asthma home visiting program and accessibility assessments and  modifications.",info@yachad-dc.org,http://yachad-dc.org/,,52-1698588,1990,
626697805700987,"Food for Others",,"Food for Others is a nonprofit 501(c)(3) food bank and food rescue organization, working to help those in Northern Virginia who are food insecure.

We are a part of Northern Virginia&rsquo;s safety net for those who need food when an emergency strikes, and for the growing number of working poor who are unable to make ends meet and need to supplement their inadequate food supplies.",,https://www.foodforothers.org/,,,,
635265662066015,"Perry School Community Services Center",,"The Perry Center, Inc. uses a collaborative, comprehensive and integrated approach to social services, economic empowerment, and youth development.

Our human development model follows two tracks: Remedial and Preventative - created to help our clients break the cycle of generational poverty and achieving living wage incomes to support themselves and their family.",,http://perryschool.org,,,,
662641922894081,"Transgender Health Empowerment",,,,,,,,
638023829270297,"Brighter Day Ministries","A.P. Shaw-Congress Heights United Methodist Church","Brighter Day Ministries, formerly A.P. Shaw-Congress Heights United Methodist Church, is a growing multi-ethnic church engaged in local and global mission projects. The ministry goals are the same as Jesus Christ to serve and reach a lost and hurting world, bringing healing to wounded hearts of those in our community and world with the love and Word of God.",churchoffice@BrighterDayDC.org,https://www.brighterdaydc.org/,,,,
644590666868771,"NEWCOMER COMMUNITY SERVICE CENTER: ENGLISH SECOND LANGUAGE",,"Provide free evening English classes in both the D.C. and Virginia offices.",,http://newcomerservice.org,,,,
650479626662564,"National Center for Children and Families",,"Current program services include emergency shelters and transitional housing for homeless families, a high-intensity therapeutic group home, therapeutic and traditional foster care and adoption, independent living for youth transitioning to adulthood, teen parent services, and community-based prevention services that promote academic achievement, parental involvement, economic and vocational stability, and healthy families. Our programs have become social service models, redefining both NCCF&rsquo;s reputation and the agency&rsquo;s position in the human service continuum in the Washington Metropolitan Region.",,https://www.nccf-cares.org/,,,,
651560814879498,"GRACE AND MERCY HEALTH SERVICES, INC",,"Provides the following services: RW Behavior Support BSP Development & Follow-Up , RW Behavior Support Diagnostic Assessment, RW In-Home Supports, RW Respite Daily (out of the home), RW Respite Hourly (in the home)",,http://dds.dc.gov/service/how-apply-services,,,,
671975015184031,"DC OFFICE OF VETERANS' AFFAIRS",,"Provides Veterans Resources services",,http://www.ova.dc.gov,,,,
687390186581235,"Everyone Home DC","Previously: Capitol Hill Group Ministry","At Everyone Home DC, we believe that when everyone has access to a safe, affordable, and comfortable home, we can all thrive.

All people transitioning out of homelessness need resources beyond decent, affordable housing to thrive. They need access to nutritious foods, education, employment, parenting supports, children’s services, transportation, physical and behavioral health care services. So, we approach our services as we approach caring for our own families, with a whole person, whole family, and whole community mindset. We exist to provide a range of housing solutions and supportive services to ensure that individuals and families in our community have what they most need to thrive.",info@everyonehomedc.org,https://everyonehomedc.org/,,,,
680226054600238,"Samaritan Inns",,"Samaritan Inns’ mission is to provide structured housing and recovery services in an environment of support and accountability that give homeless or at risk individuals who suffer from drug and alcohol addictions the opportunity to rebuild their lives.

Samaritan Inns’ Treatment and Recovery Continuum has proven results in our unique holistic approach to treating those with addictions. The Treatment and Recovery Continuum offers 3 phases of treatment for homelessness and addiction.",,http://samaritaninns.org/,,,,
698337947812895,"DC Department of Energy and the Environment (DOEE)",,"Provides a variety of utility assistance programs for people with low-income and seniors.",doee@dc.gov,https://doee.dc.gov,,,,
738572047054521,"Catholic Community Services Southeast Family Center",,"We are a multi-service center offering family support, foster care, independent living, substance abuse services, parent education, and financial assistance. We serve ward 8 residents and children who are wards of the District of Columbia.",,http://www.catholiccharitiesdc.org/sefc,,,,
