taxonomy_recordid,taxonomy_name,taxonomy_parent_name,exclude_vocabulary,taxonomy,category_logo,category_logo_white,taxonomy_grandparent_name,taxonomy_vocabulary,taxonomy_x_description,taxonomy_x_notes,language,taxonomy_services,taxonomy_parent_recordid,taxonomy_facet,category_id,taxonomy_id,order,badge_color,flag,status
533832483389123,"Ages 50+",1212005456553071,,1081834932991779,,,,,,,,"933068702398710,1017935677136641,991942780227581,1256701502731901",,,,rec003C4b8pfjwZiI,,0CFE6E,,Published
558854491640759,"Income at or below 30% Median Family Income",996413864069591,,1081834932991779,,,,,,,,867803749314522,,,,rec0Df5tHuniiT7vO,,C0468B,,Published
572968199086902,"Prescription Assistance",928634817824512,,629864383953331,,,,,,,,,,,,rec0TNhtqNjzMjas4,,7185BF,,Published
600702532354257,"Addiction & Recovery",879394671891223,,629864383953331,,,,,,,,"848660009135175,936010727694695,1154573023147130,868294682470679",,,,rec0oXRGhfgVCIj8a,,12B9B4,,Published
567772705271262,"Financial Aid & Loans",777005893906972,,629864383953331,,,,,,,,,,,,rec1Az33mIBTOEnsp,,7F6EBF,,Published
570784632226026,"Sex Education","1102011945010404,800876057594945",,629864383953331,,,,,,,,770578690423338,,,,rec1ICcUWTQj7F0ot,,F26A7F,,Published
601744181699079,"Health Insurance","820647015810178,928634817824512",,629864383953331,,,,,,,,"988299332485221,906941638249299,1128952488713927",,,,rec1gPAWB2K9XnSI1,,10362D,,Published
605525374389695,"Maintenance & Repairs",1305774265925553,,629864383953331,,,,,,,,,,,,rec1gqsE4mMC8xWXs,,AF4FC2,,Published
611900221673856,"Transportation for School","777005893906972,878852836579488",,629864383953331,,,,,,,,,,,,rec1qMpHIOwsjjFMV,,EC9B6B,,Published
558824191766154,"Relief for Caregivers",1186613002076967,,629864383953331,,,,,,,,,,,,rec2544b851wLaPlJ,,89E3AC,,Published
575795542893271,"Learning Disability",1141891580359737,,1081834932991779,,,,,,,,,,,,rec2Af3Jhfu3I2xue,,1821F4,,Published
585766741363639,"Special Education",1132205886737577,,629864383953331,,,,,,,,,,,,rec2MKrwDScouTWTc,,1506BD,,Published
593237921884807,"Safety Education","1102011945010404,1169956847122981",,629864383953331,,,,,,,,,,,,rec2Rj8BoKB1YY0Yu,,276D20,,Published
620501575533772,Post-Treatment,818150474957808,,1081834932991779,,,,,,,,,,,,rec2lreOqz0E7JVp4,,255F9E,,Published
620913268509646,"Bladder Cancer",1265252182873860,,1081834932991779,,,,,,,,,,,,rec2s1Zfj6wSlxWSt,,3A5F2D,,Published
625977127820194,"200% Federal Poverty Line",996413864069591,,1081834932991779,,,,,,,,1193500689688597,,,,rec2vHFAmnvUzYdmh,,DD2349,,Published
594357854377389,Veterans,764795942886475,,1081834932991779,,,,,,,,"1160836319132411,853929141214417,771415038083007,1317811461953516,1236006015638372,1317372777897148,1200468711293825,821975197328764",,,,rec3Ifn41WN8H2D4E,,AC41C5,,Published
596924298833594,"Adoption Counseling",839753638188280,,629864383953331,,,,,,,,,,,,rec3LdV5k3Mkk5bGT,,C00E03,,Published
604293104050562,"Hearing Tests",1235658330362031,,629864383953331,,,,,,,,,,,,rec3Sdwa5J7QWGStf,,9C4691,,Published
605631199983458,"HIV Treatment","806935508227949,800876057594945",,629864383953331,,,,,,,,,,,,rec3VVZwt59waiKXN,,328981,,Published
625144853335827,"Survivors of Intimate Partner Violence",943793802429235,,1081834932991779,,,,,,,,"930016985181850,888508309645148,740783063728260,795647463619947,1281873572081806,857853579878864,754147676615710,929072757628683,1316670958147366,839695327342121,1096695050630138,1186669715768214,943806798890403,1122934207742346,1286870063123571,1125858260716274,569326528063960,1205629989379688,803289389092544,619066407387390,1103064722638793,824310285241952,876729070668740,1350703837531670",,,,rec3jRUY2MKM3uOQu,,8A168B,,Published
635867221571587,Retirement,,,1081834932991779,,,,,,,,,,,,rec3sg1DUB4Ue2hpC,,9D58E7,,Published
581353506116751,"Independent Living",614856429001096,,629864383953331,,,,,,,,837604202154040,,,,rec474hfjSDHQaXUe,,263DC9,,Published
608267763327487,"U.S. Citizen or Permanent Resident",1150913699729234,,1081834932991779,,,,,,,,"1084455155861412,617717048691003,1245717986328193,1114942083297484,1125858260716274,886500049202807,1236006015638372",,,,rec4LqUnBn4iJNY0k,,FB90F7,,Published
609371925193152,"Workplace Rights","779743205099707,832122112723102",,629864383953331,,,,,,,,,,,,rec4QIbTGIRwvgYsf,,F5B07A,,Published
610184557880193,"Burn Survivors",943793802429235,,1081834932991779,,,,,,,,,,,,rec4T1yBMP1PPGQcg,,4B12E5,,Published
610322186793257,"Holocaust Survivors",943793802429235,,1081834932991779,,,,,,,,1330460837989046,,,,rec4T96L81TsxRfaW,,87B396,,Published
614151082454075,"Medications for Addiction",600702532354257,,629864383953331,,,,,,,,,,,,rec4X1tPeYSUSsSFK,,9ACF5F,,Published
625531295881156,"Skills & Training","832122112723102,976566727118378",,629864383953331,,,,,,,,"619428544473590,933051063868149,1203534029319840,880643153888927,762627227359602,788820780825349,1204094393733512",,,,rec4bBQs6PY9jqHYB,,A1275C,,Published
627746874732291,"Understand Disability",1102011945010404,,629864383953331,,,,,,,,,,,,rec4dDTbOYHvTUAGQ,,E61B77,,Published
632610616201449,"Terminal Illness",1276982655382389,,1081834932991779,,,,,,,,,,,,rec4j7cpMSNEvs6bE,,B20721,,Published
641029949613661,"STD/STI Treatment & Prevention",800876057594945,,629864383953331,,,,,,,,,,,,rec4qHKHDfvlK6Z7o,,C3F2CC,,Published
645020033411340,"Adoption Planning",839753638188280,,629864383953331,,,,,,,,,,,,rec4qpEyNu3v0xhSn,,F333BB,,Published
642400689111037,"College Readiness",1132205886737577,,629864383953331,,,,,,,,,,,,rec4t7T5EH8xfSJ8M,,343891,,Published
