id,location_id,accessibility,details
1,1333682431246522,Blank,test
2,1333682431246525,Blank,"Visitors with concerns about the level of access for specific physical conditions, are always recommended to contact the organization directly to obtain the best possible information about physical access"
3,1102714062099449,"ADA Complaint","Visitors with concerns about the level of access for specific physical conditions, are always recommended to contact the organization directly to obtain the best possible information about physical access"
5,1333682431246528,Blank,test
6,733623340463849,,
8,1333682431246529,Blank,test
9,870176486464739,"ADA Complaint",
10,1183173298558849,,
10,841663889311858,,
10,1303501603402692,,
10,1069239089485198,,
