id,organization_id,name,alternate_name,description,transportation,latitude,longitude
538977790426516,1222701888984669,"Sasha Bruce - Independent Living Program",,,,38.8901671,-76.9876558
541907027325035,1189940866829310,"SHARE Food Network Main Office",,,,38.9288531,-76.8740779
553317561400491,1098153529407228,"2041 Georgia Avenue NW Washington, DC 20060",,,,38.9175305,-77.0204417
562543524311596,1329764475795847,"DC Health and Wellness Center",,,,38.9093349,-77.0068364
577218861870418,901970914472025,"YMCA Fairfax County Reston",,,,38.9560115,-77.36817
604721858303896,832081175822927,"N Street Village Main Office",,,,38.9075729,-77.0314836
610544508126672,1284952943863665,"Unity at Christ House (Ward 1)",,,,38.9248928,-77.0399673
580857017779168,1284952943863665,"Unity at New York Avenue Homeless Shelter (Ward 5)",,,,38.9150671,-76.9858391
584215858451001,1102961709884725,"Virginia Williams Family Resource Center",,,,38.9230157,-76.9930174
636848661261240,876886021673283,"Martha's Table Headquarters at the Commons",,,,38.8548975,-76.9844872
637109273390087,824101881058300,"Perennial House",,,,38.8980819,-76.9375237
634604766992517,876886021673283,"Shrine of the Sacred Heart",,,,38.9311199,-77.0358506
678805469856026,1189940866829310,"1001 Lawrence Street NE Washington, DC 20017",,,,38.9313023,-76.9921625
669512480103420,1235669446637932,"UPO Comprehensive Treatment Center",,,,38.8855512,-76.9739373
671699874900293,1284952943863665,"Columbia Road Health Services (Ward 1)",,,,38.9071923,-77.0368707
683981038233399,1235669446637932,"UPO Anacostia Community Service Center",,,,38.865727,-76.9807327
624574598656861,1284952943863665,"Unity at Harbor Light (Ward 5)",,,,38.9176914,-76.9742971
633623168263940,1284952943863665,"Unity at Central Mission - Gales School (Ward 2)",,,,38.8987292,-77.0111112
666585505385556,889057390402463,"YWCA North Capital Area",,,,38.920781,-77.0314981
693867662447380,1222701888984669,"Sasha Bruce House",,,,38.8970231,-76.991825
716573413368445,901970914472025,"YMCA Alexandria",,,,38.8212482,-77.0542801
725060877971150,901970914472025,"YMCA Main Office",,,,38.9042579,-77.0369714
