id,location_id,service_id,organization_id,contact_id,service_at_location_id,number,extension,type,language,description,department,Priority
542296892934993,1279229683648851,1225681361275050,1203024767725850,,,"(202) 540-9862",,voice,,"Conway Health and Resource Center - Dental",,
544641670975391,1168801998093900,,,,,"(202) 727-1488",,voice,,,,
556928447868249,1216896137119914,,651560814879498,,,"(301) 441-2368",,voice,,,,
559258828473048,943694322277545,640700715075294,818433220295218,,,"(571) 421-2211",,voice,,"Front Desk",,
570709070569781,908423552645976,"1280199390097891,1124712566709259,758678154564108,927525077065562,1154673214411715,856388971104613",785453766981777,,,"(202) 885-5600",,voice,,,,
575551018765010,669512480103420,896329421364349,1235669446637932,,,"(202) 682-6599",,voice,,,,
598405631139486,1192687808287205,,,,,"(202) 698-3377",,voice,,,,
603002809602031,538977790426516,1247609265512489,,,,"(202) 675-9375",,voice,,,,
548927498605853,,643973730285080,828308705468984,,,"(202) 434-2190",,voice,,"AARP Long-Term Care Helpline",,main
547284703219745,1117622155194782,647744623033900,,,,"(202) 727-2833",,voice,,,,
563160269315454,590104892784839,,,,,"(202) 576-8000",,voice,,,,
566592544841330,1235077423167985,,1213929827285708,,,"(202) 745-8685",,voice,,,,
586573323321695,637109273390087,"1317004978451196,1172189593592063,875783576771374",824101881058300,,,"(202) 396-2809",,voice,,,,
559390238010481,"1118601745413208,1166119497090312",1128788656579219,1084960450614161,,,"(202) 525-3042",,voice,,"Urgent wellness appointment line",,
559833184546723,"1182283909073233,587809760292730",1155437863225575,,,,"(202) 635-1041",,voice,,,,
565850138365250,1006643802398414,,818433220295218,,,"(301) 431-4177",,voice,,Employment,,
568081390715166,978435202763698,"768420867308238,1117943724533651,567586810350969,1301180940473100,762286614552841",1253396496217869,,,"(202) 562-5576",,voice,,,,
577294934954499,603618233221428,,1126607081226356,,,"(301) 881-3700",,voice,,,,
584179742880194,1207740090664609,"969104577757425,598047692449891,1231068953747206,874713157662589,977353834463418,659435743428113,565370307901606",1058892834992313,,,"(202) 889-5802",,voice,,,,
586495561196370,1193878881902253,,1280943812182660,,,"(202) 842-1731",,voice,,,,
596791445605697,902244835227859,"569326528063960,1205629989379688,863951605194335,757969294952221",862024217673800,,,"(202) 678-2341",,voice,,,,
598691018582932,1219450960862351,,619974574898067,,,"(202) 610-7147",,fax,,,,
618473990534826,1160077532191340,,,,,"(202) 398-3018",,fax,,,,
626911642105346,557042258022055,"621922475876912,610393181590401",965244460063048,,,"(866) 942-0143",,voice,,,,
572400485246118,1215072401279141,,603346266051726,,,"Phone No: (202) 797-8806 Ext: 1041",,voice,,,,
588185589794897,1252910195472458,,,,,"(202) 673-3232",,voice,,,,
622940899708096,1091301498101680,585745505232672,,,,"(301) 765-5430",,voice,,,,
620158677580757,857483351214468,,1203024767725850,,,"(202) 232-7356",,voice,,,,
633644037584273,826462308173307,,593542128006992,,,"(202) 387-2222",,voice,,,,
634316335663560,1101683690019372,1200334283969211,,,,"(202) 889-2102",,voice,,,,
632750765830372,1125282502738313,1279930862215019,,,,"(703) 271-0941",,fax,,,,
639520656814563,"918553319355477,1318371479368083","1262768275437970,826724564530855",558598955804152,,,"(301) 255-4204",,voice,,,,
578454598221286,623817892479347,1077886511267517,865637769620382,,,"(202) 723-5377",,voice,,,,
583264602471139,716573413368445,,,,,"(703) 838-8085",,voice,,,,
598028639348599,850977498591612,,,,,"(202) 645-4500",,voice,,,,
605405418135498,"897641479895673,890802848970199,836560118683353","1258369939351491,595082261115094,1246702555861620",1048888394985463,,,"(202) 462-7275",,voice,,,,
615442459696007,901594639817796,"1089414876670662,974973185011225,830345150121911,973083960423797",1108475181801971,,,"(202) 876-5690",,voice,,,,
630734728050609,1331109090254077,,1130582994663717,,,"(202) 767-0450",,voice,,,,
631265950358185,831473206652840,,863547285733670,,,"(301) 386-9400",,voice,,,,
632373547189012,1191500192034471,,,,,"(800) 787-0243",,voice,,,,
647964073550297,553317561400491,897612626354041,,,,"(202) 806-4564",,voice,,,,
