id,organization_id,program_id,name,alternate_name,description,url,email,status,interpretation_services,application_process,wait_time,fees,accreditations,licenses
561831919465625,1287549685614240,,"Pharmacy - Mary's Center",,"Full service pharmacy.",https://www.maryscenterpharmacy.org/app/#/,,inactive,,"Visit website, call, or walk in. You will need a prescription.",,,,
566547951213450,1329764475795847,,"Comprehensive Cancer Control Program (CCCP)",,"The District of Columbia government sponsors an array of health promotion services and free cancer screening. Additional efforts are being made to increase access to quality care, increase awareness about the importance of timely detection, and improve palliative and end-of-life care.

The Striving for Wellness Program provides comprehensive cancer education for the gay and lesbian, Hispanic, Ethiopian and Vietnamese community. If you are interested in using these materials to educate your community please contact (202) 442-9170.

For more information about free prevention, screening, and health services please call the CCCP at (202) 442-9170. ",https://dchealth.dc.gov/service/cancer,,inactive,,"Call for more information.
",,,,
570279198497703,1287549685614240,,"Health Home Behavioral Health",,"The Mary’s Center DC Health Homes team is here to help you manage your physical and mental health chronic conditions and create a personalized plan of care to improve health outcomes.  

Mary’s Center became a certified DC Health Homes provider in January 2016, when the Department of Health Care Finance (DHCF) launched the My DC Health Homes program to benefit Medicaid recipients.  

All DC Health Homes services are optional and will not affect your eligibility for other Medicaid services. All services are covered under Medicaid with no additional fees. 

To enroll, please contact Tara Pavao, our Health Homes Director at (202) 389-2486. Once you are enrolled, our HH team coordinates your medical and behavioral healthcare needs by pairing you with a Nurse Care Manager and a Community Support Worker. Your Nurse Care Manager and Community Support Worker will:  

Schedule medical and mental health appointments, send reminders, and help secure transportation. 
Monitor your chronic physical and mental health conditions to determine adherence to or variance from evidence-based treatment guidelines. 
Make sure you have the right medications and you are taking them correctly. 
Follow up after you are discharged from the hospital. 
Connect you to other community resources such as housing, food, transportation insurance re-certification, and legal assistance as needed. 
Provide support for you and your family on your pathway to better health. ",https://www.maryscenter.org/behavioral-health/adults-and-seniors/dc-health-home/,tpavao@maryscenter.org,inactive,,"To enroll, please contact Tara Pavao, our Health Homes Director at (202) 389-2486.
To enroll, call the Behavioral Health front desk at (202) 851-3671 
To reach Tara Pavao, DC Health Homes Director, call (202) 389-2486 or email tpavao@maryscenter.org 

We accept most insurance plans including Medicaid and Medicare. If you don’t have health insurance, we’ll help you apply for public benefits or provide care at a discount. Comprehensive list of insurances are available on our website.",,,,
569326528063960,862024217673800,,Housing,,"Calvary provides transitional and permanent supportive housing services that enable women to make lasting changes in their lives.

We provide women with basic services and nutritious meals at our facility, allowing them to focus on healing, building their skills, and building their futures.

Our Sister Circle program offers permanent supportive housing services to women who live independently, but still receive long-term assistance. Sister Circle fosters a close-knit community of peer support and sisterhood.",https://www.calvaryservices.org/program/housing/,,inactive,,"To access our services, you must first receive a referral from a core service agency. If they match you with our organization, you will be sent over for an intake. If you have additional questions, please call.",,,,
573886519226225,1311337308136967,,"DC Prevention Center Wards 1-2",,"LAYC’s hosts the DC Prevention Center Wards 1 & 2 (DCPC), an initiative of the DC Department of Behavioral Health (DBH), serving as a dynamic hub that engages, supports, and helps connect the many community elements that are needed for promoting healthy children, youth, and families as well as a drug-free District of Columbia. The theme of the DCPC: “Strong Communities…It’s About Youth, Families, and Caring Adults.”

The DCPC is designed to strengthen and mobilize communities to prevent substance abuse amongst youth in Wards 1 and 2 by disseminating education and increasing awareness about alcohol, tobacco, and other drugs; identifying community leaders and building community prevention networks to prevent substance abuse in their communities; facilitating Community Conversations and coordinating community forums to strengthen community capacity and address priority risk and protective factors by implementing evidence-based strategies; and providing training and technical assistance for community prevention networks. All of the strategies implemented by the DCPC are based on Substance Abuse and Mental Health Services Administration’s (SAMHSA) Strategic Prevention Framework (SPF).
",http://www.layc-dc.org/what-we-do/health-wellness/dc-prevention-center-wards/,,inactive,,"Call or email for more information.",,,,
586144902080222,1329764475795847,,"Free Pregnancy Tests, Condoms, and Family Planning",,"Even at the very beginning of a pregnancy, your baby is developing fast, so it’s important to find out early on if you’re pregnant.

Women can obtain a free pregnancy test by calling 1-800-MOM-BABY (1-800-666-2229) to find a location near them.

Both men and women can receive free condoms and family planning counseling and referral by calling 1-800-666-2229.

For information call 1-800-MOM-BABY (1-800-666-2229).

Prospective and eligible parenting women and men also have an opportunity to participate in programs geared to educate and support their needs, including DC Healthy Start.",https://dchealth.dc.gov/service/pregnancy-program,,inactive,,"Call for more information.",,,,
590856913957665,650479626662564,,"Greentree Shelter (GTS)",,"The Greentree Shelter (GTS) is the largest emergency family shelter in Maryland’s Montgomery County. GTS receives children and their parents facing sudden homelessness. Serving county residents since 1983, GTS annually provides 115 children and their parents the support needed to overcome homelessness with short-term stable housing, food, and the support systems necessary to regain their footing and rebuild their lives.

To combat the long-lasting social and psychological impacts of homelessness on children, and NCCF utilizes a child-centered approach. GTS provides wraparound support through community partnerships and collaborations with over 300 volunteers annually to ensure families are enriched by opportunities to achieve their goals. During times of uncertainty, children are able to experience the joys of childhood through activities provided by volunteers. Our volunteers facilitate experiences such as pizza and movie nights, birthday parties, bowling nights. GTS also offers an onsite playground built by a group of dedicated volunteers. Moreover, GTS is the only shelter for homeless families in Montgomery County with an on-site structured childcare center and therapeutic child access capability.

Families transition out of GTS with stable housing, enhanced self-esteem, improved and varied life skills, and healthier relationships, all of which help them to avoid becoming homeless again. Support services include counseling, parent education, life skills training, after-school tutoring, substance abuse education and prevention, GED classes, computer training, and employment assistance.",https://www.nccf-cares.org/family-services/,abarney@nccf-cares.org,inactive,,"Call or email for more information.",,,,
567687090092713,1287549685614240,,"Energy Assistance Program",,"Life can sometimes throw unexpected challenges your way making it hard to keep up with the bills. Thanks to a grant from Pepco Holdings Inc. Community Foundation, our Energy Assistance Program allows us to help you pay a portion of your household’s heating and electric bill. To participate in the one-time emergency program, you must: 

Be a resident of Prince George’s County, Maryland 
Be unable to pay your utility bill because of documented financial hardship  
Be at risk of disconnection from your gas or electric service 
Have an annual household income (before taxes) below the federal poverty level. 
Please remember this program is meant to help you pay a portion of your household’s heating/electric bill, not the entire annual cost of heating your home. ",https://www.maryscenter.org/social-services/referrals-and-resources/energy-assistance-program/,,inactive,,"To be considered for the Energy Assistance Program, you must call (202) 545-2024 to schedule an appointment.  Appointments are held on Wednesdays at 2355 Ontario Road, NW Washington, DC 20009 and Fridays at  8908 Riggs Road, Adelphi, Maryland 20783 and last approximately 30 minutes.  

Applications are only accepted in person and by appointment. Mailed, faxed, or e-mailed paperwork WILL NOT be accepted. Applications will NOT be processed unless ALL information is provided. Incomplete applications will result in delay or denial. Please bring the documents listed below to your scheduled appointment. 

Required Documents 
Photo ID of applicant
Proof of Identification for ALL members of your household (e.g. – social security card, birth certificate, driver’s license, or passport)
Proof of Residency (e.g. – copy of mortgage, lease, or rental agreement) 
Gas/Electric Bill; Disconnection Notice (if applicable)
Proof of Income for the ENTIRE Household  (e.g. – employment paystubs, social security income, food stamps, unemployment, child support, disability, retirement, veterans’ benefits, survivors’ benefits, etc.) 
Proof of Hardship or Inability to Pay (e.g. employment termination letter, unemployment claim, medical bills, proof of loss of other income, OR budget showing insufficient funds)
Letter explaining your emergency situation",,,,
618510425235763,1012774856380370,,"Ward 8 Drug Free Coalition",,"The mission of the Ward 8 Drug Free Coalition is to develop and implement comprehensive community-based activities designed to provide youth with positive alternative life choices.

The coalition engages Ward 8 youth, ages 11-17, in year-round programming designed to reduce alcohol, marijuana, tobacco, and synthetic drug use among youth through community engagement and peer intervention.",http://www.fsfsc.org/copy-of-family-services,,inactive,,"Call for more information.",,,,
564257031952303,1203024767725850,,"Chronic Disease Management ",,"We help you manage your health, so that you can lead a healthy lifestyle.

Personalized health goals and care plans
Access to a care coordinator to assist with education and specialty care appointments
Assistance with overcoming transportation, language, medication/supplies and other barriers to getting the care you need
Group care and referrals for support to manage stress and change
We teach you about disease prevention, healthy lifestyles and other self-care activities.",https://www.communityofhopedc.org/healthcare/wellness-programs,,inactive,,"Call to make an appointment. We accept many health insurances and offer a sliding fee scale and payment plans. A comprehensive list of insurances we accept is available on our website.",,,,
