id,term,description,parent_id,taxonomy,language,x_taxonomies,taxonomy_x_notes,badge_color
533832483389123,"Ages 50+",,1182573370009691,"Service Eligibility",,,,98be60
558854491640759,"Income at or below 30% Median Family Income",,996413864069591,"Service Eligibility",,,,000000
572968199086902,"Prescription Assistance",,787900585077931,"Service Eligibility",,1336498016075499,,64c332
600702532354257,"Addiction & Recovery",,879394671891223,"Service Category",,1336498016075499,,006FD7
567772705271262,"Financial Aid & Loans",,777005893906972,"Service Category",,1336498016075499,,A7EF60
570784632226026,"Sex Education",,"1102011945010404,800876057594945","Service Category",,1336498016075499,,8F9906
601744181699079,"Health Insurance",,"820647015810178,928634817824512","Service Category",,1336498016075499,,1A340D
605525374389695,"Maintenance & Repairs",,1305774265925553,"Service Category",,1336498016075499,,E21B2C
611900221673856,"Transportation for School",,"777005893906972,878852836579488","Service Category",,1336498016075499,,2BBD81
558824191766154,"Relief for Caregivers",,1186613002076967,"Service Category",,1336498016075499,,7CAAD5
575795542893271,"Learning Disability",,,"Service Category",,1240637095744489,,8e7715
585766741363639,"Special Education",,1132205886737577,"Service Category",,1336498016075499,,58B128
593237921884807,"Safety Education",,"1102011945010404,1169956847122981","Service Category",,,,4CEF3C
620501575533772,Post-Treatment,,818150474957808,"Service Eligibility",,,,FBC171
620913268509646,"Bladder Cancer",,1265252182873860,"Service Eligibility",,,,26CB94
625977127820194,"200% Federal Poverty Line",,996413864069591,"Service Eligibility",,,,9530FF
594357854377389,Veterans,,764795942886475,"Service Eligibility",,1240637095744489,,043274
596924298833594,"Adoption Counseling",,839753638188280,"Service Category",,,,F258A3
604293104050562,"Hearing Tests",,1235658330362031,"Service Category",,1336498016075499,,96D890
605631199983458,"HIV Treatment",,"806935508227949,800876057594945","Service Category",,1336498016075499,,D85B80
625144853335827,"Survivors of Intimate Partner Violence",,943793802429235,"Service Eligibility",,1240637095744489,,5123E9
635867221571587,Retirement,,,"Service Eligibility",,1240637095744489,,8BC224
581353506116751,"Independent Living",,614856429001096,"Service Category",,1336498016075499,,ABDF6C
608267763327487,"U.S. Citizen or Permanent Resident",,1150913699729234,"Service Eligibility",,,,0B1057
609371925193152,"Workplace Rights",,"779743205099707,832122112723102","Service Category",,1336498016075499,,145914
610184557880193,"Burn Survivors",,943793802429235,"Service Eligibility",,1240637095744489,,DF5547
610322186793257,"Holocaust Survivors",,943793802429235,"Service Eligibility",,,,C45C22
614151082454075,"Medications for Addiction",,600702532354257,"Service Category",,,,A3C1FF
625531295881156,"Skills & Training",,"832122112723102,976566727118378","Service Category",,1336498016075499,,CEADF5
627746874732291,"Understand Disability",,1102011945010404,"Service Category",,1336498016075499,,52994D
632610616201449,"Terminal Illness",,1276982655382389,"Service Eligibility",,1240637095744489,,7C08E1
641029949613661,"STD/STI Treatment & Prevention",,800876057594945,"Service Category",,,,7D5D5C
645020033411340,"Adoption Planning",,839753638188280,"Service Category",,1336498016075499,,2784A9
642400689111037,"College Readiness",,1132205886737577,"Service Category",,,,12814B
646077810643985,Women/Girls,,911240657187696,"Service Eligibility",,1240637095744489,,C27D9E
591686322682243,"Birth Control",,1167670310712474,"Service Category",,1336498016075499,,6D7DE6
605208083376697,"Personal Technology",,1211420433536032,"Service Category",,,,BB5F0D
622101334810848,"Blankets & Fans",,1180601869455614,"Service Category",,1336498016075499,,8BE282
651505477242802,"Outpatient Treatment",,"806935508227949,792078943886000,600702532354257","Service Category",,1336498016075499,,6A6128
655659997806706,"Liver Cancer",,1265252182873860,"Service Eligibility",,,,7B42DA
603028983607249,"Citizenship & Immigration",,"779743205099707,929417499509486","Service Category",,1336498016075499,,5B4822
618691115838629,"Vision Care",,879394671891223,"Service Category",,,,73232F
614856429001096,"Long-Term Housing",,1268047549889803,"Service Category",,1336498016075499,,F24545
629380122005095,Homeless,,817592898756695,"Service Eligibility",,,,97D115
630013980013392,Food,"Services for free meals, food pantries, help paying for food, food delivery, food benefits and nutrition support.\n	    	",,"Service Category",,1336498016075499,,101C88
666755781872045,"Financial Education",,"899387596744807,1132205886737577","Service Category",,1336498016075499,,B1ADF4
615363042499687,Role,,,"Service Eligibility",,1240637095744489,,69B119
625453832938852,"GED/High-School Equivalency",,"625531295881156,929417499509486,1132205886737577","Service Category",,1336498016075499,,50AD60
636447730830237,"Understand Government Programs",,"779743205099707,1320302684728105","Service Category",,1336498016075499,,5D6534
637587591909881,"Assistive Technology",,788769915367979,"Service Category",,1336498016075499,,059A63
645461517765550,"Pregnancy Tests",,1235658330362031,"Service Category",,1336498016075499,,35BAC9
645135888577674,"No High School Diploma",,1210543691411181,"Service Eligibility",,1240637095744489,,6B75E1
659632323521459,"Primary Care",,1165536100757865,"Service Category",,1336498016075499,,47A12A
678945436299788,"Wilms Tumor",,1265252182873860,"Service Eligibility",,,,CB1096
683587755864681,Fathers,,615363042499687,"Service Eligibility",,1240637095744489,,AF01C5
639683809732866,Detox,,600702532354257,"Service Category",,1336498016075499,,6E771E
681677173698449,"Home & Renters Insurance",,"1125729387706168,820647015810178","Service Category",,1336498016075499,,8D60AA
688102827594831,"Homebuyer Education",,"666755781872045,891529659623486","Service Category",,1336498016075499,,41955B
632722910223412,"Resident of 20009 Zip Code",,1139839930624727,"Service Eligibility",,,,54618E
656166932664053,"Assisted Living",,"614856429001096,1110183826221887","Service Category",,1336498016075499,,C3EEE5
652121067639768,"Visual Impairment",,1141891580359737,"Service Eligibility",,1240637095744489,,BFC692
685166122503637,"Sober Living",,"1235791902856617,600702532354257","Service Category",,1336498016075499,,261237
697638961326982,"Transportation for Healthcare",,"928634817824512,878852836579488","Service Category",,1336498016075499,,62B26B
698447380354993,"Help Pay for Childcare",,"1228385258535588,798567761994199","Service Category",,1336498016075499,,AF3248
713360107412317,"Infants and Toddlers (0-2)",,1212005456553071,"Service Eligibility",,,,4FCC54
729978449177558,"Dental Care",,879394671891223,"Service Category",,1336498016075499,,A953F0
734670676387012,"Tax Preparation",,899387596744807,"Service Category",,1336498016075499,,C90357
737537161640597,"Unemployment Benefits",,1320302684728105,"Service Category",,1336498016075499,,49C673
761507437839279,"Discrimination & Civil Rights",,779743205099707,"Service Category",,1336498016075499,,EFBF9B
770192788997350,Bereavement,,"1054110730145742,792078943886000,1247837810727455","Service Category",,1336498016075499,,9264CF
749673547946260,"Disaster Preparedness & Response",,1132205886737577,"Service Category",,1336498016075499,,6A0A59
764797459068982,"Ward 8 Resident",,1139839930624727,"Service Eligibility",,,,EC23AA
779743205099707,"Advocacy & Legal Aid",,841905613386238,"Service Category",,1336498016075499,,09CFF8
786843100010907,"Help Find Housing",,"1305774265925553,1294707318379665","Service Category",,1336498016075499,,074585
754865326124113,"Ages 21+",,1212005456553071,"Service Eligibility",,,,316F59
768436819350180,Insurance,,899387596744807,"Service Category",,1336498016075499,,0E1A24
776143467926804,"Supplies for School",,"1180601869455614,777005893906972","Service Category",,,,4063DD
