"id","location_recordid","phone_recordid","created_at","updated_at"
"1","538977790426516","603002809602031","2021-02-09T16:54:08.000000Z","2021-02-09T16:54:08.000000Z"
"4","557042258022055","626911642105346","2021-02-09T16:54:08.000000Z","2021-02-09T16:54:08.000000Z"
"5","557094579799532","712245272441801","2021-02-09T16:54:08.000000Z","2021-02-09T16:54:08.000000Z"
"6","566932797594098","1275875687653401","2021-02-09T16:54:08.000000Z","2021-02-09T16:54:08.000000Z"
"7","569762980024499","763123579248149","2021-02-09T16:54:08.000000Z","2021-02-09T16:54:08.000000Z"
"8","572608168009697","1116968298179926","2021-02-09T16:54:09.000000Z","2021-02-09T16:54:09.000000Z"
"9","580105202701779","1096440350605668","2021-02-09T16:54:09.000000Z","2021-02-09T16:54:09.000000Z"
"10","597782883329806","1052461018117943","2021-02-09T16:54:09.000000Z","2021-02-09T16:54:09.000000Z"
"12","571421925629438","963927944202202","2021-02-09T16:54:09.000000Z","2021-02-09T16:54:09.000000Z"
"13","571282409737911","790273098777706","2021-02-09T16:54:09.000000Z","2021-02-09T16:54:09.000000Z"
"14","572575030404839","1052461018117943","2021-02-09T16:54:09.000000Z","2021-02-09T16:54:09.000000Z"
"15","573970502850349","1218448147974406","2021-02-09T16:54:09.000000Z","2021-02-09T16:54:09.000000Z"
"16","577218861870418","1085461853649281","2021-02-09T16:54:09.000000Z","2021-02-09T16:54:09.000000Z"
"17","591956672701732","1095633478052311","2021-02-09T16:54:09.000000Z","2021-02-09T16:54:09.000000Z"
"18","599293678245907","1293409383366678","2021-02-09T16:54:09.000000Z","2021-02-09T16:54:09.000000Z"
"19","602400615052275","950188346891245","2021-02-09T16:54:09.000000Z","2021-02-09T16:54:09.000000Z"
"20","602400615052275","672725923890616","2021-02-09T16:54:09.000000Z","2021-02-09T16:54:09.000000Z"
"21","602400615052275","670208940343738","2021-02-09T16:54:09.000000Z","2021-02-09T16:54:09.000000Z"
"22","601572087337202","1275681199014965","2021-02-09T16:54:09.000000Z","2021-02-09T16:54:09.000000Z"
