"id","organization_id","name","alternate_name","description","transportation","latitude","longitude","location_services","location_phones","location_details","location_schedule","location_address","location_tag","enrich_flag","flag"
"538977790426516","1222701888984669","Sasha Bruce - Independent Living Program","","","","38.8901671","-76.9876558","1247609265512489","603002809602031","","","925088886359493","","",""
"541907027325035","1189940866829310","SHARE Food Network Main Office","","","","38.9288531","-76.8740779","1279531428850596","644017795337557,1352422279871067","","1338861885609383","1147438245453131","","",""
"547101019208237","0","1251-B Saratoga Ave NE Washington, DC, 20018, US","","","","38.9216262","-76.9892376","","1352422279870633","","1338861885601103,1338861885601104,1338861885601105,1338861885601106,1338861885601107,1338861885601108,1338861885601109,1338861885601110","1347874758673672","","",""
"557042258022055","965244460063048","Byte Back","","","","38.9010559","-77.0085403","610393181590401,621922475876912","626911642105346","","1338861885605405","594041340982660","","",""
"555733908618539","1351080129222821","Isaiah House","","","","37.8073428","-85.1309596","1223343952721664","1352422279870626","","1338861885603225","1347874758673708","","",""
"557094579799532","1091742936273498","Engine 15 Station","","","","29.9252554","-90.1167877","1278346715900586,608659423860858","712245272441801","","","607535323277785","","",""
"566932797594098","758358330691109","Contemporary Family Services - DC Georgia Ave","","","","38.9669177","-77.0270752","924549516555160,1015257402861824,1200612658418419","1275875687653401","","1338861885601251","1007422500157066","","",""
"569762980024499","1151840654132771","HSC Pediatric Center","","","","38.9410221","-76.9812464","1251282400091320,643883051065479,1300815691678453,634331653721930,739110335088609,1125189538542481,1262432728139962,859784781707721,919789306976808,1340874883349935,1117866913583560,1216919996503351,809925333569605,1281760748874328,768577653576222","763123579248149","","","758202120336301","","",""
"572608168009697","894973668784309","1201 New York Avenue NW Washington, DC 20005","","","","38.9007958","-77.0285713","569993365952063","1116968298179926","","","646572968848504","","",""
"580105202701779","1189929745395085","7603 Georgia Avenue Nw Washington, DC 20012","","","","38.9819508","-77.026198","1145378947399920","1096440350605668","","","620656622047666","","",""
"597782883329806","1180009592526991","1234 Massachuettes Avenue NW Washington, DC 20005","","","","38.9043273","-77.0291448","767372962284323","1052461018117943","","","","","",""
"553317561400491","1098153529407228","2041 Georgia Avenue NW Washington, DC 20060","","","","38.9175305","-77.0204417","897612626354041","1284668993888789","","1338861885603424","985764934104319","","",""
"562543524311596","1329764475795847","DC Health and Wellness Center","","","","38.9093349","-77.0068364","770578690423338","1352422279870741","","","1136635922647218","","",""
"571421925629438","948639800544467","Safe Shores","","","","38.908842","-77.0170412","979425998294597,669665309659481,1150603832651756,855260709365984,1331055862752219,1144419665946228","963927944202202","","539398848532122","621992063855976","","",""
"571282409737911","0","624 9th Street NW Washington, DC 20001","","","","38.898098","-77.024445","","790273098777706","","","787251745409957","","",""
"572575030404839","765268136875870","Sherman Avenue Single Room Occupancy (SRO)","","","","38.9264462","-77.0261081","757996066878670","1052461018117943","","1092472091063330","1183611862388189","","",""
"573970502850349","1001381268835594","Ayuda MD Office","","","","38.9985997","-77.0300671","761729408560878,1108270050321045,1113729883287074","12184481479744061218448147974406,1218448147974406,1218448147974406,1218448147974406,1218448147974406,1218448147974406,1218448147974406,1218448147974406,","","","1302050715895903","","",""
"577218861870418","901970914472025","YMCA Fairfax County Reston","","","","38.9560115","-77.36817","609764906879432,793641507311678,1142869830287216,1232646715498091,1261952699824933","1085461853649281","","1338861885601330","623483554226574","","",""
"591956672701732","752311766026273","MetroHealth Office","","","","38.9032398","-77.0322033","1232667842792865,815127350806373,808097983123711,1212568722090763,660488487868159,1208455747240239","1095633478052311","","1338861885610376","678389102808498","","",""
"599293678245907","1280943812182660","Camp Bennett Retreat and Conference Center","","","","39.193383","-77.064886","1202173337787980","1293409383366678","","1338861885607119","1118537712180613","","",""
"602400615052275","1005694830501113","Wanda Alston House Main Office","","","","38.8945084","-77.0116897","1176697876442539","672725923890616,670208940343738,950188346891245","","1338861885603608","1269400119905133","","",""
"601572087337202","976479787219157","Open Arms Housing","","","","38.9087932","-77.0109698","1275679223903759,1331448293255479,910488601528452","1275681199014965","","","1302571910221088","","",""
