"id","name","service_id","location_id","service_at_location_id","weekday","valid_from","valid_to","opens","closes","dtstart","until","wkst","freq","interval","byday","byweekno","bymonthday","byyearday","description","opens_at","closes_at","schedule_holiday","schedule_closed","open_24_hours"
"539398848532122","Safe Shores","958276513381633,979425998294597,669665309659481,1150603832651756,855260709365984,1331055862752219","571421925629438","","Monday-Friday","","","8:30AM","5:30PM","","","","","","","","","","","","","","",""
"541027330984880","Mary's Center - Adams Morgan DC - Briya Public Charter School - Friday","","1146850101014457","","Friday","","","8:30AM","5:00PM","","","","","","","","","","","","","","",""
"541670541751060","Mary's Center - Fort Totten - Briya Public Charter School","","953875575104132","","Monday - Friday","","","8:30AM","5:00PM","","","","","","","","","","","","","","",""
"546785452197601","Thrive DC Main Hours","1156130223734698,1144935558772710,1253984981707388,1126445517023366,1156734654820399,1226032227700549,652787019720552","","","Monday - Friday","","","8:30AM","5:00PM","","","","","","","","","","","","","","",""
"542958080918883","Family Ministry Center - Central Union Mission","795565312115643,1188657221119765,897674219161316,1074220347849802,1275451737359298","","","Monday - Friday","","","9:00AM","5:00PM","","","","","","","","","","","","","","",""
"561575698202080","UMC 24/7","778216401015612,650975829022117,1184398102096366,978362959076613,569658380553026","","","Monday-Sunday","","","24 hours","","","","","","","","","","","","","","","",""
"575335889760211","Martha's Table at the Maycroft - Early Learning Center Infant, Toddler & Preschool Program","667387929525624","988814873768650","","Monday - Friday","","","7:00AM","6:00PM","","","","","","","","","","","","","","",""
"590727816513854","Elaine Ellis - MD - Tue","1225681361275050,778121485505827,864041028832460,1134389546347902,891245636047663,953570402846759,1049005398980524","1020706673677182","","Tuesday","","","9:00AM","8:00PM","","","","","","","","","","","","","","",""
"591311363922777","CASA Legal Services Know Your Rights","871369531788799","","","Tuesday","","","7:00AM","","","","","","","","","","","","","","","",""
"591212375407298","Mary's Center - Adams Morgan DC - WIC Hours - Monday - Friday","1210844998367589","1146850101014457","","Monday - Friday","","","8:00AM","5:00PM","","","","","","","","","","","","","","",""
"597905216353594","Elaine Ellis - MD - Monday, Wed-Thur","1225681361275050,778121485505827,864041028832460,1134389546347902,891245636047663,953570402846759,1049005398980524","1020706673677182","","Monday, Wed-Thur","","","9:00AM","6:00PM","","","","","","","","","","","","","","",""
"597855416309417","Bread for the City Northwest Social Services","761729408560878","","","Tuesday","","","9:00AM","11:00AM","","","","","","","","","","","","","","",""
"608382856907892","Byte Back","621922475876912,610393181590401","557042258022055","","Monday - Friday","","","9:00AM","5:00PM","","","","","","","","","","","","","","",""
"607570240764498","UPO 24 Hours","869422229117923,773172814806209","","","Monday - Sunday","","","24 hours","","","","","","","","","","","","","","","",""
"555815549467205","Misler Center - Program Hours","645620379335062,623011102913209,1263144790142252,660686319121862,960770573404461","","","Monday - Friday","","","10:00AM","3:00PM","","","","","","","","","","","","","","",""
"554488883410804","Habitat for Humanity DC","1177007501779839,966998420345688,757359275699925","754270075554049","","Monday - Friday","","","9:00AM","5:00PM","","","","","","","","","","","","","","",""
"571064994929167","G Street","1089414876670662,974973185011225,830345150121911,973083960423797","938559947702992","","Monday - Friday","","","9:00AM","5:00PM","","","","","","","","","","","","","","",""
"578413778188343","NLSP Office Hours","1084455155861412,617717048691003,1245717986328193,1114942083297484,1125858260716274,886500049202807,1236006015638372","826158382123021,759833313909140,819741028296646","","Monday - Friday","","","9:00AM","5:30PM","","","","","","","","","","","","","","",""
"580757982294056","Progreso Center for Literacy & Citizenship​ Mon -Fri Day","958235862658517","1331394191570751","","Monday - Friday","","","9:00AM","5:00PM","","","","","","","","","","","","","","",""
"581159747343262","Father McKenna Center Hypothermia Program","983357706289803","","","November 1 - March 31","","","Nights","Mornings","","","","","","","","","","","","","","",""
"607260486529938","JSSA Northern Virginia - Mon-Thur","1158805154331276,596509168605852,1247441946122537,1189862050430597,842118695599527,1206515011255222,1249421918700941,956316316250592,943690370414778,1237618325820422,1330460837989046,822886605211738,609280054378490","1118558741921381","","Monday-Thursday","","","8:00AM","8:00PM","","","","","","","","","","","","","","",""
"612571578882282","MBI - Taylor","","1142441892698286","","Monday - Friday","","","8:30AM","4:00PM","","","","","","","","","","","","","","",""
"614249715580782","Conway Health and Resource Center - Emotional Wellness Hours - Mon - Wed, Fri","915604912347301,1086669106439677","1279229683648851","","Mon - Wed, Fri","","","8:30AM","5:00PM","","","","","","","","","","","","","","",""
"561580538711893","Conway Health and Resource Center - Dental Hours - Saturday","1225681361275050","1279229683648851","","Saturday","","","9:00AM","3:30PM","","","","","","","","","","","","","","",""
"575173996159764","Food Distribution - Colesville Presbyterian Church","1291646983149791","758324816049097","","4th Friday of every month","","","3:00PM","7:00PM","","","","","","","","","","","","","","",""
"593613641849907","Conway Health and Resource Center - Medical Hours - Wednesday","573712074661708,1107196998383990","1279229683648851","","Wednesday","","","8:30AM","8:00PM","","","","","","","","","","","","","","",""
"613757687605118","Casa Ruby - Sat-Sun","1228391315842600,1172610413356554,1166513065360124,829979157869352,761729408560878,962682510401278,1092865667584408","626384571287639","","Saturday - Sunday","","","24 Hours","","","","","","","","","","","","","","","",""
"568776245923456","Food and Friends - Mon-Thur","905112130077089,748538600142879,1210844998367589","","","Monday - Thursday","","","8:00AM","5:00PM","","","","","","","","","","","","","","",""
"593029528256419","Mary's Center - Adams Morgan DC - Behavioral Health Hours","834474801815094,1049979809257514,570279198497703,1171041183154896,1073305429578122,615102245607234,1281873572081806,1149133594765984,1054654881182092,567687090092713","1146850101014457","","Monday - Friday","","","8:00AM","6:00PM","","","","","","","","","","","","","","",""
"593652380535594","Seabury - Main Hours","938270944825871,1138527811978367,1063814078946036,736771575912112,806942363715001,1214490568958133,988610275937141,1210054763234429,963084111494175","1281917418518969","","Monday - Friday","","","9:00AM","5:00PM","","","","","","","","","","","","","","",""
"599612818688138","Ambassador Program","","818197734902999","","Monday-Friday","","","8:30AM","4:00PM","","","","","","","","","","","","","","",""
"634711490856800","Lorton Community Actoin Center - Tuesday","614660449605719,827054024656401,1228983284901807","625247779378848","","Tuesday","","","11:00AM","7:00PM","","","","","","","","","","","","","","",""
"632268612933448","Jewish Council for Aging of DC","933068702398710,789962433738515,1242086127856640,988423991733213,648998547696427,665291739064632,991942780227581,1256701502731901,1310979690934901,923927696574335,753350947911582,1114627657542591,1008410084982241,1098985564159984,846905885724829,904936764071739","","","Monday - Friday","","","9:00AM","5:00PM","","","","","","","","","","","","","","",""
"635916348758311","Mary's Center - Adams Morgan DC - Briya Public Charter School - Monday - Thursday","","1146850101014457","","Monday - Thursday","","","8:30AM","9:00PM","","","","","","","","","","","","","","",""
"641509860743817","Phyllis Wheatley YWCA","989379893295634","1276820526849172","","Monday - Friday","","","9:00AM","5:00PM","","","","","","","","","","","","","","",""
"596868316342716","Goodwill of Washington DC - Retail - Sunday","1293934201497994","1320760535782101","","Sunday","","","9:00AM","6:00PM","","","","","","","","","","","","","","",""
"601270892533450","Norther Virginia Outpatient Center","1330489680518823,585745505232672,583905742719734,876118989495452","1168148392185022","","Monday - Friday","","","8:00AM","5:00PM","","","","","","","","","","","","","","",""
"632060879163099","Martha's Outfitters on MLK","","1250565194691665","","Monday - Friday","","","10:00AM","4:00PM","","","","","","","","","","","","","","",""
"655172898058082","Mary's Center - Adams Morgan DC - Medical Hours - Monday, Wednesday, Friday","1135119642997578,927583086660595,778121485505827,1215666375374993,1222212212143407,771415038083007,1330210073954058,935391639326831","1146850101014457","","Monday, Wednesday, Friday","","","8:00AM","6:00PM","","","","","","","","","","","","","","",""
"611883390595454","Kensington Clubs - Germantown","660686319121862,960770573404461","1210032943864131","","Monday - Thursday","","","10:00AM","2:00PM","","","","","","","","","","","","","","",""
"616186777115722","St Anthony of Padua Church (VA) Office Hours - Weekends","","680369109388099","","Saturday-Sunday","","","9:30AM","5:00PM","","","","","","","","","","","","","","",""
"615369336470811","Helping Hands Food Distribution","786696636711619","","","Every other Tuesday","","","10:00AM","12:00PM","","","","","","","","","","","","","","",""
"623446812320303","Casa Ruby - 24/7","905246821897219","","","Sunday - Saturday","","","24 Hours","","","","","","","","","","","","","","","",""
"626485661504805","UPO Petey Greene - Saturday","823287765002075,1272403811888637,1115773035158894,1097124274962034,1244177955657488,824403148838289,1222343403264201,782329565925103,828103015767690,1280097613047736,925701018774057,957811011700764,790527027022440,1234923855165980,1274090737385222,1131822692438420,944606179638640","1288442867873978","","Saturday","","","7:00AM","11:00AM","","","","","","","","","","","","","","",""
"625137204466522","Thrive DC - Laundry for Men","1184758670431530","","","Monday - Friday","","","8:30AM","11:00AM","","","","","","","","","","","","","","",""
"629733318259269","Family Health and Birth Center - Emotional Wellness Hours - Mon, Wed-Friday","915604912347301,621585086191000,1185359834982349","898004780647297","","Mon, Wed-Fri","","","8:30AM","5:00PM","","","","","","","","","","","","","","",""
"630695801086693","Edgewood Terrace Family Support Program","825698319066110,1205734509587882","636167681957227","","Monday - Friday","","","8:30AM","5:30PM","","","","","","","","","","","","","","",""
"649151581271820","Neurology at Montgomery County Outpatient Center","890516898015838","","","Monday - Friday","","","8:30AM","4:00PM","","","","","","","","","","","","","","",""
"655228724729650","Martha's Table Headquarters - Main Hours - Mon-Fri","753746449496571,905712024453663,810458383121333,1208941632060908","636848661261240","","Monday - Friday","","","6:30AM","6:00PM","","","","","","","","","","","","","","",""
"619739310783659","Bread for the City Health Care Friday","1038206932789964","","","Friday","","","8:30AM","12:00PM","","","","","","","","","","","","","","",""
