id,phone_recordid,location_id,service_id,organization_id,contact_id,service_at_location_id,number,extension,type,language,description,department
1,542296892934993,1279229683648851,1225681361275050,1203024767725850,,,"(202) 540-9862",,voice,,"Conway Health and Resource Center - Dental",
2,544641670975391,1168801998093900,,,,,"(202) 727-1488",,voice,,,
3,556928447868249,1216896137119914,,651560814879498,,,"(301) 441-2368",,voice,,,
4,559258828473048,943694322277545,640700715075294,818433220295218,,,"(571) 421-2211",,voice,,"Front Desk",
5,570709070569781,908423552645976,"1280199390097891,1124712566709259,758678154564108,927525077065562,1154673214411715,856388971104613",785453766981777,,,"(202) 885-5600",,voice,,,
6,575551018765010,669512480103420,896329421364349,1235669446637932,,,"(202) 682-6599",,voice,,,
7,596021755450367,,"1317372777897148,1179507648098128,1117231582416420,992859209726369",859831189737185,,,"(202) 658-9599",,voice,,"Intake line",
8,598405631139486,1192687808287205,,,,,"(202) 698-3377",,voice,,,
9,603002809602031,538977790426516,1247609265512489,,,,"(202) 675-9375",,voice,,,
10,548927498605853,,643973730285080,828308705468984,,,"(202) 434-2190",,voice,,"AARP Long-Term Care Helpline",
11,547284703219745,1117622155194782,647744623033900,,,,"(202) 727-2833",,voice,,,
12,563160269315454,590104892784839,,,,,"(202) 576-8000",,voice,,,
13,566592544841330,1235077423167985,,1213929827285708,,,"(202) 745-8685",,voice,,,
14,573989703977092,,"822981725695134,808409696885770,604071251546446,1308810783033235,1242580580751174,925576284170577,1310753806244301,988349124502327",734905843461372,,,"1 (800) 676-4477",,voice,,Hotline,
15,587171591094373,,"834474801815094,1049979809257514,1073305429578122",,,,"(202) 851-3671",,voice,,,
16,586573323321695,637109273390087,"1317004978451196,1172189593592063,875783576771374",824101881058300,,,"(202) 396-2809",,voice,,,
17,605807593016757,,,1098153529407228,,,"(202) 865-6100",,voice,,"Howard University Hospital Main Line",
18,559390238010481,"1118601745413208,1166119497090312",1128788656579219,1084960450614161,,,"(202) 525-3042",,voice,,"Urgent wellness appointment line",
19,559833184546723,"1182283909073233,587809760292730",1155437863225575,,,,"(202) 635-1041",,voice,,,
20,565850138365250,1006643802398414,,818433220295218,,,"(301) 431-4177",,voice,,Employment,
21,568081390715166,978435202763698,"768420867308238,1117943724533651,567586810350969,1301180940473100,762286614552841",1253396496217869,,,"(202) 562-5576",,voice,,,
22,577294934954499,603618233221428,,1126607081226356,,,"(301) 881-3700",,voice,,,
23,579535239831775,,993277267161005,,,,"(202) 420-7028",,voice,,,
24,584179742880194,1207740090664609,"969104577757425,598047692449891,1231068953747206,874713157662589,977353834463418,659435743428113,565370307901606",1058892834992313,,,"(202) 889-5802",,voice,,,
25,586495561196370,1193878881902253,,1280943812182660,,,"(202) 842-1731",,voice,,,
26,596791445605697,902244835227859,"569326528063960,1205629989379688,863951605194335,757969294952221",862024217673800,,,"(202) 678-2341",,voice,,,
27,598691018582932,1219450960862351,,619974574898067,,,"(202) 610-7147",,fax,,,
28,608468980089073,,954262853935362,1311337308136967,603789962363472,,"(202) 607-7622",,voice,,,
29,618473990534826,1160077532191340,,,,,"(202) 398-3018",,fax,,,
30,626911642105346,557042258022055,"621922475876912,610393181590401",965244460063048,,,"(866) 942-0143",,voice,,,
31,572400485246118,1215072401279141,,603346266051726,,,"Phone No: (202) 797-8806 Ext: 1041",,voice,,,
32,578246072045715,,"1156130223734698,1096873514597287,1275671248652557,1184758670431530,944570500482284,1201069695813904,1253984981707388,1126445517023366,1156734654820399,1226032227700549,652787019720552",1093139785713640,,,"(202) 737-9311",,voice,,,
33,588185589794897,1252910195472458,,,,,"(202) 673-3232",,voice,,,
34,604562476608352,,998910660786600,,1237120169978885,,"(202) 624-1550",,voice,,,
35,622940899708096,1091301498101680,585745505232672,,,,"(301) 765-5430",,voice,,,
36,620158677580757,857483351214468,,1203024767725850,,,"(202) 232-7356",,voice,,,
37,631847605141078,,,879684021850075,,,"(202) 483-5801",,fax,,,
38,633644037584273,826462308173307,,593542128006992,,,"(202) 387-2222",,voice,,,
39,634316335663560,1101683690019372,1200334283969211,,,,"(202) 889-2102",,voice,,,
40,632750765830372,1125282502738313,1279930862215019,,,,"(703) 271-0941",,fax,,,
41,639520656814563,"918553319355477,1318371479368083","1262768275437970,826724564530855",558598955804152,,,"(301) 255-4204",,voice,,,
42,578454598221286,623817892479347,1077886511267517,865637769620382,,,"(202) 723-5377",,voice,,,
43,583264602471139,716573413368445,,,,,"(703) 838-8085",,voice,,,
44,598028639348599,850977498591612,,,,,"(202) 645-4500",,voice,,,
45,599025519891170,,"1251041437322229,594569394092610,581474108798219",,,,"(202) 667-2681",,voice,,"HCS MHAP line for HIV+ residents",
46,604671575369630,,1286937248151879,,826506624135946,,"(202) 830-3516",,voice,,,
47,605405418135498,"897641479895673,890802848970199,836560118683353","1258369939351491,595082261115094,1246702555861620",1048888394985463,,,"(202) 462-7275",,voice,,,
48,615442459696007,901594639817796,"1089414876670662,974973185011225,830345150121911,973083960423797",1108475181801971,,,"(202) 876-5690",,voice,,,
49,630734728050609,1331109090254077,,1130582994663717,,,"(202) 767-0450",,voice,,,
50,631265950358185,831473206652840,,863547285733670,,,"(301) 386-9400",,voice,,,
51,632373547189012,1191500192034471,,,,,"(800) 787-0243",,voice,,,
52,647964073550297,553317561400491,897612626354041,,,,"(202) 806-4564",,voice,,,
53,649917070803582,1173183937901099,,,,,"(240) 764-7431",,fax,,,
54,620846306271235,604721858303896,"744532051423737,1146482188745759,1129022337432214,1124640120854271,1125987342546107,1194872069892643,1245580607395005,912868472017219,917340488183103,989379893295634",832081175822927,,,"(202) 939-1380",,fax,,,
55,627893071958181,665537720302910,936010727694695,,,,"(202) 543-5796",,voice,,,
56,643337118990625,901570423713957,900282135782367,1117145062751748,,,1-877-508-6667,,voice,,,
57,648664791216690,,1107272253487063,,1320365488464259,,"(202) 830-3512",,voice,,,
58,647471512217416,987681737906027,1089668903464175,,,,"(202) 588-0059",,fax,,,
59,601992910461545,"1231381914283530,970983517110031","603580181050118,853929141214417,594569394092610,1066076138766405,1279704727295628,635411099042905,1020471555082436,1105850415319204,746078248071882,1080000450333930",1169767322641878,,,"(202) 667-7006",,voice,,,
60,603752841609332,,1008410084982241,558598955804152,,,"(703) 537-3071",,voice,,,
61,624586719112928,1089626392255953,783958686086923,1140779289251086,,,"(202) 635-9050",,voice,,,
62,627241711055030,855789547158426,,,,,"(202) 292-4440",,voice,,,
63,634475399701075,,797730088708586,,,,"(202) 279-1834",,voice,,"Unity Methadone Clinic",
64,647740637781961,,1280097613047736,,1232517134982637,,"(202) 238-4696",,voice,,,
65,649010553122915,,1337627384360672,,,,"(202) 698-4112",,voice,,,
66,655290384630021,,1164412528090303,,,,"(202) 698-4166",,voice,,"DHS Homelessness Services Program",
67,659031397106285,1133890153315802,772373540242764,,,,"(202) 328-9680",,voice,,,
68,662418344265107,1274248047601637,,818433220295218,,,"(410) 732-7777",,voice,,Membership,
69,635968293558987,854230368107837,,,,,"(202) 724-8707",,voice,,,
70,636488902942562,967842377045809,"583988896816188,1132229411458875,620569007037808,872951114825988",757749510901012,,,"(202) 526-3020",,voice,,,
71,639723068072357,1183173298558849,1122765390786822,,,,"(202) 434-2099",,voice,,"AARP Senior Medicare Patrol (SMP)",
72,641734990450902,873890719454689,,921466109394130,,,"(202) 269-7000",,voice,,,
73,661172727532291,"1255140834443689,898537800432105,671699874900293,945974432326654,777544006426049,1229706459709655,1159744769911269,957520333540238,780622753430249","568848745429108,637056281967653,654079377709904,798441899320042,1188051468871668,1085691019894863,868432737886085,1140724818955853",1284952943863665,,,"(202) 469-4699",,voice,,"Unity Patient Scheduling Center ",
