id,organization_id,program_id,name,alternate_name,description,url,email,status,interpretation_services,application_process,wait_time,fees,accreditations,licenses
1,1148831835061989,,"Adult Individual and Group Therapy",,"Covers broad topics including conflict resolution, wellness, grief and loss, trauma, domestic violence.",http://hillcrest-dc.org/services/adult-services/,info@hillcrest-dc.org,active,,"Call or walk-in for services.",,,,
2,1172656271433522,,"ESOL Program (English as a Second Language)",,"The Spanish Catholic Center in Gaithersburg, Maryland offers unique English as an Other Language (ESOL) programs designed to provide educational resources that will allow non-native English speakers to learn vital life and work skills.

ESOL courses focus on assisting non-native English speakers master English as an educational and vocational tool.  These courses are offered during 11-week sessions in the Spring, Summer and Fall.  Please note that pre-registration is required.
The Family and Children Literacy Program: Support for the family – A program for parents and children to study in the same environment. From Monday to Thursday, while parents take classes, children from 3 to 12 years old participate in a program of academic support. They may complete their homework and learn new things near their family.
The Spanish Literacy Program, designed for native Spanish speakers, aims to increase literacy in Spanish among individuals who may not have received a formal education in their home country.
Learners in the ESOL program are eligible to participate in all the services provided by the Spanish Catholic Center in Gaithersburg.  We offer a transition program where they can learn about opportunities to continue their formal education, transition to higher paying jobs, and learn about all the support programs in the agency and in the local community.",https://www.catholiccharitiesdc.org/esol/,Laura.Irwin@cc-dc.org,active,,"To register, email the ESOL program to request a registration form. Email: Laura.Irwin@cc-dc.org",,,,
3,949759665008692,,"Training and Education",,"Wendt Center experts provide on-site training on numerous subjects relating to adult and child grief and trauma. From skill building techniques in play therapy to in-depth presentations on traumatic bereavement, our trainers share knowledge gained from current direct practice and extensive training and research opportunities. As active members of the National Child Traumatic Stress Network and the International Society for Traumatic Stress Studies, we strive to provide stimulating, interactive presentations that fuse clinical experience with state of the art theory and research.",https://www.wendtcenter.org/hopes-crime-victim-services/,,active,,"To become a client, please call: 202.204.5021",,,,
4,1287549685614240,,"Pharmacy - Mary's Center",,"Full service pharmacy.",https://www.maryscenterpharmacy.org/app/#/,,active,,"Visit website, call, or walk in. You will need a prescription.",,,,
5,1329764475795847,,"Comprehensive Cancer Control Program (CCCP)",,"The District of Columbia government sponsors an array of health promotion services and free cancer screening. Additional efforts are being made to increase access to quality care, increase awareness about the importance of timely detection, and improve palliative and end-of-life care.

The Striving for Wellness Program provides comprehensive cancer education for the gay and lesbian, Hispanic, Ethiopian and Vietnamese community. If you are interested in using these materials to educate your community please contact (202) 442-9170.

For more information about free prevention, screening, and health services please call the CCCP at (202) 442-9170. ",https://dchealth.dc.gov/service/cancer,,active,,"Call for more information.
",,,,
6,1253396496217869,,"Health Ministry",,"The purpose of this ministry is to provide health services during church services, events, and activities. Raise the awareness of health issues affecting the African American community, promote wellness and physical activities, conduct health screening seminars, provide CPR training and partner with local health care organizations to educate our community and congregation regarding living a healthy life.",http://www.covenantdc.org/health-ministry,,active,,,,,,
7,1058892834992313,,"Individual and Systems Advocacy",,"DCCIL advocates for improved accessibility, and assists people transitioning from nursing homes to independent living in their communities. DCCIL staff advocate on an individual and system-wide basis to ensure the civil and human rights of people with disabilities.",https://dccil.org/what-we-do/our-core-services/,,active,,"Call for intake. Services are provided to residents.",,,,
8,1287549685614240,,"Health Home Behavioral Health",,"The Mary’s Center DC Health Homes team is here to help you manage your physical and mental health chronic conditions and create a personalized plan of care to improve health outcomes.  

Mary’s Center became a certified DC Health Homes provider in January 2016, when the Department of Health Care Finance (DHCF) launched the My DC Health Homes program to benefit Medicaid recipients.  

All DC Health Homes services are optional and will not affect your eligibility for other Medicaid services. All services are covered under Medicaid with no additional fees. 

To enroll, please contact Tara Pavao, our Health Homes Director at (202) 389-2486. Once you are enrolled, our HH team coordinates your medical and behavioral healthcare needs by pairing you with a Nurse Care Manager and a Community Support Worker. Your Nurse Care Manager and Community Support Worker will:  

Schedule medical and mental health appointments, send reminders, and help secure transportation. 
Monitor your chronic physical and mental health conditions to determine adherence to or variance from evidence-based treatment guidelines. 
Make sure you have the right medications and you are taking them correctly. 
Follow up after you are discharged from the hospital. 
Connect you to other community resources such as housing, food, transportation insurance re-certification, and legal assistance as needed. 
Provide support for you and your family on your pathway to better health. ",https://www.maryscenter.org/behavioral-health/adults-and-seniors/dc-health-home/,tpavao@maryscenter.org,active,,"To enroll, please contact Tara Pavao, our Health Homes Director at (202) 389-2486.
To enroll, call the Behavioral Health front desk at (202) 851-3671 
To reach Tara Pavao, DC Health Homes Director, call (202) 389-2486 or email tpavao@maryscenter.org 

We accept most insurance plans including Medicaid and Medicare. If you don’t have health insurance, we’ll help you apply for public benefits or provide care at a discount. Comprehensive list of insurances are available on our website.",,,,
9,862024217673800,,Housing,,"Calvary provides transitional and permanent supportive housing services that enable women to make lasting changes in their lives.

We provide women with basic services and nutritious meals at our facility, allowing them to focus on healing, building their skills, and building their futures.

Our Sister Circle program offers permanent supportive housing services to women who live independently, but still receive long-term assistance. Sister Circle fosters a close-knit community of peer support and sisterhood.",https://www.calvaryservices.org/program/housing/,,active,,"To access our services, you must first receive a referral from a core service agency. If they match you with our organization, you will be sent over for an intake. If you have additional questions, please call.",,,,
10,1311337308136967,,"DC Prevention Center Wards 1-2",,"LAYC’s hosts the DC Prevention Center Wards 1 & 2 (DCPC), an initiative of the DC Department of Behavioral Health (DBH), serving as a dynamic hub that engages, supports, and helps connect the many community elements that are needed for promoting healthy children, youth, and families as well as a drug-free District of Columbia. The theme of the DCPC: “Strong Communities…It’s About Youth, Families, and Caring Adults.”

The DCPC is designed to strengthen and mobilize communities to prevent substance abuse amongst youth in Wards 1 and 2 by disseminating education and increasing awareness about alcohol, tobacco, and other drugs; identifying community leaders and building community prevention networks to prevent substance abuse in their communities; facilitating Community Conversations and coordinating community forums to strengthen community capacity and address priority risk and protective factors by implementing evidence-based strategies; and providing training and technical assistance for community prevention networks. All of the strategies implemented by the DCPC are based on Substance Abuse and Mental Health Services Administration’s (SAMHSA) Strategic Prevention Framework (SPF).
",http://www.layc-dc.org/what-we-do/health-wellness/dc-prevention-center-wards/,,active,,"Call or email for more information.",,,,
